model,phase,layer,wave_id,cluster_id,concurrency,replicas,policy,contributions,fragmented_work_us,consolidated_work_us,actionable,fragmented_launches,consolidated_launches,extra_launches,extra_weight_read_proxy_events,partition_rows_json,expert_work_removable_fraction,exposed_penalty_fraction
smoke-llmjp,decode,0,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001,2,2,current_hash,48,177.94071426749366,101.40467529817256,True,16,8,8,8,"{""0"": [5, 1], ""1"": [5, 2], ""2"": [7, 1], ""3"": [4, 3], ""4"": [4, 2], ""5"": [4, 1], ""6"": [3, 1], ""7"": [4, 1]}",0.43012100566409134,
smoke-llmjp,decode,0,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [4, 2], ""1"": [4, 3], ""2"": [5, 3], ""3"": [4, 3], ""4"": [4, 2], ""5"": [3, 2], ""6"": [3, 1], ""7"": [3, 2]}",0.43485698555502195,
smoke-llmjp,decode,0,1,smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,2,2,current_hash,48,179.12305191657993,101.40467529817256,True,16,8,8,8,"{""0"": [2, 2], ""1"": [4, 1], ""2"": [4, 2], ""3"": [5, 2], ""4"": [6, 2], ""5"": [4, 3], ""6"": [4, 2], ""7"": [3, 2]}",0.43388260632473974,
smoke-llmjp,decode,0,1,smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [3, 1], ""1"": [3, 2], ""2"": [4, 2], ""3"": [4, 3], ""4"": [5, 3], ""5"": [4, 3], ""6"": [4, 2], ""7"": [3, 2]}",0.43485698555502195,
smoke-llmjp,decode,0,2,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005,2,2,current_hash,48,179.21350647362945,101.40467529817256,True,16,8,8,8,"{""0"": [4, 2], ""1"": [4, 1], ""2"": [3, 1], ""3"": [3, 2], ""4"": [4, 2], ""5"": [4, 3], ""6"": [5, 3], ""7"": [4, 3]}",0.4341683431483226,
smoke-llmjp,decode,0,2,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [4, 2], ""1"": [3, 2], ""2"": [3, 1], ""3"": [3, 2], ""4"": [4, 2], ""5"": [4, 3], ""6"": [5, 3], ""7"": [4, 3]}",0.43485698555502195,
smoke-llmjp,decode,0,3,smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,2,2,current_hash,48,169.259090885901,101.40467529817256,True,15,8,7,7,"{""0"": [5, 3], ""1"": [6, 1], ""2"": [4, 2], ""3"": [3, 2], ""4"": [4], ""5"": [4, 1], ""6"": [4, 2], ""7"": [5, 2]}",0.40089081911393276,
smoke-llmjp,decode,0,3,smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [5, 3], ""1"": [4, 3], ""2"": [4, 2], ""3"": [3, 2], ""4"": [3, 1], ""5"": [3, 2], ""6"": [4, 2], ""7"": [4, 3]}",0.43485698555502195,
smoke-llmjp,decode,1,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001,2,2,current_hash,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [4, 1], ""1"": [4, 2], ""2"": [4, 3], ""3"": [4, 4], ""4"": [5, 2], ""5"": [4, 2], ""6"": [3, 2], ""7"": [2, 2]}",0.43485698555502195,
smoke-llmjp,decode,1,0,smoke-llmjp:decode:000000|smoke-llmjp:decode:000001,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [3, 2], ""1"": [4, 2], ""2"": [4, 3], ""3"": [5, 3], ""4"": [4, 3], ""5"": [4, 2], ""6"": [3, 2], ""7"": [3, 1]}",0.43485698555502195,
smoke-llmjp,decode,1,1,smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,2,2,current_hash,48,179.3414285349873,101.40467529817256,True,16,8,8,8,"{""0"": [3, 2], ""1"": [2, 2], ""2"": [3, 2], ""3"": [4, 2], ""4"": [4, 3], ""5"": [6, 2], ""6"": [5, 2], ""7"": [4, 2]}",0.4345719439923511,
smoke-llmjp,decode,1,1,smoke-llmjp:decode:000002|smoke-llmjp:decode:000003,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [3, 2], ""1"": [3, 1], ""2"": [3, 2], ""3"": [4, 2], ""4"": [4, 3], ""5"": [5, 3], ""6"": [4, 3], ""7"": [4, 2]}",0.43485698555502195,
smoke-llmjp,decode,1,2,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005,2,2,current_hash,48,178.75025971044414,101.40467529817256,True,16,8,8,8,"{""0"": [5, 2], ""1"": [3, 3], ""2"": [3, 2], ""3"": [3, 1], ""4"": [4, 1], ""5"": [4, 2], ""6"": [5, 2], ""7"": [6, 2]}",0.43270194145487095,
smoke-llmjp,decode,1,2,smoke-llmjp:decode:000004|smoke-llmjp:decode:000005,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [4, 3], ""1"": [4, 2], ""2"": [3, 2], ""3"": [3, 1], ""4"": [3, 2], ""5"": [4, 2], ""6"": [4, 3], ""7"": [5, 3]}",0.43485698555502195,
smoke-llmjp,decode,1,3,smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,2,2,current_hash,48,160.14071426749365,101.40467529817256,True,14,8,6,6,"{""0"": [4, 3], ""1"": [4, 4], ""2"": [4, 3], ""3"": [4, 2], ""4"": [5], ""5"": [3, 1], ""6"": [3, 2], ""7"": [6]}",0.36677767573342024,
smoke-llmjp,decode,1,3,smoke-llmjp:decode:000006|smoke-llmjp:decode:000007,2,2,current_least_load,48,179.4318830920368,101.40467529817256,True,16,8,8,8,"{""0"": [4, 3], ""1"": [5, 3], ""2"": [4, 3], ""3"": [4, 2], ""4"": [3, 2], ""5"": [3, 1], ""6"": [3, 2], ""7"": [4, 2]}",0.43485698555502195,
smoke-olmoe,decode,0,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001,2,2,current_hash,32,150.26071426749365,93.94233764908628,True,14,8,6,6,"{""0"": [4], ""1"": [3, 2], ""2"": [5, 1], ""3"": [3, 2], ""4"": [3, 1], ""5"": [3], ""6"": [1, 1], ""7"": [2, 1]}",0.3748043984281186,
smoke-olmoe,decode,0,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001,2,2,current_least_load,32,150.8518830920368,93.94233764908628,True,14,8,6,6,"{""0"": [3, 1], ""1"": [3, 2], ""2"": [4, 2], ""3"": [3, 2], ""4"": [4], ""5"": [2, 1], ""6"": [2], ""7"": [2, 1]}",0.3772544583233954,
smoke-olmoe,decode,0,1,smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,2,2,current_hash,32,141.64305191657996,93.94233764908628,True,13,8,5,5,"{""0"": [2], ""1"": [3], ""2"": [2, 2], ""3"": [3, 2], ""4"": [5, 1], ""5"": [3, 2], ""6"": [2, 2], ""7"": [3]}",0.336767060735085,
smoke-olmoe,decode,0,1,smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,2,2,current_least_load,32,150.63350647362944,93.94233764908628,True,14,8,6,6,"{""0"": [2], ""1"": [2, 1], ""2"": [3, 1], ""3"": [4, 1], ""4"": [4, 2], ""5"": [3, 2], ""6"": [4], ""7"": [2, 1]}",0.3763516507827411,
smoke-olmoe,decode,0,2,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005,2,2,current_hash,32,150.26071426749365,93.94233764908628,True,14,8,6,6,"{""0"": [4], ""1"": [2, 1], ""2"": [1, 1], ""3"": [3], ""4"": [3, 1], ""5"": [3, 2], ""6"": [5, 1], ""7"": [3, 2]}",0.3748043984281186,
smoke-olmoe,decode,0,2,smoke-olmoe:decode:000004|smoke-olmoe:decode:000005,2,2,current_least_load,32,150.63350647362944,93.94233764908628,True,14,8,6,6,"{""0"": [4], ""1"": [2, 1], ""2"": [2], ""3"": [2, 1], ""4"": [3, 1], ""5"": [4, 1], ""6"": [4, 2], ""7"": [3, 2]}",0.3763516507827411,
smoke-olmoe,decode,0,3,smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,2,2,current_hash,32,150.8518830920368,93.94233764908628,True,14,8,6,6,"{""0"": [4, 2], ""1"": [3, 2], ""2"": [3, 1], ""3"": [2, 1], ""4"": [2], ""5"": [2, 1], ""6"": [4], ""7"": [3, 2]}",0.3772544583233954,
smoke-olmoe,decode,0,3,smoke-olmoe:decode:000006|smoke-olmoe:decode:000007,2,2,current_least_load,32,150.63350647362944,93.94233764908628,True,14,8,6,6,"{""0"": [4, 2], ""1"": [3, 2], ""2"": [4], ""3"": [2, 1], ""4"": [2], ""5"": [2, 1], ""6"": [3, 1], ""7"": [4, 1]}",0.3763516507827411,
smoke-olmoe,decode,1,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001,2,2,current_hash,32,159.4695454429505,93.94233764908628,True,15,8,7,7,"{""0"": [2, 1], ""1"": [3, 1], ""2"": [4, 1], ""3"": [3, 3], ""4"": [4, 1], ""5"": [4], ""6"": [2, 1], ""7"": [1, 1]}",0.41090734667771583,
smoke-olmoe,decode,1,0,smoke-olmoe:decode:000000|smoke-olmoe:decode:000001,2,2,current_least_load,32,150.8518830920368,93.94233764908628,True,14,8,6,6,"{""0"": [2, 1], ""1"": [3, 1], ""2"": [3, 2], ""3"": [4, 2], ""4"": [3, 2], ""5"": [4], ""6"": [2, 1], ""7"": [2]}",0.3772544583233954,
smoke-olmoe,decode,1,1,smoke-olmoe:decode:000002|smoke-olmoe:decode:000003,2,2,current_hash,32,159.53350647362944,93.94233764908628,True,15,8,7,7,"{""0"": [2, 1], ""1"": [1, 1], ""2"": [2, 1], ""3"": [3, 1], ""4"": [5], ""5"": [4, 2], ""6"": [4, 1], ""7"": [2, 2]}",0.411143528869813,
