model,layer,expert,rows,median_us,p95_us,trials,backend,dtype
smoke-llmjp,-1,-1,1,9.855,10.347750000000001,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,2,10.65558441227157,11.18836363288515,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,4,11.82,12.411000000000001,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,8,13.531168824543142,14.2077272657703,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,16,16.08,16.884,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,32,19.942337649086287,20.9394545315406,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,64,25.919999999999998,27.215999999999998,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,128,35.40467529817257,37.1749090630812,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,256,50.879999999999995,53.424,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-llmjp,-1,-1,512,76.88935059634514,80.7338181261624,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,1,9.855,10.347750000000001,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,2,10.65558441227157,11.18836363288515,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,4,11.82,12.411000000000001,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,8,13.531168824543142,14.2077272657703,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,16,16.08,16.884,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,32,19.942337649086287,20.9394545315406,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,64,25.919999999999998,27.215999999999998,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,128,35.40467529817257,37.1749090630812,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,256,50.879999999999995,53.424,0,SMOKE_ONLY-analytical-fixture,bfloat16
smoke-olmoe,-1,-1,512,76.88935059634514,80.7338181261624,0,SMOKE_ONLY-analytical-fixture,bfloat16
