block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
0,0,r256_a4_zipf_rep0,256,4,zipf,0,0.4765625,0.551653232622179,5;16;17;29,122;62;41;31,311.96799874305725
0,1,r256_a4_uniform_rep1,256,4,uniform,1,0.25,0.0,23;27;28;29,64;64;64;64,289.08801078796387
0,2,r256_a4_linear_skew_rep0,256,4,linear_skew,0,0.3984375,0.44373349441134147,5;16;17;29,102;77;51;26,271.5199887752533
0,3,r32_a2_linear_skew_rep2,32,2,linear_skew,2,0.65625,0.3125,0;24,21;11,162.7199947834015
0,4,r128_a2_zipf_rep1,128,2,zipf,1,0.6640625,0.328125,1;27,85;43,173.95199835300446
0,5,r128_a8_zipf_rep2,128,8,zipf,2,0.3515625,0.7551903733496608,1;6;10;13;15;16;23;26,45;23;16;12;10;8;7;7,486.84799671173096
0,6,r128_a4_hot50_rep0,128,4,hot50,0,0.4921875,0.5594535559365049,4;5;17;27,63;22;22;21,266.33599400520325
0,7,r256_a1_linear_skew_rep1,256,1,linear_skew,1,1.0,0.0,12,256,120.38400024175644
0,8,r128_a16_zipf_rep0,128,16,zipf,0,0.265625,0.967236721283885,1;2;5;6;12;15;18;19;20;21;23;25;26;27;29;30,34;18;12;9;8;6;6;5;5;4;4;4;4;3;3;3,931.0719966888428
0,9,r64_a2_uniform_rep0,64,2,uniform,0,0.5,0.0,4;21,32;32,159.2639982700348
0,10,r256_a2_linear_skew_rep0,256,2,linear_skew,0,0.6640625,0.328125,17;23,170;86,156.41599893569946
0,11,r32_a1_uniform_rep0,32,1,uniform,0,1.0,0.0,18,32,108.8000014424324
0,12,r256_a2_uniform_rep1,256,2,uniform,1,0.5,0.0,21;27,128;128,157.98400342464447
0,13,r128_a8_zipf_rep0,128,8,zipf,0,0.3515625,0.7551903733496608,6;9;20;21;22;23;28;30,45;23;16;12;10;8;7;7,482.36799240112305
0,14,r32_a8_uniform_rep2,32,8,uniform,2,0.125,0.0,2;9;10;14;17;23;26;30,4;4;4;4;4;4;4;4,480.73598742485046
0,15,r128_a8_uniform_rep0,128,8,uniform,0,0.125,0.0,6;9;20;21;22;23;28;30,16;16;16;16;16;16;16;16,476.76798701286316
0,16,r64_a1_zipf_rep0,64,1,zipf,0,1.0,0.0,2,64,107.26399719715118
0,17,r32_a1_uniform_rep2,32,1,uniform,2,1.0,0.0,5,32,105.02400249242783
0,18,r32_a16_linear_skew_rep1,32,16,linear_skew,1,0.09375,0.3535533905932738,1;3;5;6;9;11;14;15;16;21;22;24;25;27;28;30,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,917.0560240745544
0,19,r256_a2_hot50_rep1,256,2,hot50,1,0.5,0.0,21;27,128;128,158.4320068359375
0,20,r64_a1_hot50_rep0,64,1,hot50,0,1.0,0.0,2,64,104.89600151777267
0,21,r128_a4_linear_skew_rep2,128,4,linear_skew,2,0.3984375,0.44028133761266786,6;9;12;25,51;38;26;13,265.3760015964508
0,22,r128_a1_uniform_rep1,128,1,uniform,1,1.0,0.0,29,128,103.90400141477585
0,23,r32_a8_hot50_rep1,32,8,hot50,1,0.40625,0.8569568250501305,2;6;7;8;9;19;20;23,13;3;3;3;3;3;2;2,478.2080054283142
0,24,r128_a4_zipf_rep0,128,4,zipf,0,0.46875,0.5326268921581034,4;5;17;27,60;31;21;16,263.9999985694885
0,25,r64_a4_zipf_rep0,64,4,zipf,0,0.46875,0.5284854539152426,5;10;14;24,30;15;11;8,260.8959972858429
0,26,r32_a2_uniform_rep2,32,2,uniform,2,0.5,0.0,0;24,16;16,157.53600001335144
0,27,r256_a2_uniform_rep0,256,2,uniform,0,0.5,0.0,17;23,128;128,153.47200632095337
0,28,r128_a4_uniform_rep0,128,4,uniform,0,0.25,0.0,4;5;17;27,32;32;32;32,259.48798656463623
0,29,r32_a1_zipf_rep0,32,1,zipf,0,1.0,0.0,18,32,105.02400249242783
0,30,r256_a2_uniform_rep2,256,2,uniform,2,0.5,0.0,0;10,128;128,153.34400534629822
0,31,r256_a8_uniform_rep0,256,8,uniform,0,0.125,0.0,0;1;5;6;7;11;21;31,32;32;32;32;32;32;32;32,474.40001368522644
0,32,r64_a1_linear_skew_rep0,64,1,linear_skew,0,1.0,0.0,2,64,103.58399897813797
0,33,r256_a8_hot50_rep2,256,8,hot50,2,0.48828125,1.0985386244347533,8;10;13;17;20;21;28;29,125;19;19;19;19;19;18;18,474.2720127105713
0,34,r64_a4_zipf_rep1,64,4,zipf,1,0.46875,0.5284854539152426,5;18;23;28,30;15;11;8,259.16799902915955
0,35,r32_a2_zipf_rep1,32,2,zipf,1,0.65625,0.3125,4;10,21;11,152.8639942407608
0,36,r256_a4_linear_skew_rep1,256,4,linear_skew,1,0.3984375,0.44373349441134147,23;27;28;29,102;77;51;26,262.33598589897156
0,37,r64_a8_linear_skew_rep2,64,8,linear_skew,2,0.203125,0.42389562394532926,4;5;8;11;16;26;30;31,13;12;10;9;7;6;4;3,478.0479967594147
0,38,r128_a2_uniform_rep1,128,2,uniform,1,0.5,0.0,1;27,64;64,155.87200224399567
0,39,r64_a2_zipf_rep1,64,2,zipf,1,0.65625,0.3125,28;29,42;22,154.81600165367126
0,40,r64_a8_linear_skew_rep1,64,8,linear_skew,1,0.203125,0.42389562394532926,0;2;5;9;17;25;27;30,13;12;10;9;7;6;4;3,482.62399435043335
0,41,r128_a8_zipf_rep1,128,8,zipf,1,0.3515625,0.7551903733496608,1;5;12;16;17;19;20;29,45;23;16;12;10;8;7;7,479.74398732185364
0,42,r64_a2_hot50_rep0,64,2,hot50,0,0.5,0.0,4;21,32;32,153.72799336910248
0,43,r64_a4_zipf_rep2,64,4,zipf,2,0.46875,0.5284854539152426,5;7;11;31,30;15;11;8,258.87998938560486
