block,ordinal,plan_id,total_rows,active_count,shape,replica,max_fraction,cv,expert_ids,counts,latency_us
0,0,r256_a4_zipf_rep0,256,4,zipf,0,0.4765625,0.551653232622179,6;27;28;50,122;62;41;31,321.9200074672699
0,1,r256_a4_uniform_rep1,256,4,uniform,1,0.25,0.0,36;50;54;61,64;64;64;64,295.6160008907318
0,2,r256_a4_linear_skew_rep0,256,4,linear_skew,0,0.3984375,0.44373349441134147,6;27;28;50,102;77;51;26,281.5040051937103
0,3,r32_a2_linear_skew_rep2,32,2,linear_skew,2,0.65625,0.3125,1;48,21;11,165.0560051202774
0,4,r128_a2_zipf_rep1,128,2,zipf,1,0.6640625,0.328125,38;42,85;43,161.40800714492798
0,5,r128_a8_zipf_rep2,128,8,zipf,2,0.3515625,0.7551903733496608,0;6;9;12;25;45;56;60,45;23;16;12;10;8;7;7,492.0639991760254
0,6,r128_a4_hot50_rep0,128,4,hot50,0,0.4921875,0.5594535559365049,37;40;48;52,63;22;22;21,294.5919930934906
0,7,r256_a1_linear_skew_rep1,256,1,linear_skew,1,1.0,0.0,13,256,130.3039938211441
0,8,r128_a16_zipf_rep0,128,16,zipf,0,0.265625,0.967236721283885,11;12;13;17;18;22;24;33;41;43;47;50;57;60;62;63,34;18;12;9;8;6;6;5;5;4;4;4;4;3;3;3,932.7999949455261
0,9,r64_a2_uniform_rep0,64,2,uniform,0,0.5,0.0,16;17,32;32,168.60799491405487
0,10,r256_a2_linear_skew_rep0,256,2,linear_skew,0,0.6640625,0.328125,4;62,170;86,162.91199624538422
0,11,r32_a1_uniform_rep0,32,1,uniform,0,1.0,0.0,37,32,115.90400338172913
0,12,r256_a2_uniform_rep1,256,2,uniform,1,0.5,0.0,1;5,128;128,155.45600652694702
0,13,r128_a8_zipf_rep0,128,8,zipf,0,0.3515625,0.7551903733496608,2;4;14;17;27;37;53;57,45;23;16;12;10;8;7;7,490.5279874801636
0,14,r32_a8_uniform_rep2,32,8,uniform,2,0.125,0.0,4;10;18;29;34;60;61;63,4;4;4;4;4;4;4;4,472.79998660087585
0,15,r128_a8_uniform_rep0,128,8,uniform,0,0.125,0.0,2;4;14;17;27;37;53;57,16;16;16;16;16;16;16;16,467.5840139389038
0,16,r64_a1_zipf_rep0,64,1,zipf,0,1.0,0.0,39,64,113.34399878978729
0,17,r32_a1_uniform_rep2,32,1,uniform,2,1.0,0.0,10,32,111.84000223875046
0,18,r32_a16_linear_skew_rep1,32,16,linear_skew,1,0.09375,0.3535533905932738,2;10;13;18;19;24;27;28;29;42;43;45;47;48;57;59,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,912.1599793434143
0,19,r256_a2_hot50_rep1,256,2,hot50,1,0.5,0.0,1;5,128;128,154.94400262832642
0,20,r64_a1_hot50_rep0,64,1,hot50,0,1.0,0.0,39,64,109.95200276374817
0,21,r128_a4_linear_skew_rep2,128,4,linear_skew,2,0.3984375,0.44028133761266786,0;11;15;55,51;38;26;13,282.49600529670715
0,22,r128_a1_uniform_rep1,128,1,uniform,1,1.0,0.0,48,128,104.12800312042236
0,23,r32_a8_hot50_rep1,32,8,hot50,1,0.40625,0.8569568250501305,12;15;17;18;39;41;47;58,13;3;3;3;3;3;2;2,473.34399819374084
0,24,r128_a4_zipf_rep0,128,4,zipf,0,0.46875,0.5326268921581034,37;40;48;52,60;31;21;16,278.9439857006073
0,25,r64_a4_zipf_rep0,64,4,zipf,0,0.46875,0.5284854539152426,9;42;56;58,30;15;11;8,266.1759853363037
0,26,r32_a2_uniform_rep2,32,2,uniform,2,0.5,0.0,1;48,16;16,151.5520066022873
0,27,r256_a2_uniform_rep0,256,2,uniform,0,0.5,0.0,4;62,128;128,151.93599462509155
0,28,r128_a4_uniform_rep0,128,4,uniform,0,0.25,0.0,37;40;48;52,32;32;32;32,280.09599447250366
0,29,r32_a1_zipf_rep0,32,1,zipf,0,1.0,0.0,37,32,108.47999900579453
0,30,r256_a2_uniform_rep2,256,2,uniform,2,0.5,0.0,27;45,128;128,149.85600113868713
0,31,r256_a8_uniform_rep0,256,8,uniform,0,0.125,0.0,0;5;10;21;27;34;36;50,32;32;32;32;32;32;32;32,521.4080214500427
0,32,r64_a1_linear_skew_rep0,64,1,linear_skew,0,1.0,0.0,39,64,107.87200182676315
0,33,r256_a8_hot50_rep2,256,8,hot50,2,0.48828125,1.0985386244347533,19;23;28;37;55;57;58;60,125;19;19;19;19;19;18;18,512.8960013389587
0,34,r64_a4_zipf_rep1,64,4,zipf,1,0.46875,0.5284854539152426,8;9;28;49,30;15;11;8,266.78401231765747
0,35,r32_a2_zipf_rep1,32,2,zipf,1,0.65625,0.3125,8;20,21;11,159.19999778270721
0,36,r256_a4_linear_skew_rep1,256,4,linear_skew,1,0.3984375,0.44373349441134147,36;50;54;61,102;77;51;26,270.7520127296448
0,37,r64_a8_linear_skew_rep2,64,8,linear_skew,2,0.203125,0.42389562394532926,1;5;18;35;46;56;59;60,13;12;10;9;7;6;4;3,477.31199860572815
0,38,r128_a2_uniform_rep1,128,2,uniform,1,0.5,0.0,38;42,64;64,164.8000031709671
0,39,r64_a2_zipf_rep1,64,2,zipf,1,0.65625,0.3125,4;5,42;22,162.62400150299072
0,40,r64_a8_linear_skew_rep1,64,8,linear_skew,1,0.203125,0.42389562394532926,1;10;12;17;30;31;42;43,13;12;10;9;7;6;4;3,477.2160053253174
0,41,r128_a8_zipf_rep1,128,8,zipf,1,0.3515625,0.7551903733496608,5;19;32;34;38;49;54;55,45;23;16;12;10;8;7;7,485.0560128688812
0,42,r64_a2_hot50_rep0,64,2,hot50,0,0.5,0.0,16;17,32;32,164.35199975967407
0,43,r64_a4_zipf_rep2,64,4,zipf,2,0.46875,0.5284854539152426,11;20;46;57,30;15;11;8,265.24800062179565
0,44,r64_a8_hot50_rep0,64,8,hot50,0,0.453125,0.9921567416492215,7;11;36;41;44;47;48;51,29;5;5;5;5;5;5;5,485.8880043029785
0,45,r256_a16_uniform_rep1,256,16,uniform,1,0.0625,0.0,7;16;19;20;21;25;27;34;35;36;40;47;56;57;60;63,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,896.3840007781982
0,46,r128_a8_linear_skew_rep2,128,8,linear_skew,2,0.21875,0.4810876349481454,0;6;9;12;25;45;56;60,28;24;21;18;14;11;8;4,502.1759867668152
0,47,r128_a4_linear_skew_rep1,128,4,linear_skew,1,0.3984375,0.44028133761266786,5;9;41;59,51;38;26;13,278.9120078086853
0,48,r64_a16_zipf_rep1,64,16,zipf,1,0.234375,0.8244316223920575,15;18;20;28;29;31;35;36;39;44;45;50;52;53;54;59,15;8;6;5;4;3;3;3;3;2;2;2;2;2;2;2,898.9440202713013
0,49,r32_a2_zipf_rep0,32,2,zipf,0,0.65625,0.3125,7;54,21;11,159.10400450229645
0,50,r64_a4_linear_skew_rep0,64,4,linear_skew,0,0.390625,0.4192627457812106,9;42;56;58,25;19;13;7,270.7839906215668
0,51,r32_a16_zipf_rep2,32,16,zipf,2,0.1875,0.6123724356957945,2;4;11;15;18;19;23;30;32;39;45;47;53;54;58;60,6;3;3;2;2;2;2;2;2;2;1;1;1;1;1;1,903.007984161377
0,52,r256_a8_zipf_rep0,256,8,zipf,0,0.359375,0.7842131307081003,0;5;10;21;27;34;36;50,92;47;32;24;19;16;14;12,502.8799772262573
0,53,r128_a16_uniform_rep2,128,16,uniform,2,0.0625,0.0,2;3;4;5;10;12;24;25;30;36;39;49;55;56;59;60,8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8,900.160014629364
0,54,r64_a2_linear_skew_rep2,64,2,linear_skew,2,0.65625,0.3125,45;50,42;22,165.43999314308167
0,55,r64_a1_zipf_rep2,64,1,zipf,2,1.0,0.0,58,64,112.67200112342834
0,56,r256_a2_hot50_rep0,256,2,hot50,0,0.5,0.0,4;62,128;128,153.82400155067444
0,57,r64_a2_linear_skew_rep1,64,2,linear_skew,1,0.65625,0.3125,4;5,42;22,163.58399391174316
0,58,r64_a2_hot50_rep2,64,2,hot50,2,0.5,0.0,45;50,32;32,161.02400422096252
0,59,r32_a16_linear_skew_rep2,32,16,linear_skew,2,0.09375,0.3535533905932738,2;4;11;15;18;19;23;30;32;39;45;47;53;54;58;60,3;3;3;3;2;2;2;2;2;2;2;2;1;1;1;1,893.5359716415405
0,60,r32_a1_uniform_rep1,32,1,uniform,1,1.0,0.0,45,32,121.08799815177917
0,61,r32_a16_hot50_rep1,32,16,hot50,1,0.28125,0.9354143466934853,2;10;13;18;19;24;27;28;29;42;43;45;47;48;57;59,9;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1,904.3520092964172
0,62,r128_a8_hot50_rep0,128,8,hot50,0,0.4765625,1.0634187204483472,2;4;14;17;27;37;53;57,61;10;10;10;10;9;9;9,486.36800050735474
0,63,r32_a4_zipf_rep2,32,4,zipf,2,0.4375,0.46770717334674267,10;17;31;45,14;8;6;4,257.34400749206543
0,64,r64_a8_uniform_rep2,64,8,uniform,2,0.125,0.0,1;5;18;35;46;56;59;60,8;8;8;8;8;8;8;8,471.9040095806122
0,65,r256_a16_linear_skew_rep1,256,16,linear_skew,1,0.11328125,0.5019493251315316,7;16;19;20;21;25;27;34;35;36;40;47;56;57;60;63,29;27;26;24;22;20;19;17;15;13;12;10;8;6;5;3,973.5360145568848
0,66,r128_a2_uniform_rep0,128,2,uniform,0,0.5,0.0,9;32,64;64,167.55199432373047
0,67,r256_a8_hot50_rep0,256,8,hot50,0,0.48828125,1.0985386244347533,0;5;10;21;27;34;36;50,125;19;19;19;19;19;18;18,516.9600248336792
0,68,r128_a8_linear_skew_rep0,128,8,linear_skew,0,0.21875,0.4810876349481454,2;4;14;17;27;37;53;57,28;24;21;18;14;11;8;4,503.52001190185547
0,69,r32_a8_linear_skew_rep0,32,8,linear_skew,0,0.1875,0.375,2;11;19;21;22;41;43;52,6;6;5;4;4;3;2;2,470.71999311447144
0,70,r32_a2_hot50_rep2,32,2,hot50,2,0.5,0.0,1;48,16;16,151.71200037002563
0,71,r256_a16_uniform_rep2,256,16,uniform,2,0.0625,0.0,1;4;5;14;19;23;25;33;35;37;42;45;52;53;57;59,16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16,893.1840062141418
0,72,r128_a8_linear_skew_rep1,128,8,linear_skew,1,0.21875,0.4810876349481454,5;19;32;34;38;49;54;55,28;24;21;18;14;11;8;4,496.288001537323
0,73,r128_a2_linear_skew_rep2,128,2,linear_skew,2,0.6640625,0.328125,23;32,85;43,159.90400314331055
