request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,0,0,2.1157994270324707,-1.1875,-0.9282994270324707,-1.3032994270324707,-2.1157994270324707,-2.1157994270324707,0.15750246960669756,16452,0,0.0,8489232.0
1,computer_security,1,0,0,1.599811315536499,-0.125,-1.474811315536499,-1.599811315536499,-2.224811315536499,-1.537311315536499,0.15750246960669756,14638,0,0.0,7553208.0
2,machine_learning,0,0,1,1.4701272249221802,0.125,-1.4701272249221802,-1.5951272249221802,-2.0951271057128906,-1.8451272249221802,0.15750246960669756,8234,0,0.0,4248744.0
3,computer_security,0,0,1,1.0885593891143799,0.25,-1.0885593891143799,-1.3385593891143799,-1.7760593891143799,-2.02605938911438,0.15750246960669756,7911,0,0.0,4082076.0
4,high_school_mathematics,0,0,1,1.927831768989563,0.12499988079071045,-1.927831768989563,-2.0528316497802734,-2.8028316497802734,-2.9278316497802734,0.15750246960669756,9385,0,0.0,4842660.0
5,machine_learning,0,0,1,1.3030339479446411,0.0625,-1.3030339479446411,-1.3655339479446411,-2.2405338287353516,-2.4280338287353516,0.15750246960669756,10202,0,0.0,5264232.0
6,high_school_mathematics,1,1,1,1.5597023963928223,0.125,-1.6847023963928223,-1.5597023963928223,-2.1222023963928223,-1.9347023963928223,0.15750246960669756,14765,0,0.0,7618740.0
7,computer_security,1,0,0,1.5897080898284912,-0.1875,-1.4022080898284912,-1.5897080898284912,-1.9022080898284912,-1.5897080898284912,0.15750246960669756,13367,0,0.0,6897372.0
8,abstract_algebra,2,1,0,3.0417444705963135,-1.5625,-2.2292444705963135,-1.4792444705963135,-3.0417444705963135,-2.4167444705963135,0.15478347148746252,12879,0,0.0,6645564.0
9,abstract_algebra,2,0,0,1.7466068267822266,-0.625,-1.1216068267822266,-1.5591068267822266,-1.7466068267822266,-1.7466068267822266,0.15478347148746252,10986,0,0.0,5668776.0
10,machine_learning,2,1,0,2.5761232376098633,-0.6875001192092896,-1.9511231184005737,-1.8886231184005737,-2.5761232376098633,-2.3886232376098633,0.15478347148746252,8687,0,0.0,4482492.0
11,abstract_algebra,3,1,0,2.129157543182373,-0.6249998807907104,-1.9416576623916626,-1.5041576623916626,-2.754157543182373,-2.129157543182373,0.15478347148746252,9942,0,0.0,5130072.0
12,machine_learning,0,1,0,1.5362786054611206,-0.25,-1.5362786054611206,-1.2862786054611206,-2.28627872467041,-2.16127872467041,0.15478347148746252,12951,0,0.0,6682716.0
13,high_school_mathematics,0,1,0,2.2986068725585938,-0.5000001192092896,-2.2986068725585938,-1.7986067533493042,-2.0486068725585938,-2.1736068725585938,0.15478347148746252,17885,0,0.0,9228660.0
14,high_school_mathematics,3,1,0,1.7495124340057373,-0.375,-1.4995124340057373,-1.3745124340057373,-2.0620124340057373,-1.7495124340057373,0.15478347148746252,16130,0,0.0,8323080.0
15,abstract_algebra,0,0,1,1.5166488885879517,0.0625,-1.5166488885879517,-1.5791488885879517,-2.141648769378662,-2.141648769378662,0.15478347148746252,9778,0,0.0,5045448.0
