global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,bf16_reference,32,0,,5937,0,0.0,3063492.0,3063492.0,542316.0,542316.0,21.69264,0,0.0,0.0,0.0,21.69264,0,997.0,1051.0
1,0,1,bf16_reference,32,0,,5946,0,0.0,3068136.0,3068136.0,536124.0,536124.0,21.44496,0,0.0,0.0,0.0,21.44496,0,903.0,1039.0
2,0,2,bf16_reference,32,0,,6016,0,0.0,3104256.0,3104256.0,565536.0,565536.0,22.62144,0,0.0,0.0,0.0,22.62144,0,1096.0,1007.0
3,0,3,bf16_reference,32,0,,5898,0,0.0,3043368.0,3043368.0,496392.0,496392.0,19.85568,0,0.0,0.0,0.0,19.85568,0,957.0,962.0
4,0,4,bf16_reference,32,0,,6122,0,0.0,3158952.0,3158952.0,555216.0,555216.0,22.20864,0,0.0,0.0,0.0,22.20864,0,980.0,1076.0
5,0,5,bf16_reference,32,0,,6103,0,0.0,3149148.0,3149148.0,546444.0,546444.0,21.85776,0,0.0,0.0,0.0,21.85776,0,837.0,1059.0
6,0,6,bf16_reference,32,0,,5856,0,0.0,3021696.0,3021696.0,529416.0,529416.0,21.17664,0,0.0,0.0,0.0,21.17664,0,857.0,1026.0
7,0,7,bf16_reference,32,0,,5770,0,0.0,2977320.0,2977320.0,503616.0,503616.0,20.14464,0,0.0,0.0,0.0,20.14464,0,911.0,976.0
8,0,8,bf16_reference,32,0,,5921,0,0.0,3055236.0,3055236.0,529416.0,529416.0,21.17664,0,0.0,0.0,0.0,21.17664,0,846.0,1026.0
9,0,9,bf16_reference,32,0,,6050,0,0.0,3121800.0,3121800.0,531480.0,531480.0,21.2592,0,0.0,0.0,0.0,21.2592,0,967.0,1030.0
10,0,10,bf16_reference,32,0,,5764,0,0.0,2974224.0,2974224.0,547992.0,547992.0,21.91968,0,0.0,0.0,0.0,21.91968,0,803.0,1062.0
11,0,11,bf16_reference,32,0,,6063,0,0.0,3128508.0,3128508.0,532512.0,532512.0,21.30048,0,0.0,0.0,0.0,21.30048,0,962.0,1032.0
12,0,12,bf16_reference,32,0,,5861,0,0.0,3024276.0,3024276.0,506196.0,506196.0,20.24784,0,0.0,0.0,0.0,20.24784,0,852.0,981.0
13,0,13,bf16_reference,32,0,,5880,0,0.0,3034080.0,3034080.0,577404.0,577404.0,23.09616,0,0.0,0.0,0.0,23.09616,0,939.0,1119.0
