request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,0,0,2.0728554725646973,-1.1250001192092896,-0.9478553533554077,-1.3228553533554077,-2.0728554725646973,-2.0728554725646973,0.16689081490039825,16438,0,0.0,8482008.0
1,computer_security,1,3,0,1.6232479810714722,-0.1875,-1.4982479810714722,-1.6232479810714722,-2.2482481002807617,-1.4357479810714722,0.16689081490039825,14652,0,0.0,7560432.0
2,machine_learning,0,0,1,1.5419831275939941,0.0,-1.5419831275939941,-1.5419831275939941,-2.104483127593994,-1.8544831275939941,0.16689081490039825,8232,0,0.0,4247712.0
3,computer_security,0,0,1,1.0821332931518555,0.25,-1.0821332931518555,-1.3321332931518555,-1.8321332931518555,-2.0821332931518555,0.16689081490039825,7907,0,0.0,4080012.0
4,high_school_mathematics,0,0,1,1.9975436925888062,0.06250011920928955,-1.9975436925888062,-2.0600438117980957,-2.8725438117980957,-2.9975438117980957,0.16689081490039825,9384,0,0.0,4842144.0
5,machine_learning,0,0,1,1.2592326402664185,0.125,-1.2592326402664185,-1.3842326402664185,-2.384232521057129,-2.509232521057129,0.16689081490039825,10196,0,0.0,5261136.0
6,high_school_mathematics,1,1,1,1.639326572418213,0.125,-1.764326572418213,-1.639326572418213,-2.139326572418213,-1.951826572418213,0.16689081490039825,14763,0,0.0,7617708.0
7,computer_security,1,0,0,1.574595332145691,-0.125,-1.449595332145691,-1.574595332145691,-1.949595332145691,-1.637095332145691,0.16689081490039825,13367,0,0.0,6897372.0
8,abstract_algebra,2,1,0,3.0477237701416016,-1.4375,-2.2352237701416016,-1.6102237701416016,-3.0477237701416016,-2.4852237701416016,0.16880717407912016,12870,0,0.0,6640920.0
9,abstract_algebra,2,0,0,1.756373643875122,-0.5625,-1.193873643875122,-1.631373643875122,-1.756373643875122,-1.693873643875122,0.16880717407912016,10975,0,0.0,5663100.0
10,machine_learning,2,1,0,2.675583839416504,-0.75,-2.113083839416504,-1.925583839416504,-2.675583839416504,-2.488083839416504,0.16880717407912016,8669,0,0.0,4473204.0
11,abstract_algebra,3,1,0,2.2490780353546143,-0.6875,-1.9990780353546143,-1.5615780353546143,-2.8115780353546143,-2.2490780353546143,0.16880717407912016,9947,0,0.0,5132652.0
12,machine_learning,0,1,0,1.5603617429733276,-0.25,-1.5603617429733276,-1.3103617429733276,-2.310361862182617,-2.185361862182617,0.16880717407912016,12956,0,0.0,6685296.0
13,high_school_mathematics,0,1,0,2.3786392211914062,-0.6250001192092896,-2.3786392211914062,-1.7536391019821167,-2.0661392211914062,-2.1911392211914062,0.16880717407912016,17869,0,0.0,9220404.0
14,high_school_mathematics,3,0,0,1.7092015743255615,-0.25,-1.4592015743255615,-1.4592015743255615,-2.1467015743255615,-1.7092015743255615,0.16880717407912016,16092,0,0.0,8303472.0
15,abstract_algebra,0,0,1,1.580319881439209,0.0625,-1.580319881439209,-1.642819881439209,-2.205319881439209,-2.205319881439209,0.16880717407912016,9773,0,0.0,5042868.0
