global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,calib_static,32,0,,5937,0,0.0,3063492.0,3063492.0,542316.0,542316.0,21.69264,0,0.0,0.0,0.0,21.69264,1,997.0,1051.0
1,0,1,calib_static,32,0,,5941,0,0.0,3065556.0,3065556.0,534576.0,534576.0,21.38304,0,0.0,0.0,0.0,21.38304,1,901.0,1036.0
2,0,2,calib_static,32,0,,6011,0,0.0,3101676.0,3101676.0,564504.0,564504.0,22.58016,0,0.0,0.0,0.0,22.58016,1,1094.0,1005.0
3,0,3,calib_static,32,0,,5895,0,0.0,3041820.0,3041820.0,496908.0,496908.0,19.87632,0,0.0,0.0,0.0,19.87632,1,957.0,963.0
4,0,4,calib_static,32,0,,6127,0,0.0,3161532.0,3161532.0,554184.0,554184.0,22.16736,0,0.0,0.0,0.0,22.16736,1,978.0,1074.0
5,0,5,calib_static,32,0,,6094,0,0.0,3144504.0,3144504.0,544380.0,544380.0,21.7752,0,0.0,0.0,0.0,21.7752,1,836.0,1055.0
6,0,6,calib_static,32,0,,5853,0,0.0,3020148.0,3020148.0,525804.0,525804.0,21.03216,0,0.0,0.0,0.0,21.03216,1,857.0,1019.0
7,0,7,calib_static,32,0,,5766,0,0.0,2975256.0,2975256.0,505680.0,505680.0,20.2272,0,0.0,0.0,0.0,20.2272,1,916.0,980.0
8,0,8,calib_static,32,0,,5919,0,0.0,3054204.0,3054204.0,530448.0,530448.0,21.21792,0,0.0,0.0,0.0,21.21792,1,844.0,1028.0
9,0,9,calib_static,32,0,,6055,0,0.0,3124380.0,3124380.0,530448.0,530448.0,21.21792,0,0.0,0.0,0.0,21.21792,1,967.0,1028.0
10,0,10,calib_static,32,0,,5769,0,0.0,2976804.0,2976804.0,547476.0,547476.0,21.89904,0,0.0,0.0,0.0,21.89904,1,806.0,1061.0
11,0,11,calib_static,32,0,,6080,0,0.0,3137280.0,3137280.0,535608.0,535608.0,21.42432,0,0.0,0.0,0.0,21.42432,1,964.0,1038.0
12,0,12,calib_static,32,0,,5858,0,0.0,3022728.0,3022728.0,506196.0,506196.0,20.24784,0,0.0,0.0,0.0,20.24784,1,856.0,981.0
