global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,5997,0,0.0,3094452.0,3094452.0,765228.0,765228.0,30.60912,0,0.0,0.0,0.0,30.60912,0,1227.0,1483.0
1,0,1,uniform_full,32,0,,6034,0,0.0,3113544.0,3113544.0,748200.0,748200.0,29.928,0,0.0,0.0,0.0,29.928,0,1030.0,1450.0
2,0,2,uniform_full,32,0,,6065,0,0.0,3129540.0,3129540.0,758004.0,758004.0,30.32016,0,0.0,0.0,0.0,30.32016,0,1378.0,1469.0
3,0,3,uniform_full,32,0,,5968,0,0.0,3079488.0,3079488.0,700212.0,700212.0,28.00848,0,0.0,0.0,0.0,28.00848,0,966.0,1357.0
4,0,4,uniform_full,32,0,,6156,0,0.0,3176496.0,3176496.0,811152.0,811152.0,32.44608,0,0.0,0.0,0.0,32.44608,0,1198.0,1572.0
5,0,5,uniform_full,32,0,,6081,0,0.0,3137796.0,3137796.0,770388.0,770388.0,30.81552,0,0.0,0.0,0.0,30.81552,0,1110.0,1493.0
6,0,6,uniform_full,32,0,,5995,0,0.0,3093420.0,3093420.0,739944.0,739944.0,29.59776,0,0.0,0.0,0.0,29.59776,0,996.0,1434.0
7,0,7,uniform_full,32,0,,5959,0,0.0,3074844.0,3074844.0,718272.0,718272.0,28.73088,0,0.0,0.0,0.0,28.73088,0,1109.0,1392.0
8,0,8,uniform_full,32,0,,6102,0,0.0,3148632.0,3148632.0,726528.0,726528.0,29.06112,0,0.0,0.0,0.0,29.06112,0,997.0,1408.0
9,0,9,uniform_full,32,0,,5944,0,0.0,3067104.0,3067104.0,747684.0,747684.0,29.90736,0,0.0,0.0,0.0,29.90736,0,982.0,1449.0
10,0,10,uniform_full,32,0,,5962,0,0.0,3076392.0,3076392.0,749748.0,749748.0,29.98992,0,0.0,0.0,0.0,29.98992,0,1060.0,1453.0
11,0,11,uniform_full,32,0,,6014,0,0.0,3103224.0,3103224.0,772968.0,772968.0,30.91872,0,0.0,0.0,0.0,30.91872,0,972.0,1498.0
12,0,12,uniform_full,32,0,,5929,0,0.0,3059364.0,3059364.0,691956.0,691956.0,27.67824,0,0.0,0.0,0.0,27.67824,0,1029.0,1341.0
13,0,13,uniform_full,32,0,,6240,0,0.0,3219840.0,3219840.0,798252.0,798252.0,31.93008,0,0.0,0.0,0.0,31.93008,0,1214.0,1547.0
14,0,14,uniform_full,32,0,,6004,0,0.0,3098064.0,3098064.0,789996.0,789996.0,31.59984,0,0.0,0.0,0.0,31.59984,0,1046.0,1531.0
15,0,15,uniform_full,32,0,,5655,0,0.0,2917980.0,2917980.0,698664.0,698664.0,27.94656,0,0.0,0.0,0.0,27.94656,0,1013.0,1354.0
