request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,0,0,2.0728554725646973,-1.1250001192092896,-0.9478553533554077,-1.3228553533554077,-2.0728554725646973,-2.0728554725646973,0.17046335991472006,16438,0,0.0,8482008.0
1,computer_security,1,3,0,1.6232479810714722,-0.1875,-1.4982479810714722,-1.6232479810714722,-2.2482481002807617,-1.4357479810714722,0.17046335991472006,14652,0,0.0,7560432.0
2,machine_learning,0,0,1,1.5419831275939941,0.0,-1.5419831275939941,-1.5419831275939941,-2.104483127593994,-1.8544831275939941,0.17046335991472006,8232,0,0.0,4247712.0
3,computer_security,0,0,1,1.0821332931518555,0.25,-1.0821332931518555,-1.3321332931518555,-1.8321332931518555,-2.0821332931518555,0.17046335991472006,7907,0,0.0,4080012.0
4,high_school_mathematics,0,0,1,2.0499866008758545,0.0,-2.0499866008758545,-2.0499866008758545,-2.7374866008758545,-2.8624866008758545,0.17046335991472006,9313,0,0.0,4805508.0
5,machine_learning,0,1,0,1.4125324487686157,-0.0625,-1.4125324487686157,-1.3500324487686157,-2.350032329559326,-2.537532329559326,0.17046335991472006,10526,0,0.0,5431416.0
6,high_school_mathematics,1,1,1,1.5701279640197754,0.125,-1.6951279640197754,-1.5701279640197754,-2.0701279640197754,-1.9451279640197754,0.17046335991472006,14418,0,0.0,7439688.0
7,computer_security,1,0,0,1.574595332145691,-0.125,-1.449595332145691,-1.574595332145691,-1.949595332145691,-1.637095332145691,0.17046335991472006,13367,0,0.0,6897372.0
8,abstract_algebra,2,1,0,3.023714542388916,-1.3750001192092896,-2.211214542388916,-1.6487144231796265,-3.023714542388916,-2.461214542388916,0.16000917926430702,12868,0,0.0,6639888.0
9,abstract_algebra,2,0,0,1.7531142234802246,-0.5625,-1.1906142234802246,-1.6281142234802246,-1.7531142234802246,-1.6906142234802246,0.16000917926430702,10973,0,0.0,5662068.0
10,machine_learning,2,1,0,2.6857433319091797,-0.75,-2.0607433319091797,-1.9357433319091797,-2.6857433319091797,-2.4982433319091797,0.16000917926430702,8670,0,0.0,4473720.0
11,abstract_algebra,3,1,0,2.256413698196411,-0.6875,-1.9439136981964111,-1.5689136981964111,-2.818913698196411,-2.256413698196411,0.16000917926430702,9945,0,0.0,5131620.0
12,machine_learning,0,1,0,1.6535764932632446,-0.3125,-1.6535764932632446,-1.3410764932632446,-2.341076374053955,-2.341076374053955,0.16000917926430702,13389,0,0.0,6908724.0
13,high_school_mathematics,0,1,0,2.389688014984131,-0.5625,-2.389688014984131,-1.8271880149841309,-2.077188014984131,-2.202188014984131,0.16000917926430702,17445,0,0.0,9001620.0
14,high_school_mathematics,3,1,0,1.7886111736297607,-0.375,-1.4761111736297607,-1.4136111736297607,-2.1011111736297607,-1.7886111736297607,0.16000917926430702,15616,0,0.0,8057856.0
15,abstract_algebra,0,0,1,1.5779740810394287,0.0625,-1.5779740810394287,-1.6404740810394287,-2.2029740810394287,-2.2029740810394287,0.16000917926430702,9779,0,0.0,5045964.0
