global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,20,0,,6123,0,0.0,3159468.0,3159468.0,1626948.0,1626948.0,65.07792,0,0.0,0.0,0.0,65.07792,0,1689.0,3153.0
1,0,1,causal_no_hysteresis,20,0,,5753,0,0.0,2968548.0,2968548.0,1491240.0,1491240.0,59.6496,0,0.0,0.0,0.0,59.6496,1,1456.0,2890.0
2,0,2,causal_no_hysteresis,20,0,,6031,0,0.0,3111996.0,3111996.0,1552644.0,1552644.0,62.10576,0,0.0,0.0,0.0,62.10576,1,1930.0,3009.0
3,0,3,causal_no_hysteresis,20,0,,5614,0,0.0,2896824.0,2896824.0,1395780.0,1395780.0,55.8312,0,0.0,0.0,0.0,55.8312,1,1354.0,2705.0
4,0,4,causal_no_hysteresis,20,0,,6169,0,0.0,3183204.0,3183204.0,1639848.0,1639848.0,65.59392,0,0.0,0.0,0.0,65.59392,1,1678.0,3178.0
5,0,5,causal_no_hysteresis,20,0,,5941,0,0.0,3065556.0,3065556.0,1544388.0,1544388.0,61.77552,0,0.0,0.0,0.0,61.77552,1,1473.0,2993.0
6,0,6,causal_no_hysteresis,20,0,,6027,0,0.0,3109932.0,3109932.0,1525812.0,1525812.0,61.03248,0,0.0,0.0,0.0,61.03248,1,1338.0,2957.0
7,0,7,causal_no_hysteresis,20,0,,5716,0,0.0,2949456.0,2949456.0,1420032.0,1420032.0,56.80128,0,0.0,0.0,0.0,56.80128,1,1501.0,2752.0
8,0,8,causal_no_hysteresis,20,0,,5874,0,0.0,3030984.0,3030984.0,1482468.0,1482468.0,59.29872,0,0.0,0.0,0.0,59.29872,1,1382.0,2873.0
9,0,9,causal_no_hysteresis,20,0,,5907,0,0.0,3048012.0,3048012.0,1527360.0,1527360.0,61.0944,0,0.0,0.0,0.0,61.0944,1,1413.0,2960.0
