model,origin_mode,saving_basis,harm_basis,lambda,winner,winner_reward,reward_uniform_full,reward_calib_static,reward_causal_no_hysteresis,reward_controller
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.1,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.2,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.5,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,1.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,2.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,5.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,10.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.1,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.2,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.5,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,1.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,2.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,5.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,10.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,uniform_full;calib_static;causal_no_hysteresis;controller,0.0,0.0,0.0,0.0,0.0
