request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,2,1,1.188144564628601,0.5,-2.0006446838378906,-1.750644564628601,-1.188144564628601,-1.688144564628601,0.25277906470000744,7448,0,0.0,15283296.0
1,computer_security,1,2,0,1.275174856185913,-0.0625,-2.025174856185913,-1.275174856185913,-1.212674856185913,-1.650174856185913,0.25277906470000744,6697,0,0.0,13742244.0
2,machine_learning,0,1,0,1.4162195920944214,-0.1875,-1.4162195920944214,-1.2287195920944214,-1.7912195920944214,-2.103719711303711,0.25277906470000744,3897,0,0.0,7996644.0
3,computer_security,0,0,1,1.0303621292114258,0.375,-1.0303621292114258,-1.4053621292114258,-2.092862129211426,-2.280362129211426,0.25277906470000744,3519,0,0.0,7220988.0
4,high_school_mathematics,0,1,0,2.01245379447937,-0.5625,-2.01245379447937,-1.4499537944793701,-1.8874537944793701,-1.9499537944793701,0.25277906470000744,4343,0,0.0,8911836.0
5,machine_learning,0,3,0,2.0397071838378906,-0.5000001192092896,-2.0397071838378906,-1.852207064628601,-1.789707064628601,-1.539707064628601,0.25277906470000744,5099,0,0.0,10463148.0
6,high_school_mathematics,1,2,0,1.5797806978225708,-0.3125,-1.8297806978225708,-1.5797806978225708,-1.2672806978225708,-1.7047806978225708,0.25277906470000744,6524,0,0.0,13387248.0
7,computer_security,1,1,1,0.8776205778121948,1.2500001192092896,-2.3776206970214844,-0.8776205778121948,-2.3151206970214844,-2.1276206970214844,0.25277906470000744,6738,0,0.0,13826376.0
8,abstract_algebra,2,3,0,1.8873366117477417,-0.0625,-1.9498366117477417,-2.0123367309570312,-1.8873366117477417,-1.8248366117477417,0.25280069559812546,6302,0,0.0,12931704.0
9,abstract_algebra,2,3,0,1.723578691482544,-0.75,-1.911078691482544,-2.411078691482544,-1.723578691482544,-0.973578691482544,0.25280069559812546,5317,0,0.0,10910484.0
10,machine_learning,2,1,0,2.0756962299346924,-0.75,-1.8256962299346924,-1.3256962299346924,-2.0756962299346924,-1.9506962299346924,0.25280069559812546,3950,0,0.0,8105400.0
11,abstract_algebra,3,3,1,1.7163310050964355,0.1875,-2.2788310050964355,-2.0288310050964355,-1.9038310050964355,-1.7163310050964355,0.25280069559812546,4810,0,0.0,9870120.0
12,machine_learning,0,3,0,1.8700339794158936,-0.375,-1.8700339794158936,-1.7450339794158936,-1.7450339794158936,-1.4950339794158936,0.25280069559812546,6291,0,0.0,12909132.0
13,high_school_mathematics,0,1,0,1.9366129636764526,-0.375,-1.9366129636764526,-1.5616129636764526,-1.9366129636764526,-2.374113082885742,0.25280069559812546,8024,0,0.0,16465248.0
14,high_school_mathematics,3,2,0,1.6089452505111694,-0.0625,-2.108945369720459,-2.171445369720459,-1.5464452505111694,-1.6089452505111694,0.25280069559812546,7705,0,0.0,15810660.0
15,abstract_algebra,0,3,0,1.7916228771209717,-0.4375,-1.7916228771209717,-1.8541228771209717,-2.0416228771209717,-1.3541228771209717,0.25280069559812546,4703,0,0.0,9650556.0
