global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,2833,0,0.0,5813316.0,5813316.0,1335852.0,1335852.0,53.43408,0,0.0,0.0,0.0,53.43408,0,457.0,651.0
1,0,1,uniform_full,32,0,,2962,0,0.0,6078024.0,6078024.0,1284552.0,1284552.0,51.38208,0,0.0,0.0,0.0,51.38208,0,547.0,626.0
2,0,2,uniform_full,32,0,,2767,0,0.0,5677884.0,5677884.0,1389204.0,1389204.0,55.56816,0,0.0,0.0,0.0,55.56816,0,610.0,677.0
3,0,3,uniform_full,32,0,,3084,0,0.0,6328368.0,6328368.0,1830384.0,1830384.0,73.21536,0,0.0,0.0,0.0,73.21536,0,665.0,892.0
4,0,4,uniform_full,32,0,,2896,0,0.0,5942592.0,5942592.0,1428192.0,1428192.0,57.12768,0,0.0,0.0,0.0,57.12768,0,539.0,696.0
5,0,5,uniform_full,32,0,,2680,0,0.0,5499360.0,5499360.0,1062936.0,1062936.0,42.51744,0,0.0,0.0,0.0,42.51744,0,430.0,518.0
6,0,6,uniform_full,32,0,,2812,0,0.0,5770224.0,5770224.0,1481544.0,1481544.0,59.26176,0,0.0,0.0,0.0,59.26176,0,664.0,722.0
7,0,7,uniform_full,32,0,,2790,0,0.0,5725080.0,5725080.0,1399464.0,1399464.0,55.97856,0,0.0,0.0,0.0,55.97856,0,682.0,596.0
8,0,8,uniform_full,32,0,,2828,0,0.0,5803056.0,5803056.0,1354320.0,1354320.0,54.1728,0,0.0,0.0,0.0,54.1728,0,602.0,660.0
9,0,9,uniform_full,32,0,,2930,0,0.0,6012360.0,6012360.0,1463076.0,1463076.0,58.52304,0,0.0,0.0,0.0,58.52304,0,553.0,713.0
10,0,10,uniform_full,32,0,,2843,0,0.0,5833836.0,5833836.0,1403568.0,1403568.0,56.14272,0,0.0,0.0,0.0,56.14272,0,558.0,684.0
11,0,11,uniform_full,32,0,,2875,0,0.0,5899500.0,5899500.0,1348164.0,1348164.0,53.92656,0,0.0,0.0,0.0,53.92656,0,573.0,657.0
12,0,12,uniform_full,32,0,,2891,0,0.0,5932332.0,5932332.0,1530792.0,1530792.0,61.23168,0,0.0,0.0,0.0,61.23168,0,649.0,746.0
13,0,13,uniform_full,32,0,,2793,0,0.0,5731236.0,5731236.0,1130652.0,1130652.0,45.22608,0,0.0,0.0,0.0,45.22608,0,551.0,538.0
14,0,14,uniform_full,32,0,,2825,0,0.0,5796900.0,5796900.0,1422036.0,1422036.0,56.88144,0,0.0,0.0,0.0,56.88144,0,575.0,693.0
15,0,15,uniform_full,32,0,,2692,0,0.0,5523984.0,5523984.0,945972.0,945972.0,37.83888,0,0.0,0.0,0.0,37.83888,0,460.0,461.0
