global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,bf16_reference,32,0,,2794,0,0.0,5733288.0,5733288.0,1225044.0,1225044.0,49.00176,0,0.0,0.0,0.0,49.00176,0,597.0,463.0
1,0,1,bf16_reference,32,0,,2763,0,0.0,5669676.0,5669676.0,933660.0,933660.0,37.3464,0,0.0,0.0,0.0,37.3464,0,455.0,447.0
2,0,2,bf16_reference,32,0,,2710,0,0.0,5560920.0,5560920.0,1007532.0,1007532.0,40.30128,0,0.0,0.0,0.0,40.30128,0,491.0,453.0
3,0,3,bf16_reference,32,0,,2798,0,0.0,5741496.0,5741496.0,1200420.0,1200420.0,48.0168,0,0.0,0.0,0.0,48.0168,0,584.0,585.0
4,0,4,bf16_reference,32,0,,2784,0,0.0,5712768.0,5712768.0,1383048.0,1383048.0,55.32192,0,0.0,0.0,0.0,55.32192,0,674.0,470.0
5,0,5,bf16_reference,32,0,,2834,0,0.0,5815368.0,5815368.0,1099872.0,1099872.0,43.99488,0,0.0,0.0,0.0,43.99488,0,536.0,519.0
6,0,6,bf16_reference,32,0,,2834,0,0.0,5815368.0,5815368.0,1075248.0,1075248.0,43.00992,0,0.0,0.0,0.0,43.00992,0,515.0,524.0
7,0,7,bf16_reference,32,0,,2705,0,0.0,5550660.0,5550660.0,1038312.0,1038312.0,41.53248,0,0.0,0.0,0.0,41.53248,0,506.0,459.0
8,0,8,bf16_reference,32,0,,2809,0,0.0,5764068.0,5764068.0,962388.0,962388.0,38.49552,0,0.0,0.0,0.0,38.49552,0,422.0,469.0
9,0,9,bf16_reference,32,0,,2762,0,0.0,5667624.0,5667624.0,1122444.0,1122444.0,44.89776,0,0.0,0.0,0.0,44.89776,0,547.0,474.0
10,0,10,bf16_reference,32,0,,2785,0,0.0,5714820.0,5714820.0,991116.0,991116.0,39.64464,0,0.0,0.0,0.0,39.64464,0,475.0,483.0
11,0,11,bf16_reference,32,0,,2751,0,0.0,5645052.0,5645052.0,1038312.0,1038312.0,41.53248,0,0.0,0.0,0.0,41.53248,0,472.0,506.0
12,0,12,bf16_reference,32,0,,2726,0,0.0,5593752.0,5593752.0,1011636.0,1011636.0,40.46544,0,0.0,0.0,0.0,40.46544,0,480.0,493.0
13,0,13,bf16_reference,32,0,,2709,0,0.0,5558868.0,5558868.0,1393308.0,1393308.0,55.73232,0,0.0,0.0,0.0,55.73232,0,679.0,509.0
14,0,14,bf16_reference,32,0,,2756,0,0.0,5655312.0,5655312.0,948024.0,948024.0,37.92096,0,0.0,0.0,0.0,37.92096,0,462.0,447.0
15,0,15,bf16_reference,32,0,,2710,0,0.0,5560920.0,5560920.0,1021896.0,1021896.0,40.87584,0,0.0,0.0,0.0,40.87584,0,498.0,473.0
16,1,0,bf16_reference,32,0,,2934,0,0.0,6020568.0,6020568.0,1485648.0,1485648.0,59.42592,0,0.0,0.0,0.0,59.42592,0,724.0,538.0
17,1,1,bf16_reference,32,0,,2880,0,0.0,5909760.0,5909760.0,1167588.0,1167588.0,46.70352,0,0.0,0.0,0.0,46.70352,0,569.0,540.0
18,1,2,bf16_reference,32,0,,2885,0,0.0,5920020.0,5920020.0,1036260.0,1036260.0,41.4504,0,0.0,0.0,0.0,41.4504,0,505.0,494.0
19,1,3,bf16_reference,32,0,,2943,0,0.0,6039036.0,6039036.0,1044468.0,1044468.0,41.77872,0,0.0,0.0,0.0,41.77872,0,509.0,502.0
20,1,4,bf16_reference,32,0,,2976,0,0.0,6106752.0,6106752.0,1783188.0,1783188.0,71.32752,0,0.0,0.0,0.0,71.32752,0,869.0,560.0
21,1,5,bf16_reference,32,0,,2957,0,0.0,6067764.0,6067764.0,1282500.0,1282500.0,51.3,0,0.0,0.0,0.0,51.3,0,625.0,572.0
22,1,6,bf16_reference,32,0,,2888,0,0.0,5926176.0,5926176.0,1165536.0,1165536.0,46.62144,0,0.0,0.0,0.0,46.62144,0,568.0,452.0
23,1,7,bf16_reference,32,0,,2986,0,0.0,6127272.0,6127272.0,1278396.0,1278396.0,51.13584,0,0.0,0.0,0.0,51.13584,0,623.0,577.0
24,1,8,bf16_reference,32,0,,2957,0,0.0,6067764.0,6067764.0,1007532.0,1007532.0,40.30128,0,0.0,0.0,0.0,40.30128,0,476.0,491.0
25,1,9,bf16_reference,32,0,,2979,0,0.0,6112908.0,6112908.0,1549260.0,1549260.0,61.9704,0,0.0,0.0,0.0,61.9704,0,755.0,508.0
26,1,10,bf16_reference,32,0,,2952,0,0.0,6057504.0,6057504.0,1116288.0,1116288.0,44.65152,0,0.0,0.0,0.0,44.65152,0,544.0,522.0
27,1,11,bf16_reference,32,0,,2926,0,0.0,6004152.0,6004152.0,1060884.0,1060884.0,42.43536,0,0.0,0.0,0.0,42.43536,0,517.0,488.0
28,1,12,bf16_reference,32,0,,2940,0,0.0,6032880.0,6032880.0,974700.0,974700.0,38.988,0,0.0,0.0,0.0,38.988,0,475.0,470.0
29,1,13,bf16_reference,32,0,,3016,0,0.0,6188832.0,6188832.0,1497960.0,1497960.0,59.9184,0,0.0,0.0,0.0,59.9184,0,730.0,576.0
30,1,14,bf16_reference,32,0,,2956,0,0.0,6065712.0,6065712.0,1179900.0,1179900.0,47.196,0,0.0,0.0,0.0,47.196,0,575.0,484.0
31,1,15,bf16_reference,32,0,,2910,0,0.0,5971320.0,5971320.0,1181952.0,1181952.0,47.27808,0,0.0,0.0,0.0,47.27808,0,576.0,510.0
