request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,2,1,1.1117936372756958,0.5625,-2.1117935180664062,-1.8617936372756958,-1.1117936372756958,-1.6742936372756958,0.29372403491288424,7458,582,0.07803700724054706,14707848.0
1,computer_security,1,1,1,1.2170239686965942,0.0625,-2.0295238494873047,-1.2170239686965942,-1.2795239686965942,-1.6545239686965942,0.29372403491288424,6697,585,0.08735254591608183,13143204.0
2,machine_learning,0,1,0,1.4005380868911743,-0.125,-1.4005380868911743,-1.2755380868911743,-1.6505380868911743,-2.2130379676818848,0.29372403491288424,3899,322,0.08258527827648116,7671020.0
3,computer_security,0,0,1,1.1634441614151,0.125,-1.1634441614151,-1.2884441614151,-1.9759441614151,-2.1634440422058105,0.29372403491288424,3519,287,0.08155726058539357,6927100.0
4,high_school_mathematics,0,1,0,1.8150005340576172,-0.375,-1.8150005340576172,-1.4400005340576172,-1.7525005340576172,-1.9400005340576172,0.29372403491288424,4500,335,0.07444444444444444,8890960.0
5,machine_learning,0,3,0,2.082223415374756,-0.5625001192092896,-2.082223415374756,-1.8947232961654663,-1.8322232961654663,-1.5197232961654663,0.29372403491288424,5022,385,0.07666268418956591,9910904.0
6,high_school_mathematics,1,2,0,1.5342929363250732,-0.1875,-1.7842929363250732,-1.5342929363250732,-1.3467929363250732,-1.7217929363250732,0.29372403491288424,6658,0,0.0,13662216.0
7,computer_security,1,1,1,0.8478668928146362,1.3125001192092896,-2.347867012023926,-0.8478668928146362,-2.410367012023926,-2.160367012023926,0.29372403491288424,6735,30,0.004454342984409799,13789500.0
8,abstract_algebra,2,3,0,1.9420931339263916,-0.125,-1.8795931339263916,-2.0045931339263916,-1.9420931339263916,-1.8170931339263916,0.2642999021336436,6296,977,0.15517789072426938,11918944.0
9,abstract_algebra,2,3,0,1.6653587818145752,-0.625,-1.9153587818145752,-2.415358781814575,-1.6653587818145752,-1.0403587818145752,0.2642999021336436,5330,832,0.15609756097560976,10085192.0
10,machine_learning,2,1,0,2.0922152996063232,-0.8125,-1.8422152996063232,-1.2797152996063232,-2.0922152996063232,-2.0297152996063232,0.2642999021336436,3962,596,0.15042907622412924,7519720.0
11,abstract_algebra,3,3,1,1.7390087842941284,0.1875,-2.301508903503418,-1.9890087842941284,-1.9265087842941284,-1.7390087842941284,0.2642999021336436,4810,720,0.1496881496881497,9132840.0
12,machine_learning,0,3,0,1.982455849647522,-0.375,-1.982455849647522,-1.794955849647522,-1.732455849647522,-1.607455849647522,0.2642999021336436,6257,940,0.15023174045069523,11876804.0
13,high_school_mathematics,0,1,0,1.9538522958755493,-0.4375,-1.9538522958755493,-1.5163522958755493,-1.8288522958755493,-2.3288521766662598,0.2642999021336436,8113,1156,0.1424873659558733,15464132.0
14,high_school_mathematics,3,3,1,1.5375022888183594,0.0625,-2.1000022888183594,-2.1625022888183594,-1.6000022888183594,-1.5375022888183594,0.2642999021336436,7517,0,0.0,15424884.0
15,abstract_algebra,0,3,0,1.6673563718795776,-0.1875,-1.6673563718795776,-1.9173563718795776,-2.042356491088867,-1.4798563718795776,0.2642999021336436,4699,96,0.020429878697595234,9544044.0
