global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,calib_static,20,0,,2622,0,0.0,5380344.0,5380344.0,2546532.0,2546532.0,101.86128,0,0.0,0.0,0.0,101.86128,1,586.0,1241.0
1,0,1,calib_static,20,0,,2723,0,0.0,5587596.0,5587596.0,2651184.0,2651184.0,106.04736,0,0.0,0.0,0.0,106.04736,1,772.0,1292.0
2,0,2,calib_static,20,0,,2775,0,0.0,5694300.0,5694300.0,2735316.0,2735316.0,109.41264,0,0.0,0.0,0.0,109.41264,1,794.0,1333.0
3,0,3,calib_static,20,13,0:4;4:0;4:1;4:2;5:0;5:1;5:2;6:0;6:1;6:2;7:0;7:1;7:2,3298,2526,0.7659187386294725,4180872.0,6767496.0,3644352.0,1825728.0,145.77408,85,62.7332788772583,1333.082176141739,62.7332788772583,135.7623988772583,0,1042.0,1776.0
4,0,4,calib_static,20,0,,2783,0,0.0,5710716.0,5710716.0,2764044.0,2764044.0,110.56176,0,0.0,0.0,0.0,110.56176,1,693.0,1347.0
5,0,5,calib_static,20,0,,2493,0,0.0,5115636.0,5115636.0,2347488.0,2347488.0,93.89952,0,0.0,0.0,0.0,93.89952,1,646.0,1144.0
6,0,6,calib_static,20,0,,2923,0,0.0,5997996.0,5997996.0,3073896.0,3073896.0,122.95584,0,0.0,0.0,0.0,122.95584,1,879.0,1498.0
7,0,7,calib_static,20,0,,2661,0,0.0,5460372.0,5460372.0,2519856.0,2519856.0,100.79424,0,0.0,0.0,0.0,100.79424,1,884.0,1228.0
8,0,8,calib_static,20,0,,2854,0,0.0,5856408.0,5856408.0,2868696.0,2868696.0,114.74784,0,0.0,0.0,0.0,114.74784,1,739.0,1398.0
9,0,9,calib_static,20,0,,2850,0,0.0,5848200.0,5848200.0,2848176.0,2848176.0,113.92704,0,0.0,0.0,0.0,113.92704,1,731.0,1388.0
10,0,10,calib_static,20,0,,2881,0,0.0,5911812.0,5911812.0,2950776.0,2950776.0,118.03104,0,0.0,0.0,0.0,118.03104,1,733.0,1438.0
11,0,11,calib_static,20,0,,2912,0,0.0,5975424.0,5975424.0,2907684.0,2907684.0,116.30736,0,0.0,0.0,0.0,116.30736,1,747.0,1417.0
12,0,12,calib_static,20,0,,2906,0,0.0,5963112.0,5963112.0,3053376.0,3053376.0,122.13504,0,0.0,0.0,0.0,122.13504,1,835.0,1488.0
13,0,13,calib_static,20,0,,2513,0,0.0,5156676.0,5156676.0,2251044.0,2251044.0,90.04176,0,0.0,0.0,0.0,90.04176,1,682.0,1097.0
14,0,14,calib_static,20,0,,2769,0,0.0,5681988.0,5681988.0,2764044.0,2764044.0,110.56176,0,0.0,0.0,0.0,110.56176,1,729.0,1347.0
15,0,15,calib_static,20,0,,2525,0,0.0,5181300.0,5181300.0,2341332.0,2341332.0,93.65328,0,0.0,0.0,0.0,93.65328,1,644.0,1141.0
