request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,2,1,1.1149600744247437,0.625,-2.052460193634033,-1.8649600744247437,-1.1149600744247437,-1.7399600744247437,0.28337192814797163,7453,582,0.07808935998926607,14697588.0
1,computer_security,1,1,1,1.202302098274231,0.125,-2.0148019790649414,-1.202302098274231,-1.327302098274231,-1.639802098274231,0.28337192814797163,6688,585,0.0874700956937799,13124736.0
2,machine_learning,0,1,0,1.3312357664108276,-0.0625,-1.3312357664108276,-1.2687357664108276,-1.7062357664108276,-2.268735885620117,0.28337192814797163,3898,322,0.08260646485377117,7668968.0
3,computer_security,0,0,1,1.158505916595459,0.1875,-1.158505916595459,-1.346005916595459,-1.971005916595459,-2.096005916595459,0.28337192814797163,3518,287,0.08158044343376919,6925048.0
4,high_school_mathematics,0,1,0,1.7717090845108032,-0.375,-1.7717090845108032,-1.3967090845108032,-1.8342090845108032,-1.9592090845108032,0.28337192814797163,4502,335,0.07441137272323411,8895064.0
5,machine_learning,0,3,0,2.1003341674804688,-0.6250001192092896,-2.1003341674804688,-1.8503340482711792,-1.7878340482711792,-1.4753340482711792,0.28337192814797163,5022,385,0.07666268418956591,9910904.0
6,high_school_mathematics,1,2,0,1.5824165344238281,-0.3125,-1.8324165344238281,-1.5824165344238281,-1.2699165344238281,-1.7074165344238281,0.28337192814797163,6664,531,0.07968187274909964,13130784.0
7,computer_security,1,1,1,0.8748821020126343,1.1875001192092896,-2.437382221221924,-0.8748821020126343,-2.374882221221924,-2.062382221221924,0.28337192814797163,6732,271,0.04025549613784908,13536560.0
8,abstract_algebra,2,3,0,1.931645154953003,-0.0625,-1.994145154953003,-2.056645154953003,-1.931645154953003,-1.869145154953003,0.2741850772872567,6286,505,0.08033725739739103,12381752.0
9,abstract_algebra,2,3,0,1.6832823753356934,-0.6875,-1.9332823753356934,-2.4332823753356934,-1.6832823753356934,-0.9957823753356934,0.2741850772872567,5315,405,0.0761994355597366,10491660.0
10,machine_learning,2,1,0,2.1384081840515137,-0.8125001192092896,-1.8884080648422241,-1.3259080648422241,-2.1384081840515137,-2.0759081840515137,0.2741850772872567,3953,318,0.0804452314697698,7785924.0
11,abstract_algebra,3,3,1,1.7966055870056152,0.125,-2.2966055870056152,-2.0466055870056152,-1.9216055870056152,-1.7966055870056152,0.2741850772872567,4816,360,0.07475083056478406,9513792.0
12,machine_learning,0,3,0,1.9492387771606445,-0.375,-1.9492387771606445,-1.7617387771606445,-1.6992387771606445,-1.5742387771606445,0.2741850772872567,6257,493,0.07879175323637526,12334532.0
13,high_school_mathematics,0,1,0,1.9575260877609253,-0.4375,-1.9575260877609253,-1.5200260877609253,-1.8950260877609253,-2.395026206970215,0.2741850772872567,8109,587,0.07238870390923666,16038580.0
14,high_school_mathematics,3,3,1,1.5440772771835327,0.125,-2.1690773963928223,-2.2315773963928223,-1.6690772771835327,-1.5440772771835327,0.2741850772872567,7514,546,0.0726643598615917,14859624.0
15,abstract_algebra,0,3,0,1.7309848070144653,-0.25,-1.7309848070144653,-1.8559848070144653,-2.105984687805176,-1.4809848070144653,0.2741850772872567,4699,0,0.0,9642348.0
