global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,20,0,,2622,0,0.0,5380344.0,5380344.0,2546532.0,2546532.0,101.86128,0,0.0,0.0,0.0,101.86128,0,586.0,1241.0
1,0,1,causal_no_hysteresis,20,0,,2723,0,0.0,5587596.0,5587596.0,2651184.0,2651184.0,106.04736,0,0.0,0.0,0.0,106.04736,1,772.0,1292.0
2,0,2,causal_no_hysteresis,20,0,,2775,0,0.0,5694300.0,5694300.0,2735316.0,2735316.0,109.41264,0,0.0,0.0,0.0,109.41264,1,794.0,1333.0
3,0,3,causal_no_hysteresis,20,20,0:4;1:4;2:4;3:4;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,3298,3298,1.0,3390344.0,6767496.0,3644352.0,1825728.0,145.77408,111,62.7332788772583,1740.8484888439177,62.7332788772583,135.7623988772583,0,1042.0,1776.0
4,0,4,causal_no_hysteresis,20,0,,2786,0,0.0,5716872.0,5716872.0,2764044.0,2764044.0,110.56176,0,0.0,0.0,0.0,110.56176,1,693.0,1347.0
5,0,5,causal_no_hysteresis,20,0,,2498,0,0.0,5125896.0,5125896.0,2351592.0,2351592.0,94.06368,0,0.0,0.0,0.0,94.06368,1,647.0,1146.0
6,0,6,causal_no_hysteresis,20,0,,2920,0,0.0,5991840.0,5991840.0,3071844.0,3071844.0,122.87376,0,0.0,0.0,0.0,122.87376,1,877.0,1497.0
7,0,7,causal_no_hysteresis,20,0,,2661,0,0.0,5460372.0,5460372.0,2515752.0,2515752.0,100.63008,0,0.0,0.0,0.0,100.63008,1,886.0,1226.0
8,0,8,causal_no_hysteresis,20,0,,2861,0,0.0,5870772.0,5870772.0,2870748.0,2870748.0,114.82992,0,0.0,0.0,0.0,114.82992,1,741.0,1399.0
9,0,9,causal_no_hysteresis,20,0,,2849,0,0.0,5846148.0,5846148.0,2848176.0,2848176.0,113.92704,0,0.0,0.0,0.0,113.92704,1,730.0,1388.0
10,0,10,causal_no_hysteresis,20,0,,2880,0,0.0,5909760.0,5909760.0,2946672.0,2946672.0,117.86688,0,0.0,0.0,0.0,117.86688,1,728.0,1436.0
11,0,11,causal_no_hysteresis,20,0,,2906,0,0.0,5963112.0,5963112.0,2895372.0,2895372.0,115.81488,0,0.0,0.0,0.0,115.81488,1,745.0,1411.0
12,0,12,causal_no_hysteresis,20,0,,2904,0,0.0,5959008.0,5959008.0,3057480.0,3057480.0,122.2992,0,0.0,0.0,0.0,122.2992,1,841.0,1490.0
13,0,13,causal_no_hysteresis,20,0,,2507,0,0.0,5144364.0,5144364.0,2244888.0,2244888.0,89.79552,0,0.0,0.0,0.0,89.79552,1,682.0,1094.0
14,0,14,causal_no_hysteresis,20,0,,2768,0,0.0,5679936.0,5679936.0,2753784.0,2753784.0,110.15136,0,0.0,0.0,0.0,110.15136,1,728.0,1342.0
15,0,15,causal_no_hysteresis,20,0,,2519,0,0.0,5168988.0,5168988.0,2337228.0,2337228.0,93.48912,0,0.0,0.0,0.0,93.48912,1,642.0,1139.0
16,1,0,causal_no_hysteresis,20,0,,2740,0,0.0,5622480.0,5622480.0,2372112.0,2372112.0,94.88448,0,0.0,0.0,0.0,94.88448,1,660.0,1156.0
17,1,1,causal_no_hysteresis,20,0,,2719,0,0.0,5579388.0,5579388.0,2210004.0,2210004.0,88.40016,0,0.0,0.0,0.0,88.40016,1,930.0,1077.0
18,1,2,causal_no_hysteresis,20,0,,3046,0,0.0,6250392.0,6250392.0,2761992.0,2761992.0,110.47968,0,0.0,0.0,0.0,110.47968,1,959.0,1346.0
19,1,3,causal_no_hysteresis,20,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,3456,3214,0.9299768518518519,3800576.0,7091712.0,3258576.0,1632464.0,130.34304,108,62.7332788772583,1693.798529685974,62.7332788772583,128.03183887725828,0,968.0,1588.0
20,1,4,causal_no_hysteresis,20,0,,2780,0,0.0,5704560.0,5704560.0,2419308.0,2419308.0,96.77232,0,0.0,0.0,0.0,96.77232,1,905.0,1179.0
21,1,5,causal_no_hysteresis,20,0,,2609,0,0.0,5353668.0,5353668.0,2197692.0,2197692.0,87.90768,0,0.0,0.0,0.0,87.90768,1,741.0,1071.0
22,1,6,causal_no_hysteresis,20,0,,3164,0,0.0,6492528.0,6492528.0,2846124.0,2846124.0,113.84496,0,0.0,0.0,0.0,113.84496,1,1182.0,1387.0
23,1,7,causal_no_hysteresis,20,0,,2664,0,0.0,5466528.0,5466528.0,2341332.0,2341332.0,93.65328,0,0.0,0.0,0.0,93.65328,1,1141.0,1139.0
24,1,8,causal_no_hysteresis,20,0,,2951,0,0.0,6055452.0,6055452.0,2653236.0,2653236.0,106.12944,0,0.0,0.0,0.0,106.12944,1,963.0,1293.0
25,1,9,causal_no_hysteresis,20,0,,2975,0,0.0,6104700.0,6104700.0,2706588.0,2706588.0,108.26352,0,0.0,0.0,0.0,108.26352,1,1038.0,1319.0
26,1,10,causal_no_hysteresis,20,0,,2995,0,0.0,6145740.0,6145740.0,2749680.0,2749680.0,109.9872,0,0.0,0.0,0.0,109.9872,1,980.0,1340.0
27,1,11,causal_no_hysteresis,20,0,,2972,0,0.0,6098544.0,6098544.0,2653236.0,2653236.0,106.12944,0,0.0,0.0,0.0,106.12944,1,1102.0,1293.0
28,1,12,causal_no_hysteresis,20,0,,3373,0,0.0,6921396.0,6921396.0,3139560.0,3139560.0,125.5824,0,0.0,0.0,0.0,125.5824,1,966.0,1530.0
29,1,13,causal_no_hysteresis,20,0,,2645,0,0.0,5427540.0,5427540.0,2349540.0,2349540.0,93.9816,0,0.0,0.0,0.0,93.9816,1,765.0,1145.0
30,1,14,causal_no_hysteresis,20,0,,3111,0,0.0,6383772.0,6383772.0,2794824.0,2794824.0,111.79296,0,0.0,0.0,0.0,111.79296,1,852.0,1362.0
31,1,15,causal_no_hysteresis,20,0,,2749,0,0.0,5640948.0,5640948.0,2349540.0,2349540.0,93.9816,0,0.0,0.0,0.0,93.9816,1,870.0,1145.0
