request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,2,1,1.0403001308441162,0.6875,-2.040300130844116,-1.9153001308441162,-1.0403001308441162,-1.7278001308441162,0.26854337751865387,7449,582,0.07813129279097865,14689380.0
1,computer_security,1,1,1,1.2262048721313477,0.0625,-2.0387048721313477,-1.2262048721313477,-1.2887048721313477,-1.6637048721313477,0.26854337751865387,6693,585,0.08740475123263111,13134996.0
2,machine_learning,0,1,0,1.3381789922714233,-0.0625,-1.3381789922714233,-1.2756789922714233,-1.7131789922714233,-2.275679111480713,0.26854337751865387,3897,322,0.08262766230433667,7666916.0
3,computer_security,0,0,1,1.12598717212677,0.1875,-1.12598717212677,-1.31348717212677,-2.0634870529174805,-2.0634870529174805,0.26854337751865387,3522,287,0.0814877910278251,6933256.0
4,high_school_mathematics,0,1,0,1.9176018238067627,-0.5,-1.9176018238067627,-1.4176018238067627,-1.7926018238067627,-1.9801018238067627,0.26854337751865387,4491,63,0.014028056112224449,9151020.0
5,machine_learning,0,3,0,2.0861763954162598,-0.5,-2.0861763954162598,-1.8361763954162598,-1.7736763954162598,-1.5861763954162598,0.26854337751865387,5015,70,0.013958125623130608,10219100.0
6,high_school_mathematics,1,2,0,1.5074222087860107,-0.1875,-1.7574222087860107,-1.5074222087860107,-1.3199222087860107,-1.7574222087860107,0.26854337751865387,6665,83,0.01245311327831958,13591588.0
7,computer_security,1,1,1,0.8751015663146973,1.3125,-2.3126015663146973,-0.8751015663146973,-2.3126015663146973,-2.1876015663146973,0.26854337751865387,6743,0,0.0,13836636.0
8,abstract_algebra,2,3,0,1.9244163036346436,-0.0625,-1.9869163036346436,-1.9869163036346436,-1.9244163036346436,-1.8619163036346436,0.26994215697050095,6286,505,0.08033725739739103,12381752.0
9,abstract_algebra,2,3,0,1.6750690937042236,-0.625,-1.9250690937042236,-2.4250690937042236,-1.6750690937042236,-1.0500690937042236,0.26994215697050095,5316,405,0.07618510158013544,10493712.0
10,machine_learning,2,1,0,2.1304492950439453,-0.8124998807907104,-1.8179494142532349,-1.3179494142532349,-2.1304492950439453,-2.0054492950439453,0.26994215697050095,3951,318,0.08048595292331055,7781820.0
11,abstract_algebra,3,3,1,1.7546788454055786,0.1875,-2.317178726196289,-2.067178726196289,-1.9421788454055786,-1.7546788454055786,0.26994215697050095,4814,360,0.07478188616535106,9509688.0
12,machine_learning,0,3,0,1.9266636371612549,-0.375,-1.9266636371612549,-1.8016636371612549,-1.6766636371612549,-1.5516636371612549,0.26994215697050095,6254,409,0.06539814518708027,12414392.0
13,high_school_mathematics,0,1,0,1.9612994194030762,-0.4375,-1.9612994194030762,-1.5237994194030762,-1.8362994194030762,-2.336299419403076,0.26994215697050095,8111,587,0.0723708543952657,16042684.0
14,high_school_mathematics,3,3,1,1.5372865200042725,0.125,-2.2247865200042725,-2.2247865200042725,-1.6622865200042725,-1.5372865200042725,0.26994215697050095,7513,546,0.07267403167842407,14857572.0
15,abstract_algebra,0,3,0,1.7956846952438354,-0.3125,-1.7956846952438354,-1.8581846952438354,-2.045684814453125,-1.4831846952438354,0.26994215697050095,4699,0,0.0,9642348.0
