global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,controller,20,0,,2622,0,0.0,5380344.0,5380344.0,2546532.0,2546532.0,101.86128,0,0.0,0.0,0.0,101.86128,0,586.0,1241.0
1,0,1,controller,20,0,,2723,0,0.0,5587596.0,5587596.0,2651184.0,2651184.0,106.04736,0,0.0,0.0,0.0,106.04736,1,772.0,1292.0
2,0,2,controller,20,0,,2775,0,0.0,5694300.0,5694300.0,2735316.0,2735316.0,109.41264,0,0.0,0.0,0.0,109.41264,1,794.0,1333.0
3,0,3,controller,20,7,4:0;5:0;5:1;5:2;5:3;6:0;7:0,3298,1992,0.604002425712553,4727688.0,6767496.0,3644352.0,1825728.0,145.77408,66,62.7332788772583,1035.099101474762,62.7332788772583,135.7623988772583,0,1042.0,1776.0
4,0,4,controller,20,0,,2778,0,0.0,5700456.0,5700456.0,2764044.0,2764044.0,110.56176,0,0.0,0.0,0.0,110.56176,1,699.0,1347.0
5,0,5,controller,20,0,,2493,0,0.0,5115636.0,5115636.0,2347488.0,2347488.0,93.89952,0,0.0,0.0,0.0,93.89952,1,645.0,1144.0
6,0,6,controller,20,0,,2923,0,0.0,5997996.0,5997996.0,3069792.0,3069792.0,122.79168,0,0.0,0.0,0.0,122.79168,1,878.0,1496.0
7,0,7,controller,20,0,,2667,0,0.0,5472684.0,5472684.0,2523960.0,2523960.0,100.9584,0,0.0,0.0,0.0,100.9584,1,885.0,1230.0
8,0,8,controller,20,0,,2857,0,0.0,5862564.0,5862564.0,2874852.0,2874852.0,114.99408,0,0.0,0.0,0.0,114.99408,1,741.0,1401.0
9,0,9,controller,20,0,,2844,0,0.0,5835888.0,5835888.0,2835864.0,2835864.0,113.43456,0,0.0,0.0,0.0,113.43456,1,721.0,1382.0
10,0,10,controller,20,0,,2880,0,0.0,5909760.0,5909760.0,2950776.0,2950776.0,118.03104,0,0.0,0.0,0.0,118.03104,1,737.0,1438.0
11,0,11,controller,20,0,,2908,0,0.0,5967216.0,5967216.0,2895372.0,2895372.0,115.81488,0,0.0,0.0,0.0,115.81488,1,745.0,1411.0
12,0,12,controller,20,0,,2916,0,0.0,5983632.0,5983632.0,3067740.0,3067740.0,122.7096,0,0.0,0.0,0.0,122.7096,1,841.0,1495.0
13,0,13,controller,20,0,,2502,0,0.0,5134104.0,5134104.0,2242836.0,2242836.0,89.71344,0,0.0,0.0,0.0,89.71344,1,681.0,1093.0
14,0,14,controller,20,0,,2764,0,0.0,5671728.0,5671728.0,2751732.0,2751732.0,110.06928,0,0.0,0.0,0.0,110.06928,1,731.0,1341.0
15,0,15,controller,20,0,,2525,0,0.0,5181300.0,5181300.0,2341332.0,2341332.0,93.65328,0,0.0,0.0,0.0,93.65328,1,649.0,1141.0
16,1,0,controller,20,0,,2740,0,0.0,5622480.0,5622480.0,2372112.0,2372112.0,94.88448,0,0.0,0.0,0.0,94.88448,1,660.0,1156.0
17,1,1,controller,20,0,,2719,0,0.0,5579388.0,5579388.0,2210004.0,2210004.0,88.40016,0,0.0,0.0,0.0,88.40016,1,930.0,1077.0
18,1,2,controller,20,0,,3046,0,0.0,6250392.0,6250392.0,2761992.0,2761992.0,110.47968,0,0.0,0.0,0.0,110.47968,1,959.0,1346.0
19,1,3,controller,20,15,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;6:3;7:0;7:1;7:2;7:3,3456,3130,0.9056712962962963,3886592.0,7091712.0,3258576.0,1632464.0,130.34304,105,62.7332788772583,1646.7485705280303,62.7332788772583,128.03183887725828,0,968.0,1588.0
20,1,4,controller,20,0,,2780,0,0.0,5704560.0,5704560.0,2419308.0,2419308.0,96.77232,0,0.0,0.0,0.0,96.77232,1,902.0,1179.0
21,1,5,controller,20,0,,2610,0,0.0,5355720.0,5355720.0,2197692.0,2197692.0,87.90768,0,0.0,0.0,0.0,87.90768,1,741.0,1071.0
22,1,6,controller,20,0,,3166,0,0.0,6496632.0,6496632.0,2846124.0,2846124.0,113.84496,0,0.0,0.0,0.0,113.84496,1,1181.0,1387.0
23,1,7,controller,20,0,,2665,0,0.0,5468580.0,5468580.0,2343384.0,2343384.0,93.73536,0,0.0,0.0,0.0,93.73536,1,1142.0,1140.0
24,1,8,controller,20,0,,2951,0,0.0,6055452.0,6055452.0,2655288.0,2655288.0,106.21152,0,0.0,0.0,0.0,106.21152,1,964.0,1294.0
25,1,9,controller,20,0,,2975,0,0.0,6104700.0,6104700.0,2704536.0,2704536.0,108.18144,0,0.0,0.0,0.0,108.18144,1,1038.0,1318.0
26,1,10,controller,20,0,,3003,0,0.0,6162156.0,6162156.0,2755836.0,2755836.0,110.23344,0,0.0,0.0,0.0,110.23344,1,980.0,1343.0
27,1,11,controller,20,0,,2969,0,0.0,6092388.0,6092388.0,2649132.0,2649132.0,105.96528,0,0.0,0.0,0.0,105.96528,1,1101.0,1291.0
28,1,12,controller,20,0,,3364,0,0.0,6902928.0,6902928.0,3135456.0,3135456.0,125.41824,0,0.0,0.0,0.0,125.41824,1,967.0,1528.0
29,1,13,controller,20,0,,2644,0,0.0,5425488.0,5425488.0,2349540.0,2349540.0,93.9816,0,0.0,0.0,0.0,93.9816,1,765.0,1145.0
30,1,14,controller,20,0,,3106,0,0.0,6373512.0,6373512.0,2792772.0,2792772.0,111.71088,0,0.0,0.0,0.0,111.71088,1,850.0,1361.0
31,1,15,controller,20,0,,2750,0,0.0,5643000.0,5643000.0,2345436.0,2345436.0,93.81744,0,0.0,0.0,0.0,93.81744,1,874.0,1143.0
