model,origin_mode,saving_basis,harm_basis,lambda,arm,winner_probability,winner_margin_ci_low,winner_margin_ci_high
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.1,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.1,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.1,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.1,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.2,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.2,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.2,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.2,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.5,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.5,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.5,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.5,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,1.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,2.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,2.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,2.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,2.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,5.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,5.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,5.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,5.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,10.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,10.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,10.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,10.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.1,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.2,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,1.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,2.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,5.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,10.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,uniform_full,0.142,2.3520221075135674e-05,0.0010443027344162427
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,calib_static,0.438,2.3520221075135674e-05,0.0010443027344162427
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,causal_no_hysteresis,0.022,2.3520221075135674e-05,0.0010443027344162427
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.1,controller,0.398,2.3520221075135674e-05,0.0010443027344162427
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,uniform_full,0.828,6.031470906135714e-05,0.005045714347182241
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,calib_static,0.116,6.031470906135714e-05,0.005045714347182241
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,causal_no_hysteresis,0.002,6.031470906135714e-05,0.005045714347182241
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.2,controller,0.054,6.031470906135714e-05,0.005045714347182241
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,uniform_full,0.988,0.001639924013826985,0.01803009096980754
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,calib_static,0.008,0.001639924013826985,0.01803009096980754
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,causal_no_hysteresis,0.0,0.001639924013826985,0.01803009096980754
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.5,controller,0.004,0.001639924013826985,0.01803009096980754
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,uniform_full,0.998,0.0056758514166439745,0.039672675975418716
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,calib_static,0.002,0.0056758514166439745,0.039672675975418716
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,causal_no_hysteresis,0.0,0.0056758514166439745,0.039672675975418716
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.0,controller,0.0,0.0056758514166439745,0.039672675975418716
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,uniform_full,0.998,0.014932255682405351,0.08295784598664108
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,calib_static,0.002,0.014932255682405351,0.08295784598664108
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,causal_no_hysteresis,0.0,0.014932255682405351,0.08295784598664108
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.0,controller,0.0,0.014932255682405351,0.08295784598664108
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,uniform_full,0.998,0.042741167419410385,0.21281335602030815
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,calib_static,0.002,0.042741167419410385,0.21281335602030815
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,causal_no_hysteresis,0.0,0.042741167419410385,0.21281335602030815
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,5.0,controller,0.0,0.042741167419410385,0.21281335602030815
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,uniform_full,0.998,0.08909482887462442,0.42923920607641997
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,calib_static,0.002,0.08909482887462442,0.42923920607641997
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,causal_no_hysteresis,0.0,0.08909482887462442,0.42923920607641997
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,10.0,controller,0.0,0.08909482887462442,0.42923920607641997
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,uniform_full,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,calib_static,1.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,causal_no_hysteresis,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,controller,0.0,6.0754959975262146e-05,6.0754959975262146e-05
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,uniform_full,1.0,0.0010391468674505909,0.008253687110599395
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,calib_static,0.0,0.0010391468674505909,0.008253687110599395
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.1,causal_no_hysteresis,0.0,0.0010391468674505909,0.008253687110599395
