model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,0.12014704958225861,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.12014704958225861,0.12923588882911935,controller,True,False
olmoe,hotspot,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.12923588882911935,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,0.00405469028603952,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.00405469028603952,0.03639895596018713,controller,True,False
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.03639895596018713,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,0.0016242724455111115,calib_static,False,True
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0016242724455111115,0.030255874997510934,controller,True,False
olmoe,hotspot,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.030255874997510934,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,incremental_accuracy_harm_ucb95,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,0.12014704958225861,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.12014704958225861,0.12923588882911935,controller,True,False
olmoe,hotspot,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.12923588882911935,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,0.00405469028603952,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.00405469028603952,0.03639895596018713,controller,True,False
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.03639895596018713,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,0.0016242724455111115,calib_static,False,True
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.0016242724455111115,0.030255874997510934,controller,True,False
olmoe,hotspot,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm_ucb95,0.030255874997510934,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,incremental_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_accuracy_harm_ucb95,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,mean_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm,0.0,inf,uniform_full,False,True
olmoe,hotspot,simulated_saving_serialized_tiles_codec,cvar_incremental_positive_nll_harm_ucb95,0.0,inf,uniform_full,False,True
