request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,2,2,1,1.189133644104004,0.5,-2.001633644104004,-1.751633644104004,-1.189133644104004,-1.689133644104004,0.2538615642115474,7441,0,0.0,15268932.0
1,computer_security,1,1,1,1.2701414823532104,0.0,-2.0201416015625,-1.2701414823532104,-1.2701414823532104,-1.5826414823532104,0.2538615642115474,6694,0,0.0,13736088.0
2,machine_learning,0,1,0,1.4418319463729858,-0.1875,-1.4418319463729858,-1.2543319463729858,-1.7543319463729858,-2.0668320655822754,0.2538615642115474,3897,0,0.0,7996644.0
3,computer_security,0,0,1,1.007644772529602,0.4375,-1.007644772529602,-1.445144772529602,-2.0701446533203125,-2.3201446533203125,0.2538615642115474,3513,0,0.0,7208676.0
4,high_school_mathematics,0,1,0,1.8666030168533325,-0.4375,-1.8666030168533325,-1.4291030168533325,-1.8041030168533325,-1.9916030168533325,0.2538615642115474,4500,0,0.0,9234000.0
5,machine_learning,0,3,0,2.04478120803833,-0.5000001192092896,-2.04478120803833,-1.7947810888290405,-1.7322810888290405,-1.5447810888290405,0.2538615642115474,5026,0,0.0,10313352.0
6,high_school_mathematics,1,2,0,1.5337203741073608,-0.1875,-1.7837203741073608,-1.5337203741073608,-1.3462203741073608,-1.7212203741073608,0.2538615642115474,6669,0,0.0,13684788.0
7,computer_security,1,1,1,0.850276529788971,1.3125,-2.350276470184326,-0.850276529788971,-2.350276470184326,-2.162776470184326,0.2538615642115474,6739,0,0.0,13828428.0
8,abstract_algebra,2,3,0,1.88543701171875,-0.0625,-1.94793701171875,-2.01043701171875,-1.88543701171875,-1.82293701171875,0.2548312433063984,6300,0,0.0,12927600.0
9,abstract_algebra,2,3,0,1.757615089416504,-0.8125,-1.945115089416504,-2.445115089416504,-1.757615089416504,-0.9451150894165039,0.2548312433063984,5320,0,0.0,10916640.0
10,machine_learning,2,1,0,2.1382594108581543,-0.8124998807907104,-1.8257595300674438,-1.3257595300674438,-2.1382594108581543,-2.0132594108581543,0.2548312433063984,3957,0,0.0,8119764.0
11,abstract_algebra,3,3,1,1.6872942447662354,0.1875,-2.2497942447662354,-2.0622942447662354,-1.8747942447662354,-1.6872942447662354,0.2548312433063984,4805,0,0.0,9859860.0
12,machine_learning,0,3,0,1.9131096601486206,-0.3125,-1.9131096601486206,-1.7256096601486206,-1.6631096601486206,-1.6006096601486206,0.2548312433063984,6259,0,0.0,12843468.0
13,high_school_mathematics,0,1,0,1.8829025030136108,-0.3125,-1.8829025030136108,-1.5704025030136108,-1.8829025030136108,-2.3204026222229004,0.2548312433063984,8123,0,0.0,16668396.0
14,high_school_mathematics,3,3,1,1.5285919904708862,0.0625,-2.153592109680176,-2.153592109680176,-1.5910919904708862,-1.5285919904708862,0.2548312433063984,7518,0,0.0,15426936.0
15,abstract_algebra,0,3,0,1.794966459274292,-0.3125,-1.794966459274292,-1.857466459274292,-2.044966459274292,-1.482466459274292,0.2548312433063984,4700,0,0.0,9644400.0
