global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,blocked_by_codec_tax,max_sender_load,max_receiver_load
0,0,0,uniform_full,20,0,,2622,0,0.0,5380344.0,5380344.0,2546532.0,2546532.0,101.86128,0,0.0,0.0,0.0,101.86128,0,586.0,1241.0
1,0,1,uniform_full,20,0,,2723,0,0.0,5587596.0,5587596.0,2651184.0,2651184.0,106.04736,0,0.0,0.0,0.0,106.04736,0,772.0,1292.0
2,0,2,uniform_full,20,0,,2775,0,0.0,5694300.0,5694300.0,2735316.0,2735316.0,109.41264,0,0.0,0.0,0.0,109.41264,0,794.0,1333.0
3,0,3,uniform_full,20,0,,3298,0,0.0,6767496.0,6767496.0,3644352.0,3644352.0,145.77408,0,0.0,0.0,0.0,145.77408,0,1042.0,1776.0
4,0,4,uniform_full,20,0,,2775,0,0.0,5694300.0,5694300.0,2755836.0,2755836.0,110.23344,0,0.0,0.0,0.0,110.23344,0,699.0,1343.0
5,0,5,uniform_full,20,0,,2488,0,0.0,5105376.0,5105376.0,2335176.0,2335176.0,93.40704,0,0.0,0.0,0.0,93.40704,0,654.0,1138.0
6,0,6,uniform_full,20,0,,2923,0,0.0,5997996.0,5997996.0,3067740.0,3067740.0,122.7096,0,0.0,0.0,0.0,122.7096,0,878.0,1495.0
7,0,7,uniform_full,20,0,,2661,0,0.0,5460372.0,5460372.0,2517804.0,2517804.0,100.71216,0,0.0,0.0,0.0,100.71216,0,875.0,1227.0
8,0,8,uniform_full,20,0,,2848,0,0.0,5844096.0,5844096.0,2852280.0,2852280.0,114.0912,0,0.0,0.0,0.0,114.0912,0,740.0,1390.0
9,0,9,uniform_full,20,0,,2849,0,0.0,5846148.0,5846148.0,2835864.0,2835864.0,113.43456,0,0.0,0.0,0.0,113.43456,0,718.0,1382.0
10,0,10,uniform_full,20,0,,2871,0,0.0,5891292.0,5891292.0,2932308.0,2932308.0,117.29232,0,0.0,0.0,0.0,117.29232,0,736.0,1429.0
11,0,11,uniform_full,20,0,,2914,0,0.0,5979528.0,5979528.0,2913840.0,2913840.0,116.5536,0,0.0,0.0,0.0,116.5536,0,749.0,1420.0
12,0,12,uniform_full,20,0,,2916,0,0.0,5983632.0,5983632.0,3069792.0,3069792.0,122.79168,0,0.0,0.0,0.0,122.79168,0,833.0,1496.0
13,0,13,uniform_full,20,0,,2506,0,0.0,5142312.0,5142312.0,2240784.0,2240784.0,89.63136,0,0.0,0.0,0.0,89.63136,0,683.0,1092.0
14,0,14,uniform_full,20,0,,2777,0,0.0,5698404.0,5698404.0,2766096.0,2766096.0,110.64384,0,0.0,0.0,0.0,110.64384,0,732.0,1348.0
15,0,15,uniform_full,20,0,,2533,0,0.0,5197716.0,5197716.0,2345436.0,2345436.0,93.81744,0,0.0,0.0,0.0,93.81744,0,655.0,1143.0
16,1,0,uniform_full,20,0,,2740,0,0.0,5622480.0,5622480.0,2372112.0,2372112.0,94.88448,0,0.0,0.0,0.0,94.88448,0,660.0,1156.0
17,1,1,uniform_full,20,0,,2719,0,0.0,5579388.0,5579388.0,2210004.0,2210004.0,88.40016,0,0.0,0.0,0.0,88.40016,0,930.0,1077.0
18,1,2,uniform_full,20,0,,3046,0,0.0,6250392.0,6250392.0,2761992.0,2761992.0,110.47968,0,0.0,0.0,0.0,110.47968,0,959.0,1346.0
19,1,3,uniform_full,20,0,,3456,0,0.0,7091712.0,7091712.0,3258576.0,3258576.0,130.34304,0,0.0,0.0,0.0,130.34304,0,968.0,1588.0
20,1,4,uniform_full,20,0,,2779,0,0.0,5702508.0,5702508.0,2419308.0,2419308.0,96.77232,0,0.0,0.0,0.0,96.77232,0,901.0,1179.0
21,1,5,uniform_full,20,0,,2607,0,0.0,5349564.0,5349564.0,2199744.0,2199744.0,87.98976,0,0.0,0.0,0.0,87.98976,0,738.0,1072.0
22,1,6,uniform_full,20,0,,3184,0,0.0,6533568.0,6533568.0,2866644.0,2866644.0,114.66576,0,0.0,0.0,0.0,114.66576,0,1181.0,1397.0
23,1,7,uniform_full,20,0,,2656,0,0.0,5450112.0,5450112.0,2331072.0,2331072.0,93.24288,0,0.0,0.0,0.0,93.24288,0,1131.0,1136.0
24,1,8,uniform_full,20,0,,2957,0,0.0,6067764.0,6067764.0,2651184.0,2651184.0,106.04736,0,0.0,0.0,0.0,106.04736,0,964.0,1292.0
25,1,9,uniform_full,20,0,,2978,0,0.0,6110856.0,6110856.0,2712744.0,2712744.0,108.50976,0,0.0,0.0,0.0,108.50976,0,1033.0,1322.0
26,1,10,uniform_full,20,0,,2984,0,0.0,6123168.0,6123168.0,2733264.0,2733264.0,109.33056,0,0.0,0.0,0.0,109.33056,0,978.0,1332.0
27,1,11,uniform_full,20,0,,2980,0,0.0,6114960.0,6114960.0,2647080.0,2647080.0,105.8832,0,0.0,0.0,0.0,105.8832,0,1099.0,1290.0
28,1,12,uniform_full,20,0,,3373,0,0.0,6921396.0,6921396.0,3145716.0,3145716.0,125.82864,0,0.0,0.0,0.0,125.82864,0,970.0,1533.0
29,1,13,uniform_full,20,0,,2639,0,0.0,5415228.0,5415228.0,2331072.0,2331072.0,93.24288,0,0.0,0.0,0.0,93.24288,0,768.0,1136.0
30,1,14,uniform_full,20,0,,3119,0,0.0,6400188.0,6400188.0,2813292.0,2813292.0,112.53168,0,0.0,0.0,0.0,112.53168,0,854.0,1371.0
31,1,15,uniform_full,20,0,,2765,0,0.0,5673780.0,5673780.0,2370060.0,2370060.0,94.8024,0,0.0,0.0,0.0,94.8024,0,886.0,1155.0
