global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,bf16_reference,32,0,,51163,0,0.0,26400108.0,26400108.0,4561440.0,4561440.0,182.4576,0,0.0,0.0,0.0,182.4576,8395.0,8840.0
1,0,1,bf16_reference,32,0,,51165,0,0.0,26401140.0,26401140.0,4269900.0,4269900.0,170.796,0,0.0,0.0,0.0,170.796,7897.0,8275.0
2,0,2,bf16_reference,32,0,,51266,0,0.0,26453256.0,26453256.0,4831824.0,4831824.0,193.27296,0,0.0,0.0,0.0,193.27296,9364.0,8668.0
3,0,3,bf16_reference,32,0,,50957,0,0.0,26293812.0,26293812.0,4196112.0,4196112.0,167.84448,0,0.0,0.0,0.0,167.84448,7795.0,8132.0
4,0,4,bf16_reference,32,0,,51277,0,0.0,26458932.0,26458932.0,4460304.0,4460304.0,178.41216,0,0.0,0.0,0.0,178.41216,7946.0,8644.0
5,0,5,bf16_reference,32,0,,51146,0,0.0,26391336.0,26391336.0,4186824.0,4186824.0,167.47296,0,0.0,0.0,0.0,167.47296,7154.0,8114.0
6,0,6,bf16_reference,32,0,,51102,0,0.0,26368632.0,26368632.0,4406640.0,4406640.0,176.2656,0,0.0,0.0,0.0,176.2656,6849.0,8540.0
7,0,7,bf16_reference,32,0,,51267,0,0.0,26453772.0,26453772.0,4419024.0,4419024.0,176.76096,0,0.0,0.0,0.0,176.76096,7435.0,8564.0
8,0,8,bf16_reference,32,0,,51033,0,0.0,26333028.0,26333028.0,4267320.0,4267320.0,170.6928,0,0.0,0.0,0.0,170.6928,7234.0,8270.0
9,0,9,bf16_reference,32,0,,51389,0,0.0,26516724.0,26516724.0,4189404.0,4189404.0,167.57616,0,0.0,0.0,0.0,167.57616,7568.0,8119.0
10,0,10,bf16_reference,32,0,,51220,0,0.0,26429520.0,26429520.0,4470624.0,4470624.0,178.82496,0,0.0,0.0,0.0,178.82496,7447.0,8664.0
11,0,11,bf16_reference,32,0,,51130,0,0.0,26383080.0,26383080.0,4061952.0,4061952.0,162.47808,0,0.0,0.0,0.0,162.47808,7300.0,7872.0
12,0,12,bf16_reference,32,0,,51396,0,0.0,26520336.0,26520336.0,4307568.0,4307568.0,172.30272,0,0.0,0.0,0.0,172.30272,7987.0,8348.0
13,0,13,bf16_reference,32,0,,51397,0,0.0,26520852.0,26520852.0,4638324.0,4638324.0,185.53296,0,0.0,0.0,0.0,185.53296,7534.0,8989.0
14,0,14,bf16_reference,32,0,,50965,0,0.0,26297940.0,26297940.0,4557312.0,4557312.0,182.29248,0,0.0,0.0,0.0,182.29248,6950.0,8832.0
15,0,15,bf16_reference,32,0,,51106,0,0.0,26370696.0,26370696.0,4049568.0,4049568.0,161.98272,0,0.0,0.0,0.0,161.98272,7220.0,7848.0
16,1,0,bf16_reference,32,0,,48520,0,0.0,25036320.0,25036320.0,4299828.0,4299828.0,171.99312,0,0.0,0.0,0.0,171.99312,8333.0,6850.0
17,1,1,bf16_reference,32,0,,47841,0,0.0,24685956.0,24685956.0,3673404.0,3673404.0,146.93616,0,0.0,0.0,0.0,146.93616,7119.0,7022.0
18,1,2,bf16_reference,32,0,,48142,0,0.0,24841272.0,24841272.0,4666704.0,4666704.0,186.66816,0,0.0,0.0,0.0,186.66816,9044.0,7078.0
19,1,3,bf16_reference,32,0,,47983,0,0.0,24759228.0,24759228.0,3816852.0,3816852.0,152.67408,0,0.0,0.0,0.0,152.67408,7031.0,7397.0
20,1,4,bf16_reference,32,0,,48397,0,0.0,24972852.0,24972852.0,4047504.0,4047504.0,161.90016,0,0.0,0.0,0.0,161.90016,7844.0,6838.0
21,1,5,bf16_reference,32,0,,48305,0,0.0,24925380.0,24925380.0,3738936.0,3738936.0,149.55744,0,0.0,0.0,0.0,149.55744,6485.0,7246.0
22,1,6,bf16_reference,32,0,,48247,0,0.0,24895452.0,24895452.0,3610968.0,3610968.0,144.43872,0,0.0,0.0,0.0,144.43872,6614.0,6998.0
23,1,7,bf16_reference,32,0,,47908,0,0.0,24720528.0,24720528.0,3701784.0,3701784.0,148.07136,0,0.0,0.0,0.0,148.07136,7007.0,7174.0
24,1,8,bf16_reference,32,0,,48113,0,0.0,24826308.0,24826308.0,3676500.0,3676500.0,147.06,0,0.0,0.0,0.0,147.06,6554.0,7125.0
25,1,9,bf16_reference,32,0,,48278,0,0.0,24911448.0,24911448.0,3731196.0,3731196.0,149.24784,0,0.0,0.0,0.0,149.24784,6812.0,7231.0
