request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.8384060859680176,-0.6042566299438477,-1.23414945602417,-1.8384060859680176,-1.7001852989196777,-1.4176020622253418,13.681509125000005,11451,11451,1.0,2977260.0
1,formal_logic,3,0,0,1.9368361234664917,-0.47796630859375,-1.4588698148727417,-1.8387078046798706,-1.7771471738815308,-1.9368361234664917,13.681509125000005,13950,7165,0.5136200716845878,5363960.0
2,formal_logic,3,0,0,1.8651304244995117,-0.1400146484375,-1.7251157760620117,-2.391653060913086,-2.7702932357788086,-1.8651304244995117,13.681509125000005,14333,14333,1.0,3726580.0
3,computer_security,1,0,0,1.5586143732070923,-0.306488037109375,-1.2521263360977173,-1.5586143732070923,-1.8008371591567993,-1.6246057748794556,13.681509125000005,8772,2385,0.2718878248974008,3915792.0
4,college_computer_science,2,0,0,1.9488859176635742,-0.7083063125610352,-1.240579605102539,-1.2839975357055664,-1.9488859176635742,-1.7206106185913086,13.681509125000005,14231,3680,0.2585904012367367,6401116.0
5,abstract_algebra,2,1,0,3.0103044509887695,-1.5862759351730347,-2.2222862243652344,-1.4240285158157349,-3.0103044509887695,-2.4104909896850586,13.681509125000005,12661,0,0.0,6533076.0
6,abstract_algebra,1,1,1,1.4623786211013794,0.04835987091064453,-1.510738492012024,-1.4623786211013794,-2.6499547958374023,-2.4751625061035156,13.681509125000005,7639,1966,0.25736352925775624,3438428.0
7,professional_accounting,0,0,1,1.2618341445922852,0.17858123779296875,-1.2618341445922852,-1.440415382385254,-1.7546606063842773,-1.6157007217407227,13.681509125000005,22599,0,0.0,11661084.0
8,college_mathematics,1,3,0,2.351489782333374,-0.664271354675293,-1.7664878368377686,-2.351489782333374,-2.215834379196167,-1.687218427658081,13.681509125000005,11009,11009,1.0,2862340.0
9,high_school_physics,2,1,0,2.0516269207000732,-0.2234363555908203,-2.2145402431488037,-1.828190565109253,-2.0516269207000732,-2.3930232524871826,13.681509125000005,14044,7345,0.5229991455425804,5366384.0
10,electrical_engineering,0,0,1,1.2100615501403809,0.17679882049560547,-1.2100615501403809,-1.3868603706359863,-1.5767312049865723,-1.7509684562683105,13.681509125000005,8782,8782,1.0,2283320.0
11,machine_learning,1,0,0,2.281219959259033,-0.805094838142395,-1.4761251211166382,-2.281219959259033,-2.710045337677002,-1.7912153005599976,13.681509125000005,8348,2331,0.27922855773838046,3710832.0
12,electrical_engineering,2,0,0,1.7223000526428223,-0.6341762542724609,-1.0881237983703613,-1.3623099327087402,-1.7223000526428223,-1.91585111618042,13.681509125000005,7154,1759,0.24587643276488677,3241160.0
13,high_school_mathematics,3,1,0,2.2392148971557617,-0.7194072008132935,-1.7371691465377808,-1.5198076963424683,-2.221172332763672,-2.2392148971557617,13.681509125000005,10511,0,0.0,5423676.0
14,astronomy,2,0,0,2.219167470932007,-1.0976829528808594,-1.1214845180511475,-1.344048261642456,-2.219167470932007,-1.924727201461792,13.681509125000005,12100,3022,0.24975206611570247,5469968.0
15,college_computer_science,3,0,0,2.5069286823272705,-0.5555686950683594,-1.9513599872589111,-2.0654118061065674,-2.981644868850708,-2.5069286823272705,13.681509125000005,20386,0,0.0,10519176.0
16,computer_security,2,0,0,1.6464601755142212,-0.3432283401489258,-1.3032318353652954,-1.4933143854141235,-1.6464601755142212,-1.7701927423477173,13.681509125000005,7212,7212,1.0,1875120.0
17,business_ethics,2,0,0,2.0262842178344727,-0.7229175567626953,-1.3033666610717773,-1.7292699813842773,-2.0262842178344727,-1.8286123275756836,13.681509125000005,12957,6588,0.5084510303310952,4999284.0
18,college_mathematics,1,0,0,1.8718467950820923,-0.1167898178100586,-1.7550569772720337,-1.8718467950820923,-2.3970322608947754,-1.8376423120498657,13.681509125000005,15230,15230,1.0,3959800.0
19,professional_accounting,2,0,0,1.8086315393447876,-0.3979911804199219,-1.4106403589248657,-1.8141132593154907,-1.8086315393447876,-1.5533043146133423,13.681509125000005,14818,3958,0.26710757187204753,6632840.0
20,college_mathematics,1,1,1,1.6432194709777832,0.3270998001098633,-1.9703192710876465,-1.6432194709777832,-2.1023125648498535,-2.3694958686828613,13.681509125000005,12055,3166,0.2626296142679386,5409884.0
21,business_ethics,0,0,1,1.2245242595672607,0.1518383026123047,-1.2245242595672607,-1.3763625621795654,-1.8066232204437256,-1.984886884689331,13.681509125000005,15595,0,0.0,8047020.0
22,econometrics,0,0,1,1.3924577236175537,0.1421365737915039,-1.3924577236175537,-1.5345942974090576,-2.156292676925659,-1.9129130840301514,13.681509125000005,15775,4139,0.2623771790808241,7080316.0
23,conceptual_physics,2,0,0,1.9032583236694336,-0.6528911590576172,-1.2503671646118164,-1.5858144760131836,-1.9032583236694336,-1.7698068618774414,13.681509125000005,5944,0,0.0,3067104.0
24,professional_accounting,2,0,0,2.1353402137756348,-0.7036247253417969,-1.431715488433838,-1.9845337867736816,-2.1353402137756348,-1.4416537284851074,13.681509125000005,15123,15123,1.0,3931980.0
25,college_mathematics,0,0,1,1.43453848361969,0.2511730194091797,-1.43453848361969,-2.227766513824463,-2.091052532196045,-1.6857115030288696,13.681509125000005,17742,9219,0.5196144741291849,6794808.0
26,professional_accounting,3,2,0,1.9624179601669312,-0.3844785690307617,-2.207620143890381,-1.7978919744491577,-1.5779393911361694,-1.9624179601669312,13.681509125000005,10782,10782,1.0,2803320.0
27,electrical_engineering,3,0,0,2.113037586212158,-0.9110031127929688,-1.2020344734191895,-1.6174015998840332,-2.181002140045166,-2.113037586212158,13.681509125000005,7383,2020,0.2736015169985101,3292508.0
28,conceptual_physics,3,0,0,1.7653690576553345,-0.4396018981933594,-1.325767159461975,-1.5172897577285767,-1.8100591897964478,-1.7653690576553345,13.681509125000005,7841,2030,0.2588955490371126,3526276.0
29,high_school_physics,3,0,0,1.7278908491134644,-0.30586910247802734,-1.422021746635437,-1.4681748151779175,-2.0233850479125977,-1.7278908491134644,13.681509125000005,26631,0,0.0,13741596.0
30,machine_learning,0,1,0,1.7780832052230835,-0.33677101135253906,-1.7780832052230835,-1.4413121938705444,-2.436675548553467,-2.4292960166931152,13.681509125000005,14044,3642,0.25932782682996297,6314352.0
31,high_school_physics,0,0,1,1.1597185134887695,0.04321861267089844,-1.1597185134887695,-1.202937126159668,-1.9818286895751953,-1.956233024597168,13.681509125000005,10053,0,0.0,5187348.0
32,machine_learning,0,0,1,1.1500287055969238,0.43351268768310547,-1.1500287055969238,-1.7127556800842285,-2.032400608062744,-1.5835413932800293,13.681509125000005,10197,10197,1.0,2651220.0
33,formal_logic,1,3,0,2.4115869998931885,-0.9978151321411133,-1.9408342838287354,-2.4115869998931885,-1.6778748035430908,-1.4137718677520752,13.681509125000005,10195,5367,0.5264345267287887,3886668.0
34,college_computer_science,3,0,0,1.5725466012954712,-0.29337024688720703,-1.2791763544082642,-1.5348612070083618,-1.7874037027359009,-1.5725466012954712,13.681509125000005,13337,13337,1.0,3467620.0
35,machine_learning,3,0,0,2.1191086769104004,-0.32227420806884766,-1.7968344688415527,-1.9466776847839355,-2.349461078643799,-2.1191086769104004,13.681509125000005,10323,2912,0.2820885401530563,4581196.0
36,clinical_knowledge,1,0,0,1.4617090225219727,-0.24494552612304688,-1.2167634963989258,-1.4617090225219727,-1.790247917175293,-1.365945816040039,13.681509125000005,13991,3584,0.2561646772925452,6301852.0
37,machine_learning,3,0,0,2.326359748840332,-1.2774590253829956,-1.0489007234573364,-1.5344935655593872,-2.4666385650634766,-2.326359748840332,13.681509125000005,14343,0,0.0,7400988.0
38,college_computer_science,3,0,0,1.9145945310592651,-0.9017362594604492,-1.012858271598816,-1.4028853178024292,-1.9055899381637573,-1.9145945310592651,13.681509125000005,11101,2853,0.25700387352490767,4997748.0
39,abstract_algebra,3,1,0,2.117784261703491,-0.6574182510375977,-1.9647386074066162,-1.4603660106658936,-2.7185428142547607,-2.117784261703491,13.681509125000005,9720,0,0.0,5015520.0
40,clinical_knowledge,3,0,0,1.6009857654571533,-0.09437084197998047,-1.5066149234771729,-1.5429880619049072,-1.6251232624053955,-1.6009857654571533,13.681509125000005,10524,10524,1.0,2736240.0
41,college_computer_science,1,3,0,1.6546217203140259,-0.13288116455078125,-1.9560505151748657,-1.6546217203140259,-2.110037326812744,-1.5217405557632446,13.681509125000005,24937,12978,0.5204314873481173,9545124.0
42,econometrics,2,0,0,1.7530094385147095,-0.36014366149902344,-1.392865777015686,-1.852979302406311,-1.7530094385147095,-1.7800565958023071,13.681509125000005,12294,12294,1.0,3196440.0
43,formal_logic,1,0,0,1.9702646732330322,-0.2294158935546875,-1.7408487796783447,-1.9702646732330322,-2.5027143955230713,-2.0447351932525635,13.681509125000005,18726,5093,0.27197479440350314,8358808.0
44,high_school_physics,0,0,1,1.4278490543365479,0.14196395874023438,-1.4278490543365479,-1.5698130130767822,-2.3250954151153564,-1.7758238315582275,13.681509125000005,12843,3325,0.2588958965973682,5775788.0
45,computer_security,1,0,0,1.527351975440979,-0.059266090393066406,-1.4680858850479126,-1.527351975440979,-1.9322534799575806,-1.546085000038147,13.681509125000005,13299,0,0.0,6862284.0
46,business_ethics,1,0,0,1.3576828241348267,-0.0428924560546875,-1.3147903680801392,-1.3576828241348267,-1.990007996559143,-1.8394542932510376,13.681509125000005,9023,2197,0.24348886179762827,4093436.0
47,abstract_algebra,0,0,1,1.5829241275787354,0.04560375213623047,-1.5829241275787354,-1.6285278797149658,-2.129225969314575,-2.2167160511016846,13.681509125000005,9752,0,0.0,5032032.0
48,abstract_algebra,2,0,0,1.750136375427246,-0.2573890686035156,-1.4927473068237305,-1.697035789489746,-1.750136375427246,-1.578660011291504,13.681509125000005,11007,11007,1.0,2861820.0
49,professional_accounting,2,0,0,1.677213430404663,-0.4156913757324219,-1.2615220546722412,-1.8292834758758545,-1.677213430404663,-1.82132887840271,13.681509125000005,11860,6075,0.5122259696458684,4564560.0
