request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.8384095430374146,-0.6042652130126953,-1.2341443300247192,-1.8384095430374146,-1.7001858949661255,-1.4176045656204224,13.789077542000001,11451,11451,1.0,2977260.0
1,formal_logic,3,0,0,1.9076282978057861,-0.6316118240356445,-1.2760164737701416,-2.1016018390655518,-1.6437819004058838,-1.9076282978057861,13.789077542000001,13969,13969,1.0,3631940.0
2,formal_logic,3,0,0,1.8645477294921875,-0.13403701782226562,-1.7305107116699219,-2.3901491165161133,-2.76529598236084,-1.8645477294921875,13.789077542000001,14333,14333,1.0,3726580.0
3,computer_security,1,0,0,1.4416780471801758,-0.2091388702392578,-1.232539176940918,-1.4416780471801758,-1.7623987197875977,-1.6962718963623047,13.789077542000001,8784,8784,1.0,2283840.0
4,college_computer_science,2,0,0,1.9381992816925049,-0.6706733703613281,-1.2675259113311768,-1.6087191104888916,-1.9381992816925049,-1.6229345798492432,13.789077542000001,15199,15199,1.0,3951740.0
5,abstract_algebra,2,0,0,2.6994287967681885,-0.8477869033813477,-1.8516418933868408,-2.125917673110962,-2.6994287967681885,-2.4661457538604736,13.789077542000001,12879,12879,1.0,3348540.0
6,abstract_algebra,1,0,0,1.8868229389190674,-0.2359304428100586,-1.6508924961090088,-1.8868229389190674,-2.6556599140167236,-2.303942918777466,13.789077542000001,7726,7726,1.0,2008760.0
7,professional_accounting,0,0,1,1.239431381225586,0.24668312072753906,-1.239431381225586,-1.8630905151367188,-1.486114501953125,-1.5780029296875,13.789077542000001,23021,23021,1.0,5985460.0
8,college_mathematics,1,3,0,2.351489782333374,-0.664271354675293,-1.7664878368377686,-2.351489782333374,-2.215834379196167,-1.687218427658081,13.789077542000001,11009,11009,1.0,2862340.0
9,high_school_physics,2,1,0,2.0887017250061035,-0.3468247652053833,-2.29799222946167,-1.7418769598007202,-2.0887017250061035,-2.401512622833252,13.789077542000001,14050,14050,1.0,3653000.0
10,electrical_engineering,0,0,1,1.2100615501403809,0.17679882049560547,-1.2100615501403809,-1.3868603706359863,-1.5767312049865723,-1.7509684562683105,13.789077542000001,8782,8782,1.0,2283320.0
11,machine_learning,1,0,0,2.187584161758423,-0.6867456436157227,-1.5008385181427002,-2.187584161758423,-2.5616867542266846,-1.9271490573883057,13.789077542000001,8360,8360,1.0,2173600.0
12,electrical_engineering,2,0,0,1.5074752569198608,-0.38018035888671875,-1.127294898033142,-1.5477479696273804,-1.5074752569198608,-1.9620946645736694,13.789077542000001,7695,7695,1.0,2000700.0
13,high_school_mathematics,3,0,0,2.7240726947784424,-1.240706443786621,-1.4833662509918213,-1.8659651279449463,-2.2288057804107666,-2.7240726947784424,13.789077542000001,10518,10518,1.0,2734680.0
14,astronomy,2,0,0,2.0647168159484863,-0.7705200910568237,-1.2941967248916626,-1.7992340326309204,-2.0647168159484863,-1.8644481897354126,13.789077542000001,12518,12518,1.0,3254680.0
15,college_computer_science,3,3,1,1.9656771421432495,0.10918629169464111,-2.0748634338378906,-2.459733009338379,-2.630852699279785,-1.9656771421432495,13.789077542000001,20607,20607,1.0,5357820.0
16,computer_security,2,0,0,1.6464601755142212,-0.3432283401489258,-1.3032318353652954,-1.4933143854141235,-1.6464601755142212,-1.7701927423477173,13.789077542000001,7212,7212,1.0,1875120.0
17,business_ethics,2,0,0,1.5930352210998535,-0.14023494720458984,-1.4528002738952637,-1.645988941192627,-1.5930352210998535,-1.6263937950134277,13.789077542000001,12973,12973,1.0,3372980.0
18,college_mathematics,1,0,0,1.8718467950820923,-0.1167898178100586,-1.7550569772720337,-1.8718467950820923,-2.3970322608947754,-1.8376423120498657,13.789077542000001,15230,15230,1.0,3959800.0
19,professional_accounting,2,0,0,1.7480549812316895,-0.3278989791870117,-1.4201560020446777,-1.7522473335266113,-1.7480549812316895,-1.649843692779541,13.789077542000001,14824,14824,1.0,3854240.0
20,college_mathematics,1,0,0,1.9678250551223755,-0.28819847106933594,-1.6796265840530396,-1.9678250551223755,-2.046995162963867,-2.05208683013916,13.789077542000001,11966,11966,1.0,3111160.0
