request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.5777615308761597,-0.3788118362426758,-1.1989496946334839,-1.5777615308761597,-1.7185314893722534,-1.505400538444519,13.624425375000015,11441,3803,0.3324010138973866,4929988.0
1,formal_logic,3,0,0,1.8180551528930664,-0.34896087646484375,-1.4690942764282227,-2.2654457092285156,-2.0585365295410156,-1.8180551528930664,13.624425375000015,13975,13068,0.9350983899821109,3865692.0
2,formal_logic,3,0,0,1.7391624450683594,-0.34841346740722656,-1.3907489776611328,-1.7895584106445312,-2.330925941467285,-1.7391624450683594,13.624425375000015,14275,4867,0.3409457092819615,6119948.0
3,computer_security,1,1,1,1.0830461978912354,0.1648731231689453,-1.2479193210601807,-1.0830461978912354,-2.189218759536743,-1.8793880939483643,13.624425375000015,8757,2868,0.3275094210346009,3784404.0
4,college_computer_science,2,0,0,1.9216234683990479,-0.7025957107543945,-1.2190277576446533,-1.3757784366607666,-1.9216234683990479,-1.7673704624176025,13.624425375000015,14243,9569,0.6718387980060381,4899724.0
5,abstract_algebra,2,1,0,3.389370918273926,-1.2827529907226562,-2.9463138580322266,-2.1066179275512695,-3.389370918273926,-2.8690547943115234,13.624425375000015,12684,11944,0.9416587827183853,3487280.0
6,abstract_algebra,1,1,1,1.5433465242385864,0.3018770217895508,-1.8452235460281372,-1.5433465242385864,-2.6343278884887695,-2.39827823638916,13.624425375000015,7646,4079,0.5334815589850902,2901112.0
7,professional_accounting,0,0,1,1.2718238830566406,0.251739501953125,-1.2718238830566406,-1.5235633850097656,-1.7918004989624023,-1.5773563385009766,13.624425375000015,22564,21105,0.9353394788158128,6240144.0
8,college_mathematics,1,0,0,1.84925377368927,-0.2694988250732422,-1.5797549486160278,-1.84925377368927,-2.2837095260620117,-1.9179555177688599,13.624425375000015,11011,3713,0.3372082462991554,4731148.0
9,high_school_physics,2,1,0,2.3729212284088135,-0.5596561431884766,-1.8769981861114502,-1.813265085220337,-2.3729212284088135,-2.5522806644439697,13.624425375000015,14038,13107,0.933680011397635,3888216.0
10,electrical_engineering,0,0,1,1.2015694379806519,0.043288230895996094,-1.2015694379806519,-1.244857668876648,-1.7356899976730347,-1.7875012159347534,13.624425375000015,8791,2832,0.3221476510067114,3811164.0
11,machine_learning,1,0,0,1.7670384645462036,-0.40918922424316406,-1.3578492403030396,-1.7670384645462036,-2.4337663650512695,-1.4609147310256958,13.624425375000015,8376,2752,0.32855778414517667,3617504.0
12,electrical_engineering,2,0,0,1.7053391933441162,-0.5860013961791992,-1.119337797164917,-1.418548345565796,-1.7053391933441162,-1.973820447921753,13.624425375000015,7150,4824,0.6746853146853147,2454456.0
13,high_school_mathematics,3,1,0,2.289196252822876,-0.5390663146972656,-2.1900551319122314,-1.7501299381256104,-2.794368028640747,-2.289196252822876,13.624425375000015,10498,9877,0.940845875404839,2888456.0
14,astronomy,2,0,0,2.0110838413238525,-0.8145837783813477,-1.1965000629425049,-1.3848497867584229,-2.0110838413238525,-1.640331506729126,13.624425375000015,12088,6375,0.5273825281270682,4605408.0
15,college_computer_science,3,0,0,2.618987560272217,-0.38805389404296875,-2.230933666229248,-2.518209934234619,-3.275573253631592,-2.618987560272217,13.624425375000015,20347,19245,0.945839681525532,5572332.0
16,computer_security,2,0,0,1.7039011716842651,-0.47936344146728516,-1.22453773021698,-1.3604315519332886,-1.7039011716842651,-1.6773823499679565,13.624425375000015,7210,2300,0.31900138696255204,3131560.0
17,business_ethics,2,0,0,1.946702480316162,-0.47995853424072266,-1.4667439460754395,-1.627519130706787,-1.946702480316162,-1.7516694068908691,13.624425375000015,12959,12142,0.9369550119607994,3578492.0
18,college_mathematics,1,1,1,1.387058973312378,0.49048423767089844,-1.8775432109832764,-1.387058973312378,-2.641866445541382,-2.0792596340179443,13.624425375000015,15249,5343,0.35038363171355497,6500676.0
19,professional_accounting,2,0,0,1.8836278915405273,-0.41588497161865234,-1.467742919921875,-1.784327507019043,-1.8836278915405273,-1.610280990600586,13.624425375000015,14819,4811,0.3246507861529118,6414988.0
20,college_mathematics,1,1,1,1.5169895887374878,0.44553565979003906,-2.151491165161133,-1.5169895887374878,-1.9625252485275269,-2.3718061447143555,13.624425375000015,12072,8116,0.6722995361166335,4151456.0
21,business_ethics,0,0,1,1.197320818901062,0.17862796783447266,-1.197320818901062,-1.3759487867355347,-1.7517260313034058,-2.0101137161254883,13.624425375000015,15560,14620,0.9395886889460154,4286240.0
22,econometrics,0,1,0,1.5032707452774048,-0.026660919189453125,-1.5032707452774048,-1.4766098260879517,-2.092668056488037,-1.733711838722229,13.624425375000015,15778,8323,0.5275066548358474,6010760.0
23,conceptual_physics,2,0,0,2.0956315994262695,-0.6388435363769531,-1.4567880630493164,-1.6144046783447266,-2.0956315994262695,-1.8456687927246094,13.624425375000015,5938,5595,0.9422364432468845,1631688.0
24,professional_accounting,2,0,0,2.173780918121338,-0.792852520942688,-1.38092839717865,-1.79953134059906,-2.173780918121338,-1.6940664052963257,13.624425375000015,15113,5067,0.33527426718718983,6501156.0
25,college_mathematics,0,0,1,1.3284130096435547,0.5240364074707031,-1.3284130096435547,-2.535991668701172,-1.9884090423583984,-1.8524494171142578,13.624425375000015,17741,16621,0.9368693985682881,4899380.0
26,professional_accounting,3,1,0,1.7118252515792847,-0.3480358123779297,-1.8698452711105347,-1.363789439201355,-1.7971152067184448,-1.7118252515792847,13.624425375000015,10798,3612,0.3345063900722356,4647096.0
27,electrical_engineering,3,0,0,1.9062100648880005,-0.6466560363769531,-1.2595540285110474,-1.5214959383010864,-2.2005834579467773,-1.9062100648880005,13.624425375000015,7375,2422,0.32840677966101695,3185468.0
28,conceptual_physics,3,0,0,1.7969412803649902,-0.5700321197509766,-1.2269091606140137,-1.4908976554870605,-1.8349814414978027,-1.7969412803649902,13.624425375000015,7847,5315,0.6773289155091118,2688412.0
29,high_school_physics,3,0,0,1.7726953029632568,-0.2884178161621094,-1.4842774868011475,-1.6256310939788818,-1.984332799911499,-1.7726953029632568,13.624425375000015,26643,25008,0.938633036820178,7345740.0
30,machine_learning,0,1,0,1.9985668659210205,-0.45897388458251953,-1.9985668659210205,-1.539592981338501,-2.7010843753814697,-2.550058603286743,13.624425375000015,14046,7397,0.5266267976648156,5354104.0
31,high_school_physics,0,1,0,1.3123857975006104,-0.028989791870117188,-1.3123857975006104,-1.2833960056304932,-2.051382303237915,-1.9793064594268799,13.624425375000015,10040,9416,0.9378486055776892,2770144.0
32,machine_learning,0,0,1,1.064720630645752,0.22610092163085938,-1.064720630645752,-1.2908215522766113,-2.1613516807556152,-2.144540309906006,13.624425375000015,10227,3395,0.3319644079397673,4408012.0
33,formal_logic,1,3,0,2.708503484725952,-0.950221061706543,-2.0158803462982178,-2.708503484725952,-2.0055015087127686,-1.7582824230194092,13.624425375000015,10189,9508,0.9331632152321131,2823476.0
34,college_computer_science,3,0,0,1.5432909727096558,-0.2610960006713867,-1.282194972038269,-1.5534800291061401,-1.7423828840255737,-1.5432909727096558,13.624425375000015,13336,4332,0.32483503299340133,5772384.0
