global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,32,0,,51163,0,0.0,26400108.0,26400108.0,4561440.0,4561440.0,182.4576,0,0.0,0.0,0.0,182.4576,8395.0,8840.0
1,0,1,causal_no_hysteresis,32,20,0:5;0:7;1:4;1:5;1:6;1:7;2:5;2:7;3:5;3:7;4:1;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:1,51167,34637,0.6769402153731897,17535100.0,26402172.0,4270416.0,2921388.0,170.81664,1090,33.42015981674194,36427.97420024872,33.42015981674194,150.27567981674196,7896.0,8276.0
2,0,2,causal_no_hysteresis,32,21,0:4;0:5;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51285,38616,0.7529687042995028,16577364.0,26463060.0,4836468.0,2436980.0,193.45872,1216,33.42015981674194,40638.9143371582,33.42015981674194,130.89935981674193,9373.0,8674.0
3,0,3,causal_no_hysteresis,32,19,0:4;0:5;0:6;0:7;1:5;1:7;2:5;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51041,33704,0.6603318900491761,17708932.0,26337156.0,4174956.0,2906540.0,166.99824,1065,33.42015981674194,35592.47020483017,33.42015981674194,149.68175981674193,7808.0,8091.0
4,0,4,causal_no_hysteresis,32,22,0:4;0:5;0:6;0:7;1:4;1:5;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:1;7:0;7:1;7:2;7:3,51055,36211,0.7092547252962491,17074364.0,26344380.0,4445856.0,3446684.0,177.83424,1142,33.42015981674194,38165.8225107193,33.42015981674194,171.28751981674193,7975.0,8616.0
5,0,5,causal_no_hysteresis,32,19,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:5;2:7;3:5;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51124,32722,0.640051639151866,18003152.0,26379984.0,4134192.0,2745776.0,165.36768,1032,33.42015981674194,34489.604930877686,33.42015981674194,143.25119981674194,7148.0,8012.0
6,0,6,causal_no_hysteresis,32,22,0:4;0:5;0:6;0:7;1:4;1:5;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51136,36901,0.721624687108886,16939520.0,26386176.0,4412832.0,2925032.0,176.51328,1163,33.42015981674194,38867.64586687088,33.42015981674194,150.42143981674195,6850.0,8552.0
7,0,7,causal_no_hysteresis,32,22,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:5;2:7;3:5;3:7;4:1;5:0;5:1;5:2;5:3;6:1;7:0;7:1;7:2;7:3,51290,36297,0.7076818093195555,17173608.0,26465640.0,4422636.0,3119128.0,176.90544,1144,33.42015981674194,38232.66283035278,33.42015981674194,158.18527981674194,7468.0,8571.0
8,0,8,causal_no_hysteresis,32,21,0:4;0:5;0:6;0:7;1:5;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:1;5:1;6:0;6:1;6:2;6:3;7:1,51067,35332,0.6918753794035287,17305580.0,26350572.0,4290540.0,2871252.0,171.6216,1113,33.42015981674194,37196.63787603378,33.42015981674194,148.27023981674193,7165.0,8315.0
9,0,9,causal_no_hysteresis,32,22,0:4;0:5;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:1;6:1;7:1,51391,37875,0.7369967504037672,16821756.0,26517756.0,4209528.0,2683668.0,168.38112,1193,33.42015981674194,39870.25066137314,33.42015981674194,140.76687981674195,7665.0,8158.0
