global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,32,0,,52395,0,0.0,27035820.0,27035820.0,13921164.0,13921164.0,556.84656,0,0.0,0.0,0.0,556.84656,12083.0,26979.0
1,0,1,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50986,35761,0.7013886164829561,17153960.0,26308776.0,12977916.0,6539260.0,519.11664,1126,33.42015981674194,37631.09995365143,33.42015981674194,294.99055981674195,10018.0,25151.0
2,0,2,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51413,36493,0.709801023087546,17186900.0,26529108.0,13221984.0,6662240.0,528.87936,1147,33.42015981674194,38332.92330980301,33.42015981674194,299.90975981674194,13427.0,25624.0
3,0,3,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49712,34053,0.6850056324428709,16933824.0,25651392.0,12430956.0,6263660.0,497.23824,1071,33.42015981674194,35792.99116373062,33.42015981674194,283.96655981674195,9999.0,24091.0
4,0,4,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51934,37394,0.7200292679169715,17225080.0,26797944.0,13628076.0,6866860.0,545.12304,1178,33.42015981674194,39368.94826412201,33.42015981674194,308.09455981674193,11429.0,26411.0
5,0,5,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50555,35257,0.6973988725150826,17060588.0,26086380.0,12792156.0,6445660.0,511.68624,1109,33.42015981674194,37062.957236766815,33.42015981674194,291.2465598167419,9506.0,24791.0
6,0,6,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52117,37515,0.7198227066024522,17288532.0,26892372.0,13676064.0,6891040.0,547.04256,1180,33.42015981674194,39435.78858375549,33.42015981674194,309.0617598167419,10001.0,26504.0
7,0,7,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51183,36326,0.7097278393216497,17110972.0,26410428.0,13246752.0,6674720.0,529.87008,1143,33.42015981674194,38199.24267053604,33.42015981674194,300.40895981674197,10281.0,25672.0
8,0,8,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51288,35970,0.7013336452971455,17256288.0,26464608.0,13137360.0,6619600.0,525.4944,1133,33.42015981674194,37865.04107236862,33.42015981674194,298.20415981674194,9669.0,25460.0
9,0,9,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51652,36336,0.703477116084566,17350416.0,26652432.0,13197732.0,6650020.0,527.90928,1143,33.42015981674194,38199.24267053604,33.42015981674194,299.42095981674197,9158.0,25577.0
10,0,10,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51503,37188,0.7220550259208202,17055420.0,26575548.0,13586796.0,6846060.0,543.47184,1169,33.42015981674194,39068.16682577133,33.42015981674194,307.26255981674194,10588.0,26331.0
11,0,11,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51224,35540,0.6938153990317039,17333344.0,26431584.0,12826212.0,6462820.0,513.04848,1120,33.42015981674194,37430.57899475098,33.42015981674194,291.93295981674197,9590.0,24857.0
12,0,12,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51848,36293,0.6999884277117728,17462560.0,26753568.0,13192056.0,6647160.0,527.68224,1143,33.42015981674194,38199.24267053604,33.42015981674194,299.3065598167419,10055.0,25566.0
13,0,13,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51929,37786,0.7276473646709931,17122148.0,26795364.0,13757076.0,6931860.0,550.28304,1189,33.42015981674194,39736.57002210617,33.42015981674194,310.69455981674196,11195.0,26661.0
14,0,14,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,53056,38972,0.7345446320868516,17400064.0,27376896.0,14185872.0,7147920.0,567.43488,1225,33.42015981674194,40939.69577550888,33.42015981674194,319.33695981674197,10463.0,27492.0
15,0,15,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51554,36030,0.6988788454824068,17378184.0,26601864.0,13040352.0,6570720.0,521.61408,1134,33.42015981674194,37898.461232185364,33.42015981674194,296.24895981674194,9394.0,25272.0
16,1,0,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49634,38068,0.7669742515211347,15865736.0,25611144.0,12380904.0,6238440.0,495.23616,1198,33.42015981674194,40037.35146045685,33.42015981674194,282.95775981674194,11897.0,23994.0
17,1,1,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48262,35805,0.7418880278479963,15737112.0,24903192.0,11640960.0,5865600.0,465.6384,1127,33.42015981674194,37664.52011346817,33.42015981674194,268.04415981674197,10002.0,22560.0
