model,origin_mode,arm,n_questions,bf16_reference_accuracy,uniform_full_accuracy,accuracy,absolute_accuracy_delta_vs_bf16,absolute_accuracy_delta_ci_low,absolute_accuracy_delta_ci_high,incremental_accuracy_delta_vs_uniform_full,incremental_accuracy_harm,incremental_accuracy_delta_ci_low,incremental_accuracy_delta_ci_high,cvar_incremental_positive_accuracy_harm,cvar_incremental_positive_accuracy_harm_ci_low,cvar_incremental_positive_accuracy_harm_ci_high,lost_correct_questions_vs_bf16,gained_correct_questions_vs_bf16,mean_absolute_nll_harm_vs_bf16,mean_absolute_nll_harm_ci_low,mean_absolute_nll_harm_ci_high,mean_incremental_nll_harm_vs_uniform_full,mean_incremental_nll_harm_ci_low,mean_incremental_nll_harm_ci_high,mean_incremental_positive_nll_harm,cvar_incremental_nll_harm,cvar_incremental_nll_harm_ci_low,cvar_incremental_nll_harm_ci_high,cvar_incremental_positive_nll_harm,cvar_incremental_positive_nll_harm_ci_low,cvar_incremental_positive_nll_harm_ci_high,worst_incremental_positive_nll_harm,mean_margin_harm,remote_pairs,low_pairs,measured_low_frac,simulated_saving_fraction,simulated_saving_optimistic_codec,simulated_saving_serialized_tiles_codec,simulated_baseline_us,simulated_policy_us,simulated_policy_us_optimistic_codec,simulated_policy_us_serialized_tiles_codec,saving_evidence,incremental_accuracy_harm_ucb95,cvar_incremental_positive_accuracy_harm_ucb95,cvar_incremental_positive_nll_harm_ucb95
llmjp,balanced,uniform_full,128,0.1953125,0.2109375,0.2109375,0.015625,0.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,-0.0026295138522982,-0.0102757009444758,0.0052037101471796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0140047743916511,1590529,0,0.0,0.0,0.0,0.0,5252.90064,5252.90064,5252.90064,5252.90064,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,-0.0,0.0,0.0
llmjp,balanced,uniform_low,128,0.1953125,0.2109375,0.1953125,0.0,-0.046875,0.046875,-0.015625,0.015625,-0.0625,0.03125,0.4615384615384615,0.1538461538461538,0.8461538461538461,5,5,0.0988222146406769,0.0627741370117291,0.1371802053879946,0.1014517284929752,0.0646841541398316,0.1425609862199053,0.143780667334795,0.5195564306699313,0.4491409150453714,0.570847754753553,0.5195564306699313,0.4503460822197107,0.5698362806668648,0.6604642868041992,-0.081292247865349,1589984,1589984,1.0,0.2925518818425753,0.2925518818425752,-318.7877070455876,5253.396,3716.505114135742,3716.5051141357426,1679971.4610424617,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.0625,0.8461538461538461,0.5698362806668648
llmjp,balanced,calib_static,128,0.1953125,0.2109375,0.203125,0.0078125,-0.03125,0.046875,-0.0078125,0.0078125,-0.0390625,0.0234375,0.2307692307692307,0.0,0.5384615384615384,3,4,0.0782821448519826,0.0448234294075518,0.1136665281374007,0.0809116587042808,0.0471439029090106,0.1139810247579589,0.107367874123156,0.5051677777216985,0.4180947074523339,0.5766691118478774,0.5051677777216985,0.415589834176577,0.5789730383799626,0.6569315195083618,-0.0284634404815733,1589619,657409,0.413563879143367,-0.0723047576824664,-0.0723047576824664,-131.9162056985951,5251.90992,5631.647994135742,5631.647994135742,698063.9392372121,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.0390625,0.5384615384615384,0.5789730383799626
llmjp,balanced,causal_no_hysteresis,128,0.1953125,0.2109375,0.203125,0.0078125,-0.0390625,0.0548828124999989,-0.0078125,0.0078125,-0.0625,0.046875,0.4615384615384615,0.1538461538461538,0.7692307692307693,5,6,0.050173046067357,0.0220663655316457,0.0791602966142818,0.0528025599196553,0.0258789821760728,0.0831450929399579,0.0879859188571572,0.3933252096176147,0.2810714613932829,0.5164550013267076,0.3933252096176147,0.2827393928399452,0.5257786837907937,0.9459110498428344,-0.062163783237338,1590127,994651,0.6255167040116921,0.0535969221660295,0.0535969221660297,-199.2255309699351,5255.212320000001,4973.549114319001,4973.549114319,1052227.6771317446,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.0625,0.7692307692307693,0.5257786837907937
llmjp,balanced,controller,128,0.1953125,0.2109375,0.203125,0.0078125,-0.046875,0.0548828124999989,-0.0078125,0.0078125,-0.0546875,0.046875,0.4615384615384615,0.1538461538461538,0.8461538461538461,5,6,0.1038940241560339,0.0654378934996202,0.1443075212650001,0.1065235380083322,0.0686106414999812,0.1467181605519726,0.1452159397304058,0.5596794898693378,0.472428592810264,0.6339864247120344,0.5596794898693378,0.4712882995605469,0.6375110053099118,0.808801531791687,-0.0554839228279888,1589622,1344791,0.8459816233041566,0.2063979796947471,0.2063979796947471,-269.48858620436704,5255.12976,4170.481594502258,4170.481594502258,1421452.6191028946,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.0546875,0.8461538461538461,0.6375110053099118
llmjp,hotspot,uniform_full,128,0.1953125,0.2109375,0.2109375,0.015625,0.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0066952127963304,-0.0018591100117191,0.0151961875148117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006600669119507,1601925,0,0.0,0.0,0.0,0.0,16052.388479999998,16052.388479999998,16052.388479999998,16052.388479999998,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,-0.0,0.0,0.0
llmjp,hotspot,uniform_low,128,0.1953125,0.2109375,0.1875,-0.0078125,-0.0625,0.046875,-0.0234375,0.0234375,-0.078125,0.03125,0.6153846153846154,0.2307692307692307,1.0,7,6,0.0800489140674471,0.0358680160949006,0.1234567237086594,0.0733537012711167,0.0307598427636548,0.1174848834751173,0.1339283287525177,0.5515055656433105,0.4761253324838785,0.6063916797821338,0.5515055656433105,0.4692661659075663,0.6096273115048042,0.8073729276657104,-0.0981712392531335,1601438,1601438,1.0,0.4294821429273785,0.4294821429273784,-104.7938940179774,16047.64128,9155.46591413574,9155.465914135742,1697742.4608148392,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.078125,1.0,0.6096273115048042
llmjp,hotspot,calib_static,128,0.1953125,0.2109375,0.1875,-0.0078125,-0.0625,0.0390625,-0.0234375,0.0234375,-0.078125,0.0234375,0.5384615384615384,0.2307692307692307,0.9230769230769232,6,5,0.0631255861371755,0.021067180042155,0.1045101418858393,0.0564303733408451,0.0153225786285474,0.0978698508115485,0.115664230659604,0.5105899847470797,0.4464239636292824,0.558346084677256,0.5105899847470797,0.4499622895167424,0.558407472876402,0.6531937122344971,-0.0744959455914795,1601115,1052208,0.6571720332393364,0.4294820572144494,0.4294820572144494,-68.40751174790508,16047.62064,9155.45551413574,9155.45551413574,1113825.418096724,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.078125,0.9230769230769232,0.558407472876402
llmjp,hotspot,causal_no_hysteresis,128,0.1953125,0.2109375,0.1953125,0.0,-0.046875,0.046875,-0.015625,0.015625,-0.0546875,0.03125,0.3846153846153846,0.151923076923077,0.7692307692307693,5,5,0.0974885588511824,0.0490689422469586,0.1438026851043104,0.090793346054852,0.0467470452655106,0.1379422608995809,0.1367582380771637,0.6493083697098953,0.5157565827553089,0.7826637256603974,0.6493083697098953,0.5162114682105872,0.7818680531703508,1.160839557647705,-0.0470777857117354,1601550,1125861,0.7029821110798914,0.4143516105015368,0.4143516105015368,-73.29583340249428,16048.07472,9398.529114319,9398.529114319,1192305.0858279,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.0546875,0.7692307692307693,0.7818680531703508
llmjp,hotspot,controller,128,0.1953125,0.2109375,0.1875,-0.0078125,-0.0625,0.046875,-0.0234375,0.0234375,-0.0703125,0.0234375,0.4615384615384615,0.1538461538461538,0.8461538461538461,6,5,0.1014842521399259,0.0493628537980839,0.1539685460040345,0.0947890393435955,0.0473580105463042,0.1461657585343345,0.1436481783166527,0.7049055557984573,0.5487406219427403,0.8584937446392497,0.7049055557984573,0.5543103800370143,0.860088668190516,1.160839557647705,-0.0471387798897922,1601447,1120718,0.6998158540370053,0.4143500329148012,0.4143500329148013,-72.95780252906464,16047.76512,9398.373114319002,9398.373114319,1186857.4437777712,same-action analytic bottleneck wire time + measured codec sensitivity bounds; not real NCCL/RDMA latency,0.0703125,0.8461538461538461,0.860088668190516
