request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,anatomy,1,0,0,1.838410496711731,-0.6042613983154297,-1.2341490983963013,-1.838410496711731,-1.7001820802688599,-1.4176017045974731,14.199209959000001,11451,11451,1.0,2977260.0
1,formal_logic,3,0,0,1.9076282978057861,-0.6316118240356445,-1.2760164737701416,-2.1016018390655518,-1.6437819004058838,-1.9076282978057861,14.199209959000001,13969,13969,1.0,3631940.0
2,formal_logic,3,0,0,1.8645477294921875,-0.13403701782226562,-1.7305107116699219,-2.3901491165161133,-2.76529598236084,-1.8645477294921875,14.199209959000001,14333,14333,1.0,3726580.0
3,computer_security,1,0,0,1.334397554397583,-0.0042266845703125,-1.3301708698272705,-1.334397554397583,-1.6517393589019775,-1.7743618488311768,14.199209959000001,8786,8786,1.0,2284360.0
4,college_computer_science,2,0,0,1.9988644123077393,-0.7716665267944336,-1.2271978855133057,-1.398367166519165,-1.9988644123077393,-1.6129591464996338,14.199209959000001,14240,14240,1.0,3702400.0
5,abstract_algebra,2,1,0,2.9795117378234863,-1.1208125352859497,-2.5873303413391113,-1.8586992025375366,-2.9795117378234863,-2.524773120880127,14.199209959000001,12684,12684,1.0,3297840.0
6,abstract_algebra,1,0,0,1.5468651056289673,-0.0073070526123046875,-1.5395580530166626,-1.5468651056289673,-2.43452787399292,-2.220522403717041,14.199209959000001,7662,7662,1.0,1992120.0
7,professional_accounting,0,0,1,1.2224993705749512,0.2833709716796875,-1.2224993705749512,-1.5058703422546387,-1.7058510780334473,-1.7453274726867676,14.199209959000001,22556,22556,1.0,5864560.0
8,college_mathematics,1,3,0,2.351489782333374,-0.664271354675293,-1.7664878368377686,-2.351489782333374,-2.215834379196167,-1.687218427658081,14.199209959000001,11009,11009,1.0,2862340.0
9,high_school_physics,2,1,0,2.081545114517212,-0.32979679107666016,-2.2875664234161377,-1.7517483234405518,-2.081545114517212,-2.39300274848938,14.199209959000001,14050,14050,1.0,3653000.0
10,electrical_engineering,0,0,1,1.2100615501403809,0.17679882049560547,-1.2100615501403809,-1.3868603706359863,-1.5767312049865723,-1.7509684562683105,14.199209959000001,8782,8782,1.0,2283320.0
11,machine_learning,1,0,0,2.187584161758423,-0.6867456436157227,-1.5008385181427002,-2.187584161758423,-2.5616867542266846,-1.9271490573883057,14.199209959000001,8360,8360,1.0,2173600.0
12,electrical_engineering,2,0,0,1.848814845085144,-0.7268333435058594,-1.1219815015792847,-1.3599261045455933,-1.848814845085144,-1.8961600065231323,14.199209959000001,7159,7159,1.0,1861340.0
13,high_school_mathematics,3,1,0,2.2745354175567627,-0.3881368637084961,-1.9621269702911377,-1.8863985538482666,-2.462268114089966,-2.2745354175567627,14.199209959000001,10517,10517,1.0,2734420.0
14,astronomy,2,0,0,2.1672348976135254,-1.0000544786453247,-1.1671804189682007,-1.4341243505477905,-2.1672348976135254,-1.6711505651474,14.199209959000001,12086,12086,1.0,3142360.0
