global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51163,51163,1.0,13302380.0,26400108.0,4561440.0,2298400.0,182.4576,1615,33.42015981674194,53973.55810403824,33.42015981674194,125.35615981674195,8395.0,8840.0
1,0,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51155,51155,1.0,13300300.0,26395980.0,4276608.0,2154880.0,171.06432,1619,33.42015981674194,54107.238743305206,33.42015981674194,119.61535981674194,7854.0,8288.0
2,0,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51380,51380,1.0,13358800.0,26512080.0,4812732.0,2425020.0,192.50928,1624,33.42015981674194,54274.339542388916,33.42015981674194,130.42095981674194,9327.0,8642.0
3,0,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51035,51035,1.0,13269100.0,26334060.0,4174956.0,2103660.0,166.99824,1610,33.42015981674194,53806.45730495453,33.42015981674194,117.56655981674194,7777.0,8091.0
4,0,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50998,50998,1.0,13259480.0,26314968.0,4444308.0,2239380.0,177.77232,1609,33.42015981674194,53773.03714513779,33.42015981674194,122.99535981674194,7901.0,8613.0
5,0,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50735,50735,1.0,13191100.0,26179260.0,4131096.0,2081560.0,165.24384,1599,33.42015981674194,53438.83554697037,33.42015981674194,116.68255981674194,7063.0,8006.0
6,0,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51194,51194,1.0,13310440.0,26416104.0,4401480.0,2217800.0,176.0592,1612,33.42015981674194,53873.29762458801,33.42015981674194,122.13215981674195,6862.0,8530.0
7,0,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51411,51411,1.0,13366860.0,26528076.0,4440180.0,2237300.0,177.6072,1622,33.42015981674194,54207.49922275543,33.42015981674194,122.91215981674195,7517.0,8605.0
8,0,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51230,51230,1.0,13319800.0,26434680.0,4290024.0,2161640.0,171.60096,1616,33.42015981674194,54006.97826385498,33.42015981674194,119.88575981674194,7138.0,8314.0
9,0,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51596,51596,1.0,13414960.0,26623536.0,4207980.0,2120300.0,168.3192,1629,33.42015981674194,54441.440341472626,33.42015981674194,118.23215981674194,7717.0,8155.0
10,0,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50954,50954,1.0,13248040.0,26292264.0,4397868.0,2215980.0,175.91472,1608,33.42015981674194,53739.616985321045,33.42015981674194,122.05935981674195,7303.0,8523.0
11,0,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51349,51349,1.0,13350740.0,26496084.0,4120776.0,2076360.0,164.83104,1620,33.42015981674194,54140.65890312195,33.42015981674194,116.47455981674194,7268.0,7986.0
