global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52395,52395,1.0,13622700.0,27035820.0,13921164.0,7014540.0,556.84656,1655,33.42015981674194,55310.364496707916,33.42015981674194,314.0017598167419,12083.0,26979.0
1,0,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51038,51038,1.0,13269880.0,26335608.0,13021776.0,6561360.0,520.87104,1611,33.42015981674194,53839.87746477127,33.42015981674194,295.87455981674196,9913.0,25236.0
2,0,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51395,51395,1.0,13362700.0,26519820.0,13176060.0,6639100.0,527.0424,1623,33.42015981674194,54240.919382572174,33.42015981674194,298.98415981674196,13371.0,25535.0
3,0,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49836,49836,1.0,12957360.0,25715376.0,12437664.0,6267040.0,497.50656,1573,33.42015981674194,52569.91139173508,33.42015981674194,284.10175981674195,10038.0,24104.0
4,0,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51731,51731,1.0,13450060.0,26693196.0,13589376.0,6847360.0,543.57504,1634,33.42015981674194,54608.541140556335,33.42015981674194,307.31455981674196,11422.0,26336.0
5,0,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50494,50494,1.0,13128440.0,26054904.0,12775644.0,6437340.0,511.02576,1595,33.42015981674194,53305.1549077034,33.42015981674194,290.91375981674196,9368.0,24759.0
6,0,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52031,52031,1.0,13528060.0,26847996.0,13626012.0,6865820.0,545.04048,1642,33.42015981674194,54875.90241909027,33.42015981674194,308.0529598167419,9890.0,26407.0
7,0,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51494,51494,1.0,13388440.0,26570904.0,13337568.0,6720480.0,533.50272,1623,33.42015981674194,54240.919382572174,33.42015981674194,302.23935981674197,10384.0,25848.0
8,0,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51312,51312,1.0,13341120.0,26476992.0,13142520.0,6622200.0,525.7008,1619,33.42015981674194,54107.238743305206,33.42015981674194,298.3081598167419,9681.0,25470.0
9,0,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51726,51726,1.0,13448760.0,26690616.0,13221984.0,6662240.0,528.87936,1632,33.42015981674194,54541.70082092285,33.42015981674194,299.90975981674194,9214.0,25624.0
10,0,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51709,51709,1.0,13444340.0,26681844.0,13640976.0,6873360.0,545.63904,1634,33.42015981674194,54608.541140556335,33.42015981674194,308.3545598167419,10644.0,26436.0
11,0,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51128,51128,1.0,13293280.0,26382048.0,12817440.0,6458400.0,512.6976,1612,33.42015981674194,53873.29762458801,33.42015981674194,291.75615981674196,9557.0,24840.0
12,0,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51711,51711,1.0,13444860.0,26682876.0,13170384.0,6636240.0,526.81536,1634,33.42015981674194,54608.541140556335,33.42015981674194,298.8697598167419,10004.0,25524.0
13,0,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51971,51971,1.0,13512460.0,26817036.0,13810740.0,6958900.0,552.4296,1639,33.42015981674194,54775.641939640045,33.42015981674194,311.77615981674194,11219.0,26765.0
14,0,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52942,52942,1.0,13764920.0,27318072.0,14135820.0,7122700.0,565.4328,1669,33.42015981674194,55778.2467341423,33.42015981674194,318.32815981674196,10422.0,27395.0
15,0,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51346,51346,1.0,13349960.0,26494536.0,12983592.0,6542120.0,519.34368,1621,33.42015981674194,54174.07906293869,33.42015981674194,295.10495981674194,9290.0,25162.0
16,1,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49634,49634,1.0,12904840.0,25611144.0,12380904.0,6238440.0,495.23616,1570,33.42015981674194,52469.65091228485,33.42015981674194,282.95775981674194,11897.0,23994.0
17,1,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48176,48176,1.0,12525760.0,24858816.0,11640960.0,5865600.0,465.6384,1521,33.42015981674194,50832.063081264496,33.42015981674194,268.04415981674197,10002.0,22560.0
18,1,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48767,48767,1.0,12679420.0,25163772.0,11833428.0,5962580.0,473.33712,1540,33.42015981674194,51467.04611778259,33.42015981674194,271.92335981674194,13077.0,22933.0
19,1,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47282,47282,1.0,12293320.0,24397512.0,11008860.0,5547100.0,440.3544,1491,33.42015981674194,49829.45828676224,33.42015981674194,255.30415981674193,10092.0,21335.0
20,1,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49084,49084,1.0,12761840.0,25327344.0,12054276.0,6073860.0,482.17104,1551,33.42015981674194,51834.667875766754,33.42015981674194,276.3745598167419,11186.0,23361.0
21,1,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48022,48022,1.0,12485720.0,24779352.0,11468100.0,5778500.0,458.724,1516,33.42015981674194,50664.962282180786,33.42015981674194,264.56015981674193,9191.0,22225.0
22,1,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49120,49120,1.0,12771200.0,25345920.0,12083688.0,6088680.0,483.34752,1552,33.42015981674194,51868.088035583496,33.42015981674194,276.9673598167419,9664.0,23418.0
23,1,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48219,48219,1.0,12536940.0,24881004.0,11536728.0,5813080.0,461.46912,1523,33.42015981674194,50898.90340089798,33.42015981674194,265.9433598167419,10024.0,22358.0
24,1,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48716,48716,1.0,12666160.0,25137456.0,11745708.0,5918380.0,469.82832,1539,33.42015981674194,51433.62595796585,33.42015981674194,270.1553598167419,9680.0,22763.0
25,1,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49056,49056,1.0,12754560.0,25312896.0,11946432.0,6019520.0,477.85728,1551,33.42015981674194,51834.667875766754,33.42015981674194,274.20095981674194,9271.0,23152.0
26,1,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48553,48553,1.0,12623780.0,25053348.0,11913408.0,6002880.0,476.53632,1532,33.42015981674194,51199.68483924866,33.42015981674194,273.5353598167419,10679.0,23088.0
27,1,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47806,47806,1.0,12429560.0,24667896.0,11187912.0,5637320.0,447.51648,1510,33.42015981674194,50464.441323280334,33.42015981674194,258.91295981674193,9249.0,21682.0
28,1,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48144,48144,1.0,12517440.0,24842304.0,11608452.0,5849220.0,464.33808,1521,33.42015981674194,50832.063081264496,33.42015981674194,267.38895981674193,10070.0,22497.0
29,1,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49189,49189,1.0,12789140.0,25381524.0,12197724.0,6146140.0,487.90896,1551,33.42015981674194,51834.667875766754,33.42015981674194,279.26575981674193,10973.0,23639.0
30,1,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49856,49856,1.0,12962560.0,25725696.0,12489264.0,6293040.0,499.57056,1572,33.42015981674194,52536.491231918335,33.42015981674194,285.1417598167419,10253.0,24204.0
31,1,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,47555,47555,1.0,12364300.0,24538380.0,11286468.0,5686980.0,451.45872,1502,33.42015981674194,50197.0800447464,33.42015981674194,260.89935981674193,9009.0,21873.0
