request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,high_school_physics,0,0,1,1.2477900981903076,0.616490364074707,-1.2477900981903076,-1.8642804622650146,-2.183692693710327,-2.040605306625366,13.853215665999997,18907,0,0.0,9756012.0
1,anatomy,1,0,0,1.533912181854248,-0.48537445068359375,-1.0485377311706543,-1.533912181854248,-2.160609722137451,-1.7069439888000488,13.853215665999997,14977,0,0.0,7728132.0
2,business_ethics,3,0,0,1.953503131866455,-0.9801825881004333,-0.9733205437660217,-1.4349713325500488,-1.8074803352355957,-1.953503131866455,13.853215665999997,10079,0,0.0,5200764.0
3,electrical_engineering,3,0,0,1.928951382637024,-0.7522058486938477,-1.1767455339431763,-1.558522343635559,-2.1725358963012695,-1.928951382637024,13.853215665999997,7393,0,0.0,3814788.0
4,college_computer_science,2,0,0,1.865240454673767,-0.6606435775756836,-1.2045968770980835,-1.3049033880233765,-1.865240454673767,-1.7453960180282593,13.853215665999997,14235,0,0.0,7345260.0
5,college_computer_science,2,1,0,2.590810775756836,-1.0644017457962036,-1.5626744031906128,-1.5264090299606323,-2.590810775756836,-1.9697827100753784,13.853215665999997,10069,0,0.0,5195604.0
6,electrical_engineering,2,0,0,1.6203020811080933,-0.45178794860839844,-1.1685141324996948,-1.4224690198898315,-1.6203020811080933,-1.891757845878601,13.853215665999997,7171,0,0.0,3700236.0
7,business_ethics,3,0,0,1.8505501747131348,-0.5508241653442383,-1.2997260093688965,-1.3986220359802246,-1.702958583831787,-1.8505501747131348,13.853215665999997,13346,0,0.0,6886536.0
8,high_school_physics,0,0,1,1.1762012243270874,0.057300567626953125,-1.1762012243270874,-1.2335017919540405,-1.9917939901351929,-1.9598106145858765,13.853215665999997,10438,0,0.0,5386008.0
9,computer_security,1,0,0,1.3279067277908325,-0.2177734375,-1.1101332902908325,-1.3279067277908325,-1.8959685564041138,-1.9698964357376099,13.853215665999997,7542,0,0.0,3891672.0
10,business_ethics,0,0,1,1.3239805698394775,0.3441181182861328,-1.3239805698394775,-1.6680986881256104,-2.1928722858428955,-2.071483850479126,13.853215665999997,7385,0,0.0,3810660.0
11,abstract_algebra,2,1,0,2.9795608520507812,-1.4396305084228516,-1.9045467376708984,-1.5399303436279297,-2.9795608520507812,-2.4939146041870117,13.853215665999997,10634,0,0.0,5487144.0
12,astronomy,3,0,0,1.6452091932296753,-0.44075870513916016,-1.2044504880905151,-1.3731497526168823,-1.8365029096603394,-1.6452091932296753,13.853215665999997,10510,0,0.0,5423160.0
13,econometrics,1,1,1,1.8746193647384644,0.12392044067382812,-1.9985398054122925,-1.8746193647384644,-2.4647178649902344,-2.111419677734375,13.853215665999997,16704,0,0.0,8619264.0
14,clinical_knowledge,1,0,0,1.3538007736206055,-0.133941650390625,-1.2198591232299805,-1.3538007736206055,-1.6975154876708984,-1.7022323608398438,13.853215665999997,12590,0,0.0,6496440.0
15,high_school_physics,0,0,1,1.4212915897369385,0.13872241973876953,-1.4212915897369385,-1.6730177402496338,-1.8147671222686768,-1.560014009475708,13.853215665999997,29193,0,0.0,15063588.0
16,computer_security,0,1,0,1.347191572189331,-0.11771583557128906,-1.347191572189331,-1.229475736618042,-2.1616485118865967,-1.742563009262085,13.853215665999997,19024,0,0.0,9816384.0
17,clinical_knowledge,3,0,0,1.6725679636001587,-0.48668861389160156,-1.1858793497085571,-1.355207085609436,-1.7500988245010376,-1.6725679636001587,13.853215665999997,9375,0,0.0,4837500.0
18,abstract_algebra,1,1,1,1.5317699909210205,0.07613754272460938,-1.6079075336456299,-1.5317699909210205,-2.7222788333892822,-2.24855637550354,13.853215665999997,7720,0,0.0,3983520.0
19,high_school_mathematics,1,0,0,1.7850013971328735,-0.21977806091308594,-1.5652233362197876,-1.7850013971328735,-2.380089282989502,-2.4163155555725098,13.853215665999997,9715,0,0.0,5012940.0
20,professional_accounting,2,0,0,1.890609622001648,-0.7062234878540039,-1.184386134147644,-1.4802664518356323,-1.890609622001648,-1.700224757194519,13.853215665999997,11420,0,0.0,5892720.0
21,econometrics,2,0,0,1.8738960027694702,-0.4421663284301758,-1.4317296743392944,-1.5726932287216187,-1.8738960027694702,-1.589727759361267,13.853215665999997,13896,0,0.0,7170336.0
22,anatomy,1,0,0,1.4772788286209106,-0.22533607482910156,-1.251942753791809,-1.4772788286209106,-1.9896165132522583,-1.7453538179397583,13.853215665999997,8231,0,0.0,4247196.0
23,formal_logic,2,0,0,2.3684301376342773,-1.393545150756836,-0.9748849272727966,-1.4228448867797852,-2.3684301376342773,-2.1650962829589844,13.853215665999997,18715,0,0.0,9656940.0
24,high_school_mathematics,3,1,0,2.3025403022766113,-0.7362507581710815,-1.7177091836929321,-1.5662895441055298,-2.26499605178833,-2.3025403022766113,13.853215665999997,10497,0,0.0,5416452.0
25,professional_accounting,0,0,1,1.2478021383285522,0.23138141632080078,-1.2478021383285522,-1.479183554649353,-1.7863925695419312,-1.6079028844833374,13.853215665999997,22992,0,0.0,11863872.0
26,electrical_engineering,2,0,0,1.7364782094955444,-0.5621843338012695,-1.174293875694275,-1.321642279624939,-1.7364782094955444,-1.9560779333114624,13.853215665999997,8350,0,0.0,4308600.0
27,high_school_mathematics,1,1,1,1.5039716958999634,1.1603325605392456,-2.8241171836853027,-1.5039716958999634,-2.708648204803467,-2.664304256439209,13.853215665999997,9084,0,0.0,4687344.0
28,conceptual_physics,2,0,0,1.895898699760437,-0.7421770095825195,-1.1537216901779175,-1.3655232191085815,-1.895898699760437,-2.0313196182250977,13.853215665999997,6822,0,0.0,3520152.0
29,abstract_algebra,3,1,0,2.1746857166290283,-0.646092414855957,-1.9738972187042236,-1.5285933017730713,-2.7412912845611572,-2.1746857166290283,13.853215665999997,9706,0,0.0,5008296.0
30,econometrics,0,0,1,1.4393365383148193,0.23288917541503906,-1.4393365383148193,-1.6722257137298584,-2.282482862472534,-1.9270589351654053,13.853215665999997,17309,0,0.0,8931444.0
31,machine_learning,0,0,1,1.2196537256240845,0.1487264633178711,-1.2196537256240845,-1.3683801889419556,-2.2206168174743652,-1.8094621896743774,13.853215665999997,10590,0,0.0,5464440.0
32,abstract_algebra,2,1,0,2.603591203689575,-1.0252361297607422,-1.983262300491333,-1.578355073928833,-2.603591203689575,-2.274009943008423,13.853215665999997,13473,0,0.0,6952068.0
33,anatomy,0,0,1,1.2254716157913208,0.18886661529541016,-1.2254716157913208,-1.6208239793777466,-1.6847583055496216,-1.414338231086731,13.853215665999997,13566,0,0.0,7000056.0
34,anatomy,1,0,0,1.387215256690979,-0.1005563735961914,-1.2866588830947876,-1.387215256690979,-2.135366916656494,-1.846483826637268,13.853215665999997,10045,0,0.0,5183220.0
35,high_school_physics,2,0,0,2.2320914268493652,-1.0829278230667114,-1.1491636037826538,-1.463614821434021,-2.2320914268493652,-1.9662164449691772,13.853215665999997,12922,0,0.0,6667752.0
36,professional_accounting,3,0,0,1.9794477224349976,-0.40788841247558594,-1.5715593099594116,-1.698797583580017,-2.1434664726257324,-1.9794477224349976,13.853215665999997,30354,0,0.0,15662664.0
37,professional_accounting,1,0,0,1.440805196762085,-0.41341686248779297,-1.027388334274292,-1.440805196762085,-1.938725233078003,-1.9295766353607178,13.853215665999997,8691,0,0.0,4484556.0
38,conceptual_physics,1,0,0,1.4521539211273193,-0.22774505615234375,-1.2244088649749756,-1.4521539211273193,-2.095452070236206,-1.630211591720581,13.853215665999997,7166,0,0.0,3697656.0
39,college_computer_science,0,1,0,1.4934453964233398,-0.41747093200683594,-1.4934453964233398,-1.075974464416504,-2.324892997741699,-2.2907848358154297,13.853215665999997,13302,0,0.0,6863832.0
40,abstract_algebra,2,1,0,3.0039687156677246,-1.5354193449020386,-2.188788890838623,-1.468549370765686,-3.0039687156677246,-2.381643772125244,13.853215665999997,12942,0,0.0,6678072.0
41,econometrics,1,0,0,1.5650526285171509,-0.4985218048095703,-1.0665308237075806,-1.5650526285171509,-1.6112953424453735,-1.715502381324768,13.853215665999997,9490,0,0.0,4896840.0
42,machine_learning,3,1,0,2.2518880367279053,-0.9363641738891602,-1.8554465770721436,-1.3155238628387451,-2.7668683528900146,-2.2518880367279053,13.853215665999997,11513,0,0.0,5940708.0
43,professional_accounting,3,0,0,1.724860668182373,-0.6248283386230469,-1.1000323295593262,-1.512953281402588,-1.709282398223877,-1.724860668182373,13.853215665999997,14710,0,0.0,7590360.0
44,college_mathematics,1,1,1,1.4707468748092651,0.42554378509521484,-1.89629065990448,-1.4707468748092651,-2.0327720642089844,-2.2119550704956055,13.853215665999997,12054,0,0.0,6219864.0
45,conceptual_physics,1,0,0,1.4887430667877197,-0.09405517578125,-1.3946878910064697,-1.4887430667877197,-1.8252766132354736,-1.5661308765411377,13.853215665999997,10702,0,0.0,5522232.0
46,econometrics,1,0,0,1.68501877784729,-0.5774421691894531,-1.107576608657837,-1.68501877784729,-2.0633718967437744,-1.7802345752716064,13.853215665999997,11709,0,0.0,6041844.0
47,astronomy,2,0,0,2.0537490844726562,-0.8893510103225708,-1.1643980741500854,-1.23088538646698,-2.0537490844726562,-1.833811640739441,13.853215665999997,9729,0,0.0,5020164.0
48,high_school_physics,1,0,0,1.7257589101791382,-0.08659172058105469,-1.6391671895980835,-1.7257589101791382,-2.313681125640869,-1.9982818365097046,13.853215665999997,13981,0,0.0,7214196.0
49,business_ethics,1,0,0,1.4050321578979492,-0.17976951599121094,-1.2252626419067383,-1.4050321578979492,-2.056894302368164,-1.8584280014038086,13.853215665999997,9149,0,0.0,4720884.0
50,computer_security,1,0,0,1.5574729442596436,-0.11138153076171875,-1.4460914134979248,-1.5574729442596436,-1.9338862895965576,-1.5721089839935303,13.853215665999997,13580,0,0.0,7007280.0
51,professional_accounting,2,1,0,1.9811897277832031,-0.19731712341308594,-1.879598617553711,-1.7838726043701172,-1.9811897277832031,-1.926936149597168,13.853215665999997,24227,0,0.0,12501132.0
52,abstract_algebra,1,0,0,1.489919900894165,-0.08413505554199219,-1.4057848453521729,-1.489919900894165,-2.5167534351348877,-2.2895796298980713,13.853215665999997,7798,0,0.0,4023768.0
