global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49789,21465,0.4311193235453614,20196084.0,25691124.0,4283316.0,4074336.0,171.33264,676,33.42015981674194,22592.028036117554,33.42015981674194,196.39359981674195,8301.0,7827.0
1,0,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50025,21189,0.42356821589205396,20388516.0,25812900.0,3879804.0,3855036.0,155.19216,668,33.42015981674194,22324.666757583618,33.42015981674194,187.62159981674193,7519.0,7471.0
2,0,2,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49831,21477,0.4309967690794887,20214684.0,25712796.0,4720368.0,3823044.0,188.81472,677,33.42015981674194,22625.448195934296,33.42015981674194,186.34191981674195,9148.0,7409.0
3,0,3,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50071,20206,0.40354696331209683,20663900.0,25836636.0,4094460.0,4094460.0,163.7784,640,33.42015981674194,21388.902282714844,33.42015981674194,197.19855981674195,7554.0,7935.0
4,0,4,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50043,20994,0.4195192134764103,20447724.0,25822188.0,4064016.0,3799824.0,162.56064,663,33.42015981674194,22157.56595849991,33.42015981674194,185.41311981674195,7876.0,7515.0
5,0,5,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49825,19798,0.39735072754641243,20641412.0,25709700.0,4039764.0,4039764.0,161.59056,624,33.42015981674194,20854.179725646973,33.42015981674194,195.01071981674195,6868.0,7829.0
6,0,6,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50072,20310,0.4056159130851574,20637792.0,25837152.0,3845232.0,3845232.0,153.80928,641,33.42015981674194,21422.322442531586,33.42015981674194,187.22943981674194,6793.0,7452.0
7,0,7,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50422,20941,0.4153147435643172,20656856.0,26017752.0,3875676.0,3809628.0,155.02704,660,33.42015981674194,22057.305479049683,33.42015981674194,185.80527981674194,7216.0,7511.0
8,0,8,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50085,19750,0.3943296396126585,20787860.0,25843860.0,3999516.0,3999516.0,159.98064,623,33.42015981674194,20820.75956583023,33.42015981674194,193.40079981674194,7095.0,7751.0
9,0,9,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50245,20200,0.40203005274156633,20755220.0,25926420.0,3922116.0,3922116.0,156.88464,638,33.42015981674194,21322.06196308136,33.42015981674194,190.30479981674193,7172.0,7601.0
10,0,10,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49763,21182,0.42565761710507805,20255116.0,25677708.0,3969588.0,3697140.0,158.78352,667,33.42015981674194,22291.246597766876,33.42015981674194,181.30575981674195,7411.0,7693.0
11,0,11,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50705,19555,0.3856621634947244,21157700.0,26163780.0,4087752.0,4087752.0,163.51008,618,33.42015981674194,20653.65876674652,33.42015981674194,196.93023981674193,7351.0,7922.0
12,0,12,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50234,20546,0.4090058526097862,20660968.0,25920744.0,3943788.0,3922116.0,157.75152,648,33.42015981674194,21656.26356124878,33.42015981674194,190.30479981674193,7643.0,7601.0
13,0,13,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50151,20465,0.408067635740065,20638876.0,25877916.0,4058856.0,3589296.0,162.35424,645,33.42015981674194,21556.003081798553,33.42015981674194,176.99199981674195,7809.0,7866.0
14,0,14,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50196,21666,0.4316280181687784,20354640.0,25901136.0,4166184.0,3605808.0,166.64736,682,33.42015981674194,22792.548995018005,33.42015981674194,177.65247981674193,7108.0,8074.0
