global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,51645,34962,0.6769677606738309,17698548.0,26648820.0,13585764.0,6845540.0,543.43056,1098,33.42015981674194,36695.335478782654,33.42015981674194,307.24175981674193,11955.0,26329.0
1,0,1,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50289,33423,0.6646185050408638,17392836.0,25949124.0,12719916.0,6409260.0,508.79664,1051,33.42015981674194,35124.58796739578,33.42015981674194,289.79055981674196,9866.0,24651.0
2,0,2,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50170,34181,0.6813035678692446,17137384.0,25887720.0,12921672.0,6510920.0,516.86688,1074,33.42015981674194,35893.25164318085,33.42015981674194,293.85695981674195,13391.0,25042.0
3,0,3,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,48837,31850,0.6521694616786453,17046292.0,25199892.0,12030024.0,6061640.0,481.20096,1002,33.42015981674194,33487.00013637543,33.42015981674194,275.88575981674194,10062.0,23314.0
4,0,4,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50882,34218,0.6724971502692504,17495304.0,26255112.0,13272552.0,6687720.0,530.90208,1076,33.42015981674194,35960.09196281433,33.42015981674194,300.92895981674195,11462.0,25722.0
5,0,5,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49256,32300,0.6557576741919766,17147296.0,25416096.0,12455208.0,6275880.0,498.20832,1015,33.42015981674194,33921.46221399307,33.42015981674194,284.455359816742,9074.0,24138.0
6,0,6,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50470,33376,0.6613037447988904,17498264.0,26042520.0,13047060.0,6574100.0,521.8824,1051,33.42015981674194,35124.58796739578,33.42015981674194,296.38415981674194,9801.0,25285.0
7,0,7,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50207,33063,0.6585336706037007,17442684.0,25906812.0,12713208.0,6405880.0,508.52832,1038,33.42015981674194,34690.12588977814,33.42015981674194,289.65535981674196,10236.0,24638.0
8,0,8,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,49845,32540,0.6528237536362724,17389780.0,25720020.0,12669348.0,6383780.0,506.77392,1025,33.42015981674194,34255.66381216049,33.42015981674194,288.77135981674195,9568.0,24553.0
9,0,9,calib_static,32,13,3:4;3:6;4:0;4:2;5:0;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2,50539,33191,0.6567403391440274,17581228.0,26078124.0,12943860.0,6522100.0,517.7544,1042,33.42015981674194,34823.806529045105,33.42015981674194,294.30415981674196,9132.0,25085.0
