request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,high_school_physics,0,0,1,1.3825584650039673,0.060771942138671875,-1.3825584650039673,-2.1618285179138184,-2.2634148597717285,-1.4433304071426392,14.344722082999965,18857,15133,0.8025136554064803,5856164.0
1,anatomy,1,0,0,1.5966012477874756,-0.5937185287475586,-1.002882719039917,-1.5966012477874756,-1.8809897899627686,-1.8850085735321045,14.344722082999965,14990,10835,0.7228152101400934,4961080.0
2,business_ethics,3,0,0,1.6067578792572021,-0.3730611801147461,-1.233696699142456,-1.7752273082733154,-1.5908706188201904,-1.6067578792572021,14.344722082999965,10059,5000,0.49706730291281437,3910444.0
3,electrical_engineering,3,0,0,2.0658655166625977,-0.7852126359939575,-1.2806528806686401,-1.78246009349823,-2.1956443786621094,-2.0658655166625977,14.344722082999965,7376,3649,0.49471258134490237,2871872.0
4,college_computer_science,2,0,0,2.0121142864227295,-0.8548116683959961,-1.1573026180267334,-1.2989137172698975,-2.0121142864227295,-1.7600762844085693,14.344722082999965,14255,11674,0.81894072255349,4367036.0
5,college_computer_science,2,1,0,2.5482778549194336,-1.047165870666504,-1.5118522644042969,-1.5011119842529297,-2.5482778549194336,-1.9164352416992188,14.344722082999965,10077,6788,0.6736131785253547,3462004.0
6,electrical_engineering,2,0,0,1.6990294456481934,-0.6190471649169922,-1.0799822807312012,-1.4350848197937012,-1.6990294456481934,-1.9841208457946777,14.344722082999965,7167,4733,0.6603878889353983,2486524.0
7,business_ethics,3,0,0,1.9028470516204834,-0.6769857406616211,-1.2258613109588623,-1.3996942043304443,-1.7761571407318115,-1.9028470516204834,14.344722082999965,13342,10784,0.8082746214960276,4123768.0
8,high_school_physics,0,3,0,1.4393279552459717,-0.02701091766357422,-1.4393279552459717,-1.6137950420379639,-1.9306695461273193,-1.4123170375823975,14.344722082999965,10420,8481,0.8139155470249521,3205584.0
9,computer_security,1,1,1,1.5293060541152954,0.024822235107421875,-1.5541282892227173,-1.5293060541152954,-1.6142326593399048,-1.6210390329360962,14.344722082999965,7535,5510,0.7312541473125415,2477500.0
10,business_ethics,0,0,1,1.8540178537368774,0.44340789318084717,-1.8540178537368774,-2.2974257469177246,-2.7601265907287598,-2.468043804168701,14.344722082999965,7378,3686,0.49959338574139334,2863432.0
11,abstract_algebra,2,1,0,2.758098602294922,-0.6164112091064453,-2.390456199645996,-2.1416873931884766,-2.758098602294922,-2.556028366088867,14.344722082999965,10598,5251,0.4954708435553878,4124312.0
12,astronomy,3,0,0,1.6210404634475708,-0.3746070861816406,-1.2464333772659302,-1.4394456148147583,-1.736984372138977,-1.6210404634475708,14.344722082999965,10497,8536,0.8131847194436506,3231236.0
13,econometrics,1,1,1,1.7009735107421875,0.4107332229614258,-2.140896797180176,-1.7009735107421875,-2.3338279724121094,-2.1117067337036133,14.344722082999965,16712,11270,0.6743657252273815,5738272.0
14,clinical_knowledge,1,0,0,1.3848322629928589,-0.17305755615234375,-1.2117747068405151,-1.3848322629928589,-1.7552555799484253,-1.6430844068527222,14.344722082999965,12609,8419,0.6676976762629867,4350980.0
15,high_school_physics,0,0,1,1.4954206943511963,0.0009765625,-1.4954206943511963,-1.695049524307251,-2.0437729358673096,-1.4963972568511963,14.344722082999965,29149,24091,0.8264777522384987,8873588.0
16,computer_security,0,3,0,1.5980063676834106,-0.09630203247070312,-1.5980063676834106,-1.5548030138015747,-2.075876235961914,-1.5017043352127075,14.344722082999965,18999,15493,0.8154639717879888,5837276.0
17,clinical_knowledge,3,0,0,1.7806538343429565,-0.4618043899536133,-1.3188494443893433,-1.707346796989441,-1.9048460721969604,-1.7806538343429565,14.344722082999965,9379,6765,0.7212922486405801,3107724.0
