global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,49789,0,0.0,25691124.0,25691124.0,4283316.0,4283316.0,171.33264,0,0.0,0.0,0.0,171.33264,8301.0,7827.0
1,0,1,controller,32,0,,50015,0,0.0,25807740.0,25807740.0,3873096.0,3873096.0,154.92384,0,0.0,0.0,0.0,154.92384,7506.0,7471.0
2,0,2,controller,32,0,,49858,0,0.0,25726728.0,25726728.0,4729140.0,4729140.0,189.1656,0,0.0,0.0,0.0,189.1656,9165.0,7409.0
3,0,3,controller,32,17,0:4;0:7;1:4;1:7;2:4;2:7;3:4;3:5;3:6;3:7;4:0;5:0;6:0;6:1;6:2;6:3;7:0,50162,29850,0.595071966827479,18241992.0,25883592.0,4094460.0,3079452.0,163.7784,942,33.42015981674194,31481.79054737091,33.42015981674194,156.59823981674194,7590.0,7935.0
4,0,4,controller,32,17,0:4;0:7;1:4;1:7;2:4;2:7;3:4;3:5;3:6;3:7;4:0;5:0;6:0;6:1;6:2;6:3;7:0,50082,29601,0.5910506768899005,18264456.0,25842312.0,4078980.0,2947320.0,163.1592,935,33.42015981674194,31247.849428653717,33.42015981674194,151.31295981674194,7905.0,7564.0
5,0,5,controller,32,22,0:4;0:7;1:4;1:5;1:6;1:7;2:4;2:7;3:4;3:5;3:6;3:7;4:0;4:1;5:0;5:1;6:0;6:1;6:2;6:3;7:0;7:1,49740,36138,0.7265379975874547,16414512.0,25665840.0,4011384.0,2617060.0,160.45536,1139,33.42015981674194,38065.56203126907,33.42015981674194,138.10255981674194,6853.0,7774.0
6,0,6,controller,32,24,0:4;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;5:0;5:1;6:0;6:1;6:2;6:3;7:0;7:1,50229,38530,0.76708674271835,16054484.0,25918164.0,3859680.0,2909024.0,154.3872,1216,33.42015981674194,40638.9143371582,33.42015981674194,149.78111981674195,6852.0,7480.0
7,0,7,controller,32,28,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,50448,45080,0.8935934031081509,14490688.0,26031168.0,3884448.0,2377424.0,155.37792,1425,33.42015981674194,47623.72773885727,33.42015981674194,128.51711981674194,7214.0,7528.0
8,0,8,controller,32,28,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,50088,44135,0.8811491774476921,14546848.0,25845408.0,3987132.0,2525820.0,159.48528,1396,33.42015981674194,46654.54310417175,33.42015981674194,134.45295981674195,7067.0,7727.0
9,0,9,controller,32,30,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,50241,47325,0.9419597539857885,13809156.0,25924356.0,3933468.0,2387356.0,157.33872,1494,33.42015981674194,49929.71876621246,33.42015981674194,128.91439981674193,7214.0,7623.0
10,0,10,controller,32,30,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,49824,47453,0.9524124919717405,13561216.0,25709184.0,3964944.0,2037236.0,158.59776,1500,33.42015981674194,50130.239725112915,33.42015981674194,114.90959981674195,7444.0,7684.0
11,0,11,controller,32,30,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,50472,47534,0.9417895070534158,13874848.0,26043552.0,4050600.0,2463188.0,162.024,1501,33.42015981674194,50163.65988492966,33.42015981674194,131.94767981674192,7345.0,7850.0
12,0,12,controller,32,30,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,50235,47683,0.9491987658007366,13714412.0,25921260.0,3944304.0,2152472.0,157.77216,1505,33.42015981674194,50297.340524196625,33.42015981674194,119.51903981674194,7644.0,7562.0
13,0,13,controller,32,30,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1,50069,46482,0.9283588647666221,13936212.0,25835604.0,4042344.0,2946272.0,161.69376,1466,33.42015981674194,48993.95429134369,33.42015981674194,151.27103981674196,7800.0,7834.0
14,0,14,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50104,50104,1.0,13027040.0,25853664.0,4159476.0,2095860.0,166.37904,1582,33.42015981674194,52870.692830085754,33.42015981674194,117.25455981674195,7069.0,8061.0
15,0,15,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50291,50291,1.0,13075660.0,25950156.0,4054212.0,2042820.0,162.16848,1586,33.42015981674194,53004.37346935272,33.42015981674194,115.13295981674194,6813.0,7857.0
16,1,0,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51723,51723,1.0,13447980.0,26689068.0,4388580.0,2211300.0,175.5432,1630,33.42015981674194,54474.86050128937,33.42015981674194,121.87215981674194,8505.0,7909.0
17,1,1,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51227,51227,1.0,13319020.0,26433132.0,4008288.0,2019680.0,160.33152,1618,33.42015981674194,54073.818583488464,33.42015981674194,114.20735981674194,7768.0,7393.0
18,1,2,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52302,52302,1.0,13598520.0,26987832.0,4735332.0,2386020.0,189.41328,1650,33.42015981674194,55143.26369762421,33.42015981674194,128.86095981674194,9177.0,7310.0
19,1,3,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52294,52294,1.0,13596440.0,26983704.0,4086720.0,2059200.0,163.4688,1649,33.42015981674194,55109.843537807465,33.42015981674194,115.78815981674194,7920.0,7607.0
20,1,4,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51747,51747,1.0,13454220.0,26701452.0,3993840.0,2012400.0,159.7536,1633,33.42015981674194,54575.12098073959,33.42015981674194,113.91615981674194,7740.0,7428.0
21,1,5,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,51796,51796,1.0,13466960.0,26726736.0,3790020.0,1909700.0,151.6008,1634,33.42015981674194,54608.541140556335,33.42015981674194,109.80815981674195,7076.0,7345.0
22,1,6,controller,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,52195,52195,1.0,13570700.0,26932620.0,3879288.0,1954680.0,155.17152,1647,33.42015981674194,55043.00321817398,33.42015981674194,111.60735981674195,6932.0,7518.0
