global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,controller,32,0,,51645,0,0.0,26648820.0,26648820.0,13585764.0,13585764.0,543.43056,0,0.0,0.0,0.0,543.43056,11955.0,26329.0
1,0,1,controller,32,10,4:0;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0,50229,30549,0.6081944693304665,18097620.0,25918164.0,12692568.0,6395480.0,507.70272,960,33.42015981674194,32083.353424072266,33.42015981674194,289.23935981674197,9952.0,24598.0
2,0,2,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50218,36240,0.721653590346091,16635048.0,25912488.0,12952632.0,6526520.0,518.10528,1141,33.42015981674194,38132.40235090256,33.42015981674194,294.4809598167419,13424.0,25102.0
3,0,3,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,48834,33840,0.6929598230740878,16535304.0,25198344.0,12029508.0,6061380.0,481.18032,1062,33.42015981674194,35492.209725379944,33.42015981674194,275.87535981674193,10023.0,23313.0
4,0,4,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50973,37238,0.7305436211327565,16769140.0,26302068.0,13300416.0,6701760.0,532.01664,1172,33.42015981674194,39168.42730522156,33.42015981674194,301.49055981674195,11455.0,25776.0
5,0,5,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49308,34816,0.7060923176766447,16530032.0,25442928.0,12470172.0,6283420.0,498.80688,1093,33.42015981674194,36528.234679698944,33.42015981674194,284.756959816742,9181.0,24167.0
6,0,6,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50582,36886,0.729231742517101,16657496.0,26100312.0,13094016.0,6597760.0,523.76064,1161,33.42015981674194,38800.805547237396,33.42015981674194,297.3305598167419,9876.0,25376.0
7,0,7,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50012,35766,0.7151483643925458,16650096.0,25806192.0,12634776.0,6366360.0,505.39104,1124,33.42015981674194,37564.259634017944,33.42015981674194,288.07455981674195,10187.0,24486.0
8,0,8,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49949,35557,0.7118661034254941,16671092.0,25773684.0,12672444.0,6385340.0,506.89776,1120,33.42015981674194,37430.57899475098,33.42015981674194,288.8337598167419,9606.0,24559.0
9,0,9,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50549,36125,0.7146531088646659,16835284.0,26083284.0,12939216.0,6519760.0,517.56864,1136,33.42015981674194,37965.30155181885,33.42015981674194,294.2105598167419,9180.0,25076.0
10,0,10,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,50525,37049,0.7332805541810985,16586356.0,26070900.0,13078020.0,6589700.0,523.1208,1167,33.42015981674194,39001.32650613785,33.42015981674194,297.00815981674197,10634.0,25345.0
11,0,11,controller,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,49694,35019,0.7046927194429911,16677240.0,25642104.0,12508872.0,6302920.0,500.35488,1101,33.42015981674194,36795.59595823288,33.42015981674194,285.53695981674196,9694.0,24242.0
