model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,5.162412961191947,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm,5.162412961191947,inf,controller,True,False
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,0.0,2.0649651844767787,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,2.0649651844767787,8.962211811930112,controller,True,False
llmjp,balanced,simulated_saving_fraction,incremental_accuracy_harm_ucb95,8.962211811930112,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,0.34953837758070483,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.34953837758070483,0.5792338600040058,controller,True,False
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.5792338600040058,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.0,0.26215378318552857,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.26215378318552857,0.37479838000259197,controller,True,False
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm_ucb95,0.37479838000259197,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,1.8731231799838508,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,1.8731231799838508,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,0.5310720298018764,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.5310720298018764,inf,uniform_full,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.0,0.471009871155446,uniform_low,False,True
llmjp,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm_ucb95,0.471009871155446,inf,uniform_full,False,True
