request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,high_school_physics,0,0,1,1.2930347919464111,0.612980842590332,-1.2930347919464111,-1.9060156345367432,-2.260572671890259,-2.100473642349243,14.099029790999992,18903,0,0.0,9753948.0
1,anatomy,1,0,0,1.520613193511963,-0.4503154754638672,-1.0702977180480957,-1.520613193511963,-2.1775965690612793,-1.6746954917907715,14.099029790999992,14983,0,0.0,7731228.0
2,business_ethics,3,0,0,1.9368611574172974,-0.9556846618652344,-0.981176495552063,-1.4292575120925903,-1.7716399431228638,-1.9368611574172974,14.099029790999992,10075,0,0.0,5198700.0
3,electrical_engineering,3,0,0,1.882729172706604,-0.7060861587524414,-1.1766430139541626,-1.5761104822158813,-2.1776747703552246,-1.882729172706604,14.099029790999992,7392,0,0.0,3814272.0
4,college_computer_science,2,0,0,1.8669710159301758,-0.6528310775756836,-1.2141399383544922,-1.2809581756591797,-1.8669710159301758,-1.741856575012207,14.099029790999992,14233,0,0.0,7344228.0
5,college_computer_science,2,1,0,2.547914743423462,-1.026510238647461,-1.5363562107086182,-1.521404504776001,-2.547914743423462,-1.9569151401519775,14.099029790999992,10065,0,0.0,5193540.0
6,electrical_engineering,2,0,0,1.6358048915863037,-0.5134239196777344,-1.1223809719085693,-1.3901259899139404,-1.6358048915863037,-1.9403092861175537,14.099029790999992,7176,0,0.0,3702816.0
7,business_ethics,3,0,0,1.8368216753005981,-0.5414953231811523,-1.2953263521194458,-1.395039677619934,-1.6626263856887817,-1.8368216753005981,14.099029790999992,13360,0,0.0,6893760.0
8,high_school_physics,0,0,1,1.1875288486480713,0.026978492736816406,-1.1875288486480713,-1.2145073413848877,-2.0496742725372314,-1.9758570194244385,14.099029790999992,10434,0,0.0,5383944.0
9,computer_security,1,0,0,1.3289809226989746,-0.2360696792602539,-1.0929112434387207,-1.3289809226989746,-1.8845467567443848,-1.991466999053955,14.099029790999992,7536,0,0.0,3888576.0
10,business_ethics,0,0,1,1.3585963249206543,0.3080129623413086,-1.3585963249206543,-1.666609287261963,-2.2002511024475098,-2.055513858795166,14.099029790999992,7392,0,0.0,3814272.0
11,abstract_algebra,2,1,0,2.9931702613830566,-1.378855586051941,-1.9106346368789673,-1.6143146753311157,-2.9931702613830566,-2.470008373260498,14.099029790999992,10637,0,0.0,5488692.0
12,astronomy,3,0,0,1.6094956398010254,-0.392425537109375,-1.2170701026916504,-1.396562099456787,-1.8204216957092285,-1.6094956398010254,14.099029790999992,10513,0,0.0,5424708.0
13,econometrics,1,1,1,1.8681385517120361,0.12107086181640625,-1.9892094135284424,-1.8681385517120361,-2.4397385120391846,-2.120124101638794,14.099029790999992,16713,0,0.0,8623908.0
14,clinical_knowledge,1,0,0,1.3561547994613647,-0.14094829559326172,-1.215206503868103,-1.3561547994613647,-1.6838515996932983,-1.7333492040634155,14.099029790999992,12614,0,0.0,6508824.0
15,high_school_physics,0,0,1,1.4117332696914673,0.15575885772705078,-1.4117332696914673,-1.6939598321914673,-1.7874475717544556,-1.567492127418518,14.099029790999992,29209,0,0.0,15071844.0
16,computer_security,0,1,0,1.3704572916030884,-0.16375732421875,-1.3704572916030884,-1.2066999673843384,-2.1706442832946777,-1.689172387123108,14.099029790999992,19026,0,0.0,9817416.0
17,clinical_knowledge,3,0,0,1.6128774881362915,-0.3522796630859375,-1.260597825050354,-1.3293367624282837,-1.7870956659317017,-1.6128774881362915,14.099029790999992,9371,0,0.0,4835436.0
18,abstract_algebra,1,1,1,1.5452940464019775,0.09106254577636719,-1.6363565921783447,-1.5452940464019775,-2.6792538166046143,-2.229749917984009,14.099029790999992,7718,0,0.0,3982488.0
19,high_school_mathematics,1,0,0,1.8209080696105957,-0.21394824981689453,-1.6069598197937012,-1.8209080696105957,-2.43363618850708,-2.4304490089416504,14.099029790999992,9704,0,0.0,5007264.0
20,professional_accounting,2,0,0,1.9045287370681763,-0.7226753234863281,-1.1818534135818481,-1.4938546419143677,-1.9045287370681763,-1.702734112739563,14.099029790999992,11433,0,0.0,5899428.0
21,econometrics,2,0,0,1.871383547782898,-0.5425052642822266,-1.3288782835006714,-1.5833252668380737,-1.871383547782898,-1.692966341972351,14.099029790999992,13917,0,0.0,7181172.0
22,anatomy,1,0,0,1.4610726833343506,-0.22209548950195312,-1.2389771938323975,-1.4610726833343506,-1.993004560470581,-1.6992900371551514,14.099029790999992,8236,0,0.0,4249776.0
23,formal_logic,2,0,0,2.3626668453216553,-1.381239891052246,-0.9814269542694092,-1.3908488750457764,-2.3626668453216553,-2.1649224758148193,14.099029790999992,18727,0,0.0,9663132.0
24,high_school_mathematics,3,1,0,2.3446109294891357,-0.6933631896972656,-1.7757813930511475,-1.6512477397918701,-2.251835584640503,-2.3446109294891357,14.099029790999992,10499,0,0.0,5417484.0
25,professional_accounting,0,0,1,1.2696540355682373,0.2037792205810547,-1.2696540355682373,-1.473433256149292,-1.7980048656463623,-1.5780532360076904,14.099029790999992,22983,0,0.0,11859228.0
26,electrical_engineering,2,0,0,1.7508867979049683,-0.544219970703125,-1.2066668272018433,-1.2992571592330933,-1.7508867979049683,-1.9955462217330933,14.099029790999992,8352,0,0.0,4309632.0
27,high_school_mathematics,1,1,1,1.6883004903793335,0.9748631715774536,-3.0643277168273926,-1.6883004903793335,-2.8424630165100098,-2.663163661956787,14.099029790999992,9083,0,0.0,4686828.0
28,conceptual_physics,2,0,0,1.938847303390503,-0.740077018737793,-1.19877028465271,-1.3127162456512451,-1.938847303390503,-1.9961917400360107,14.099029790999992,6828,0,0.0,3523248.0
29,abstract_algebra,3,1,0,2.1179113388061523,-0.6544419527053833,-1.9624394178390503,-1.463469386100769,-2.717601776123047,-2.1179113388061523,14.099029790999992,9718,0,0.0,5014488.0
30,econometrics,0,0,1,1.4411094188690186,0.25054264068603516,-1.4411094188690186,-1.6916520595550537,-2.2895333766937256,-1.9444873332977295,14.099029790999992,17343,0,0.0,8948988.0
31,machine_learning,0,0,1,1.2589666843414307,0.13492679595947266,-1.2589666843414307,-1.3938934803009033,-2.1731951236724854,-1.7237274646759033,14.099029790999992,10605,0,0.0,5472180.0
32,abstract_algebra,2,1,0,2.607107639312744,-0.9305886030197144,-1.9138885736465454,-1.6765190362930298,-2.607107639312744,-2.280233860015869,14.099029790999992,13478,0,0.0,6954648.0
33,anatomy,0,0,1,1.2283097505569458,0.2043933868408203,-1.2283097505569458,-1.6244288682937622,-1.654678463935852,-1.4327031373977661,14.099029790999992,13574,0,0.0,7004184.0
34,anatomy,1,0,0,1.374573826789856,-0.07044506072998047,-1.3041287660598755,-1.374573826789856,-2.12215518951416,-1.8363991975784302,14.099029790999992,10040,0,0.0,5180640.0
35,high_school_physics,2,0,0,2.1942973136901855,-1.0195789337158203,-1.1747183799743652,-1.445054531097412,-2.1942973136901855,-1.9641385078430176,14.099029790999992,12923,0,0.0,6668268.0
36,professional_accounting,3,0,0,1.9667035341262817,-0.36621952056884766,-1.600484013557434,-1.7011624574661255,-2.100566864013672,-1.9667035341262817,14.099029790999992,30352,0,0.0,15661632.0
