global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,49789,0,0.0,25691124.0,25691124.0,4283316.0,4283316.0,171.33264,0,0.0,0.0,0.0,171.33264,8301.0,7827.0
1,0,1,uniform_full,32,0,,50015,0,0.0,25807740.0,25807740.0,3873096.0,3873096.0,154.92384,0,0.0,0.0,0.0,154.92384,7506.0,7471.0
2,0,2,uniform_full,32,0,,49858,0,0.0,25726728.0,25726728.0,4729140.0,4729140.0,189.1656,0,0.0,0.0,0.0,189.1656,9165.0,7409.0
3,0,3,uniform_full,32,0,,50162,0,0.0,25883592.0,25883592.0,4094460.0,4094460.0,163.7784,0,0.0,0.0,0.0,163.7784,7590.0,7935.0
4,0,4,uniform_full,32,0,,50144,0,0.0,25874304.0,25874304.0,4078464.0,4078464.0,163.13856,0,0.0,0.0,0.0,163.13856,7904.0,7568.0
5,0,5,uniform_full,32,0,,50220,0,0.0,25913520.0,25913520.0,4039764.0,4039764.0,161.59056,0,0.0,0.0,0.0,161.59056,6894.0,7829.0
6,0,6,uniform_full,32,0,,50044,0,0.0,25822704.0,25822704.0,3845748.0,3845748.0,153.82992,0,0.0,0.0,0.0,153.82992,6779.0,7453.0
7,0,7,uniform_full,32,0,,50382,0,0.0,25997112.0,25997112.0,3859680.0,3859680.0,154.3872,0,0.0,0.0,0.0,154.3872,7372.0,7480.0
8,0,8,uniform_full,32,0,,49997,0,0.0,25798452.0,25798452.0,4000032.0,4000032.0,160.00128,0,0.0,0.0,0.0,160.00128,7097.0,7752.0
9,0,9,uniform_full,32,0,,50068,0,0.0,25835088.0,25835088.0,3922116.0,3922116.0,156.88464,0,0.0,0.0,0.0,156.88464,7155.0,7601.0
10,0,10,uniform_full,32,0,,50174,0,0.0,25889784.0,25889784.0,4036668.0,4036668.0,161.46672,0,0.0,0.0,0.0,161.46672,7589.0,7823.0
11,0,11,uniform_full,32,0,,50461,0,0.0,26037876.0,26037876.0,4087752.0,4087752.0,163.51008,0,0.0,0.0,0.0,163.51008,7349.0,7922.0
12,0,12,uniform_full,32,0,,49973,0,0.0,25786068.0,25786068.0,3960816.0,3960816.0,158.43264,0,0.0,0.0,0.0,158.43264,7676.0,7601.0
13,0,13,uniform_full,32,0,,50196,0,0.0,25901136.0,25901136.0,4082076.0,4082076.0,163.28304,0,0.0,0.0,0.0,163.28304,7643.0,7911.0
14,0,14,uniform_full,32,0,,50186,0,0.0,25895976.0,25895976.0,4187340.0,4187340.0,167.4936,0,0.0,0.0,0.0,167.4936,7100.0,8115.0
15,0,15,uniform_full,32,0,,50594,0,0.0,26106504.0,26106504.0,4062468.0,4062468.0,162.49872,0,0.0,0.0,0.0,162.49872,6855.0,7873.0
16,1,0,uniform_full,32,0,,51723,0,0.0,26689068.0,26689068.0,4388580.0,4388580.0,175.5432,0,0.0,0.0,0.0,175.5432,8505.0,7909.0
