global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,51645,0,0.0,26648820.0,26648820.0,13585764.0,13585764.0,543.43056,0,0.0,0.0,0.0,543.43056,11955.0,26329.0
1,0,1,uniform_full,32,0,,50229,0,0.0,25918164.0,25918164.0,12692568.0,12692568.0,507.70272,0,0.0,0.0,0.0,507.70272,9952.0,24598.0
2,0,2,uniform_full,32,0,,50195,0,0.0,25900620.0,25900620.0,12929928.0,12929928.0,517.19712,0,0.0,0.0,0.0,517.19712,13413.0,25058.0
3,0,3,uniform_full,32,0,,49022,0,0.0,25295352.0,25295352.0,12100716.0,12100716.0,484.02864,0,0.0,0.0,0.0,484.02864,10206.0,23451.0
4,0,4,uniform_full,32,0,,51039,0,0.0,26336124.0,26336124.0,13340148.0,13340148.0,533.60592,0,0.0,0.0,0.0,533.60592,11506.0,25853.0
5,0,5,uniform_full,32,0,,49797,0,0.0,25695252.0,25695252.0,12630648.0,12630648.0,505.22592,0,0.0,0.0,0.0,505.22592,9324.0,24478.0
6,0,6,uniform_full,32,0,,50450,0,0.0,26032200.0,26032200.0,13046028.0,13046028.0,521.84112,0,0.0,0.0,0.0,521.84112,9738.0,25283.0
7,0,7,uniform_full,32,0,,50166,0,0.0,25885656.0,25885656.0,12689472.0,12689472.0,507.57888,0,0.0,0.0,0.0,507.57888,10566.0,24592.0
8,0,8,uniform_full,32,0,,49639,0,0.0,25613724.0,25613724.0,12578016.0,12578016.0,503.12064,0,0.0,0.0,0.0,503.12064,9641.0,24376.0
9,0,9,uniform_full,32,0,,50284,0,0.0,25946544.0,25946544.0,12839112.0,12839112.0,513.56448,0,0.0,0.0,0.0,513.56448,9143.0,24882.0
10,0,10,uniform_full,32,0,,51152,0,0.0,26394432.0,26394432.0,13296288.0,13296288.0,531.85152,0,0.0,0.0,0.0,531.85152,10902.0,25768.0
11,0,11,uniform_full,32,0,,49346,0,0.0,25462536.0,25462536.0,12390708.0,12390708.0,495.62832,0,0.0,0.0,0.0,495.62832,9722.0,24013.0
12,0,12,uniform_full,32,0,,49346,0,0.0,25462536.0,25462536.0,12367488.0,12367488.0,494.69952,0,0.0,0.0,0.0,494.69952,9654.0,23968.0
13,0,13,uniform_full,32,0,,51334,0,0.0,26488344.0,26488344.0,13410324.0,13410324.0,536.41296,0,0.0,0.0,0.0,536.41296,11107.0,25989.0
14,0,14,uniform_full,32,0,,52000,0,0.0,26832000.0,26832000.0,13785456.0,13785456.0,551.41824,0,0.0,0.0,0.0,551.41824,10236.0,26716.0
15,0,15,uniform_full,32,0,,50228,0,0.0,25917648.0,25917648.0,12715272.0,12715272.0,508.61088,0,0.0,0.0,0.0,508.61088,9516.0,24642.0
16,1,0,uniform_full,32,0,,53315,0,0.0,27510540.0,27510540.0,14419104.0,14419104.0,576.76416,0,0.0,0.0,0.0,576.76416,13382.0,27944.0
17,1,1,uniform_full,32,0,,52098,0,0.0,26882568.0,26882568.0,13695672.0,13695672.0,547.82688,0,0.0,0.0,0.0,547.82688,11495.0,26542.0
18,1,2,uniform_full,32,0,,51483,0,0.0,26565228.0,26565228.0,13537260.0,13537260.0,541.4904,0,0.0,0.0,0.0,541.4904,14657.0,26235.0
19,1,3,uniform_full,32,0,,50417,0,0.0,26015172.0,26015172.0,12779772.0,12779772.0,511.19088,0,0.0,0.0,0.0,511.19088,11164.0,24767.0
20,1,4,uniform_full,32,0,,52031,0,0.0,26847996.0,26847996.0,13870080.0,13870080.0,554.8032,0,0.0,0.0,0.0,554.8032,12477.0,26880.0
21,1,5,uniform_full,32,0,,50930,0,0.0,26279880.0,26279880.0,13196700.0,13196700.0,527.868,0,0.0,0.0,0.0,527.868,10641.0,25575.0
22,1,6,uniform_full,32,0,,52200,0,0.0,26935200.0,26935200.0,13900008.0,13900008.0,556.00032,0,0.0,0.0,0.0,556.00032,10857.0,26938.0
23,1,7,uniform_full,32,0,,52306,0,0.0,26989896.0,26989896.0,13601244.0,13601244.0,544.04976,0,0.0,0.0,0.0,544.04976,11454.0,26359.0
24,1,8,uniform_full,32,0,,51408,0,0.0,26526528.0,26526528.0,13424256.0,13424256.0,536.97024,0,0.0,0.0,0.0,536.97024,10458.0,26016.0
25,1,9,uniform_full,32,0,,51026,0,0.0,26329416.0,26329416.0,13280292.0,13280292.0,531.21168,0,0.0,0.0,0.0,531.21168,9846.0,25737.0
26,1,10,uniform_full,32,0,,53112,0,0.0,27405792.0,27405792.0,14250888.0,14250888.0,570.03552,0,0.0,0.0,0.0,570.03552,12164.0,27618.0
27,1,11,uniform_full,32,0,,50504,0,0.0,26060064.0,26060064.0,12841692.0,12841692.0,513.66768,0,0.0,0.0,0.0,513.66768,10612.0,24887.0
28,1,12,uniform_full,32,0,,51905,0,0.0,26782980.0,26782980.0,13638396.0,13638396.0,545.53584,0,0.0,0.0,0.0,545.53584,10496.0,26431.0
29,1,13,uniform_full,32,0,,53124,0,0.0,27411984.0,27411984.0,14288040.0,14288040.0,571.5216,0,0.0,0.0,0.0,571.5216,12014.0,27690.0
30,1,14,uniform_full,32,0,,53258,0,0.0,27481128.0,27481128.0,14363892.0,14363892.0,574.55568,0,0.0,0.0,0.0,574.55568,11162.0,27837.0
31,1,15,uniform_full,32,0,,50804,0,0.0,26214864.0,26214864.0,13060476.0,13060476.0,522.41904,0,0.0,0.0,0.0,522.41904,10172.0,25311.0
32,2,0,uniform_full,32,0,,48628,0,0.0,25092048.0,25092048.0,12522804.0,12522804.0,500.91216,0,0.0,0.0,0.0,500.91216,11272.0,24269.0
33,2,1,uniform_full,32,0,,47462,0,0.0,24490392.0,24490392.0,11764800.0,11764800.0,470.592,0,0.0,0.0,0.0,470.592,9246.0,22800.0
34,2,2,uniform_full,32,0,,48018,0,0.0,24777288.0,24777288.0,11900508.0,11900508.0,476.02032,0,0.0,0.0,0.0,476.02032,12767.0,23063.0
35,2,3,uniform_full,32,0,,47109,0,0.0,24308244.0,24308244.0,11284404.0,11284404.0,451.37616,0,0.0,0.0,0.0,451.37616,9566.0,21869.0
36,2,4,uniform_full,32,0,,48422,0,0.0,24985752.0,24985752.0,12211140.0,12211140.0,488.4456,0,0.0,0.0,0.0,488.4456,10703.0,23665.0
37,2,5,uniform_full,32,0,,47646,0,0.0,24585336.0,24585336.0,11629092.0,11629092.0,465.16368,0,0.0,0.0,0.0,465.16368,9052.0,22537.0
38,2,6,uniform_full,32,0,,48945,0,0.0,25255620.0,25255620.0,12285960.0,12285960.0,491.4384,0,0.0,0.0,0.0,491.4384,9474.0,23810.0
39,2,7,uniform_full,32,0,,48276,0,0.0,24910416.0,24910416.0,11963976.0,11963976.0,478.55904,0,0.0,0.0,0.0,478.55904,10022.0,23186.0
40,2,8,uniform_full,32,0,,47667,0,0.0,24596172.0,24596172.0,11654376.0,11654376.0,466.17504,0,0.0,0.0,0.0,466.17504,9156.0,22586.0
41,2,9,uniform_full,32,0,,48319,0,0.0,24932604.0,24932604.0,11946948.0,11946948.0,477.87792,0,0.0,0.0,0.0,477.87792,9132.0,23153.0
42,2,10,uniform_full,32,0,,48740,0,0.0,25149840.0,25149840.0,12445404.0,12445404.0,497.81616,0,0.0,0.0,0.0,497.81616,10432.0,24119.0
43,2,11,uniform_full,32,0,,47122,0,0.0,24314952.0,24314952.0,11475840.0,11475840.0,459.0336,0,0.0,0.0,0.0,459.0336,9109.0,22240.0
44,2,12,uniform_full,32,0,,47834,0,0.0,24682344.0,24682344.0,11749320.0,11749320.0,469.9728,0,0.0,0.0,0.0,469.9728,9110.0,22770.0
45,2,13,uniform_full,32,0,,49256,0,0.0,25416096.0,25416096.0,12541380.0,12541380.0,501.6552,0,0.0,0.0,0.0,501.6552,10418.0,24305.0
46,2,14,uniform_full,32,0,,49258,0,0.0,25417128.0,25417128.0,12742620.0,12742620.0,509.7048,0,0.0,0.0,0.0,509.7048,9607.0,24695.0
47,2,15,uniform_full,32,0,,47739,0,0.0,24633324.0,24633324.0,11662116.0,11662116.0,466.48464,0,0.0,0.0,0.0,466.48464,9294.0,22601.0
48,3,0,uniform_full,32,0,,48805,0,0.0,25183380.0,25183380.0,11849424.0,11849424.0,473.97696,0,0.0,0.0,0.0,473.97696,11998.0,22964.0
49,3,1,uniform_full,32,0,,46933,0,0.0,24217428.0,24217428.0,10949520.0,10949520.0,437.9808,0,0.0,0.0,0.0,437.9808,9999.0,21220.0
50,3,2,uniform_full,32,0,,47607,0,0.0,24565212.0,24565212.0,11185332.0,11185332.0,447.41328,0,0.0,0.0,0.0,447.41328,13123.0,21677.0
51,3,3,uniform_full,32,0,,46124,0,0.0,23799984.0,23799984.0,10454676.0,10454676.0,418.18704,0,0.0,0.0,0.0,418.18704,10021.0,20261.0
52,3,4,uniform_full,32,0,,48284,0,0.0,24914544.0,24914544.0,11538276.0,11538276.0,461.53104,0,0.0,0.0,0.0,461.53104,11232.0,22361.0
53,3,5,uniform_full,32,0,,47509,0,0.0,24514644.0,24514644.0,11296272.0,11296272.0,451.85088,0,0.0,0.0,0.0,451.85088,9576.0,21892.0
54,3,6,uniform_full,32,0,,47825,0,0.0,24677700.0,24677700.0,11566656.0,11566656.0,462.66624,0,0.0,0.0,0.0,462.66624,9660.0,22416.0
55,3,7,uniform_full,32,0,,47223,0,0.0,24367068.0,24367068.0,11074392.0,11074392.0,442.97568,0,0.0,0.0,0.0,442.97568,10496.0,21462.0
56,3,8,uniform_full,32,0,,47221,0,0.0,24366036.0,24366036.0,11027436.0,11027436.0,441.09744,0,0.0,0.0,0.0,441.09744,9621.0,21371.0
57,3,9,uniform_full,32,0,,47749,0,0.0,24638484.0,24638484.0,11449524.0,11449524.0,457.98096,0,0.0,0.0,0.0,457.98096,9241.0,22189.0
58,3,10,uniform_full,32,0,,48261,0,0.0,24902676.0,24902676.0,11612064.0,11612064.0,464.48256,0,0.0,0.0,0.0,464.48256,10769.0,22504.0
59,3,11,uniform_full,32,0,,46547,0,0.0,24018252.0,24018252.0,10778208.0,10778208.0,431.12832,0,0.0,0.0,0.0,431.12832,9572.0,20888.0
60,3,12,uniform_full,32,0,,46788,0,0.0,24142608.0,24142608.0,11005764.0,11005764.0,440.23056,0,0.0,0.0,0.0,440.23056,9615.0,21329.0
61,3,13,uniform_full,32,0,,48222,0,0.0,24882552.0,24882552.0,11533116.0,11533116.0,461.32464,0,0.0,0.0,0.0,461.32464,10865.0,22351.0
62,3,14,uniform_full,32,0,,49047,0,0.0,25308252.0,25308252.0,11995968.0,11995968.0,479.83872,0,0.0,0.0,0.0,479.83872,10234.0,23248.0
63,3,15,uniform_full,32,0,,46994,0,0.0,24248904.0,24248904.0,11300400.0,11300400.0,452.016,0,0.0,0.0,0.0,452.016,9404.0,21900.0
