global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,bf16_reference,32,0,,10410,0,0.0,21361320.0,21361320.0,4243536.0,4243536.0,169.74144,0,0.0,0.0,0.0,169.74144,2068.0,1747.0
1,0,1,bf16_reference,32,0,,10368,0,0.0,21275136.0,21275136.0,3601260.0,3601260.0,144.0504,0,0.0,0.0,0.0,144.0504,1755.0,1750.0
2,0,2,bf16_reference,32,0,,10356,0,0.0,21250512.0,21250512.0,3519180.0,3519180.0,140.7672,0,0.0,0.0,0.0,140.7672,1664.0,1715.0
3,0,3,bf16_reference,32,0,,10304,0,0.0,21143808.0,21143808.0,4298940.0,4298940.0,171.9576,0,0.0,0.0,0.0,171.9576,2095.0,1873.0
4,0,4,bf16_reference,32,0,,10059,0,0.0,20641068.0,20641068.0,4573908.0,4573908.0,182.95632,0,0.0,0.0,0.0,182.95632,2229.0,1546.0
5,0,5,bf16_reference,32,0,,10334,0,0.0,21205368.0,21205368.0,3909060.0,3909060.0,156.3624,0,0.0,0.0,0.0,156.3624,1703.0,1905.0
6,0,6,bf16_reference,32,0,,10151,0,0.0,20829852.0,20829852.0,4485672.0,4485672.0,179.42688,0,0.0,0.0,0.0,179.42688,2186.0,1592.0
7,0,7,bf16_reference,32,0,,10328,0,0.0,21193056.0,21193056.0,4473360.0,4473360.0,178.9344,0,0.0,0.0,0.0,178.9344,2180.0,1714.0
8,0,8,bf16_reference,32,0,,10392,0,0.0,21324384.0,21324384.0,3410424.0,3410424.0,136.41696,0,0.0,0.0,0.0,136.41696,1662.0,1662.0
9,0,9,bf16_reference,32,0,,10281,0,0.0,21096612.0,21096612.0,3982932.0,3982932.0,159.31728,0,0.0,0.0,0.0,159.31728,1941.0,1622.0
10,0,10,bf16_reference,32,0,,10283,0,0.0,21100716.0,21100716.0,3613572.0,3613572.0,144.54288,0,0.0,0.0,0.0,144.54288,1761.0,1627.0
11,0,11,bf16_reference,32,0,,10387,0,0.0,21314124.0,21314124.0,3982932.0,3982932.0,159.31728,0,0.0,0.0,0.0,159.31728,1941.0,1739.0
12,0,12,bf16_reference,32,0,,10426,0,0.0,21394152.0,21394152.0,3900852.0,3900852.0,156.03408,0,0.0,0.0,0.0,156.03408,1901.0,1668.0
13,0,13,bf16_reference,32,0,,10431,0,0.0,21404412.0,21404412.0,5039712.0,5039712.0,201.58848,0,0.0,0.0,0.0,201.58848,2456.0,1903.0
14,0,14,bf16_reference,32,0,,10365,0,0.0,21268980.0,21268980.0,3455568.0,3455568.0,138.22272,0,0.0,0.0,0.0,138.22272,1684.0,1644.0
15,0,15,bf16_reference,32,0,,10691,0,0.0,21937932.0,21937932.0,4186080.0,4186080.0,167.4432,0,0.0,0.0,0.0,167.4432,1764.0,2040.0
16,1,0,bf16_reference,32,0,,9324,0,0.0,19132848.0,19132848.0,4052700.0,4052700.0,162.108,0,0.0,0.0,0.0,162.108,1975.0,1720.0
17,1,1,bf16_reference,32,0,,9354,0,0.0,19194408.0,19194408.0,3545856.0,3545856.0,141.83424,0,0.0,0.0,0.0,141.83424,1670.0,1728.0
18,1,2,bf16_reference,32,0,,9069,0,0.0,18609588.0,18609588.0,2887164.0,2887164.0,115.48656,0,0.0,0.0,0.0,115.48656,1407.0,1310.0
19,1,3,bf16_reference,32,0,,9066,0,0.0,18603432.0,18603432.0,3917268.0,3917268.0,156.69072,0,0.0,0.0,0.0,156.69072,1909.0,1512.0
20,1,4,bf16_reference,32,0,,9397,0,0.0,19282644.0,19282644.0,4541076.0,4541076.0,181.64304,0,0.0,0.0,0.0,181.64304,2213.0,1696.0
21,1,5,bf16_reference,32,0,,9371,0,0.0,19229292.0,19229292.0,3611520.0,3611520.0,144.4608,0,0.0,0.0,0.0,144.4608,1627.0,1760.0
22,1,6,bf16_reference,32,0,,9072,0,0.0,18615744.0,18615744.0,3490452.0,3490452.0,139.61808,0,0.0,0.0,0.0,139.61808,1701.0,1415.0
23,1,7,bf16_reference,32,0,,9444,0,0.0,19379088.0,19379088.0,3812616.0,3812616.0,152.50464,0,0.0,0.0,0.0,152.50464,1858.0,1725.0
24,1,8,bf16_reference,32,0,,9254,0,0.0,18989208.0,18989208.0,3092364.0,3092364.0,123.69456,0,0.0,0.0,0.0,123.69456,1344.0,1507.0
25,1,9,bf16_reference,32,0,,9183,0,0.0,18843516.0,18843516.0,3742848.0,3742848.0,149.71392,0,0.0,0.0,0.0,149.71392,1824.0,1460.0
26,1,10,bf16_reference,32,0,,9174,0,0.0,18825048.0,18825048.0,3498660.0,3498660.0,139.9464,0,0.0,0.0,0.0,139.9464,1705.0,1460.0
27,1,11,bf16_reference,32,0,,9338,0,0.0,19161576.0,19161576.0,3194964.0,3194964.0,127.79856,0,0.0,0.0,0.0,127.79856,1465.0,1557.0
28,1,12,bf16_reference,32,0,,9067,0,0.0,18605484.0,18605484.0,3108780.0,3108780.0,124.3512,0,0.0,0.0,0.0,124.3512,1515.0,1390.0
29,1,13,bf16_reference,32,0,,9265,0,0.0,19011780.0,19011780.0,4863240.0,4863240.0,194.5296,0,0.0,0.0,0.0,194.5296,2370.0,1746.0
30,1,14,bf16_reference,32,0,,9243,0,0.0,18966636.0,18966636.0,3352968.0,3352968.0,134.11872,0,0.0,0.0,0.0,134.11872,1634.0,1481.0
31,1,15,bf16_reference,32,0,,9213,0,0.0,18905076.0,18905076.0,3420684.0,3420684.0,136.82736,0,0.0,0.0,0.0,136.82736,1667.0,1628.0
