global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10410,4624,0.4441882804995197,16626344.0,21361320.0,4243536.0,2975400.0,169.74144,152,51.5012788772583,7828.194389343262,51.5012788772583,170.51727887725832,2068.0,1747.0
1,0,1,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10537,3991,0.3787605580335959,17535140.0,21621924.0,3759264.0,3367944.0,150.37056,132,51.5012788772583,6798.168811798096,51.5012788772583,186.2190388772583,1832.0,1794.0
2,0,2,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10462,3911,0.3738290957751864,17463160.0,21468024.0,3510972.0,3108780.0,140.43888,128,51.5012788772583,6592.1636962890625,51.5012788772583,175.8524788772583,1681.0,1711.0
3,0,3,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10404,3552,0.3414071510957324,17711760.0,21349008.0,4268160.0,3845448.0,170.7264,119,51.5012788772583,6128.652186393738,51.5012788772583,205.3191988772583,2080.0,1874.0
4,0,4,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9991,3905,0.3908517665899309,16502812.0,20501532.0,4495932.0,3456572.0,179.83728,127,51.5012788772583,6540.662417411804,51.5012788772583,189.7641588772583,2191.0,1543.0
5,0,5,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10265,4366,0.4253287871407696,16592996.0,21063780.0,3876228.0,3379588.0,155.04912,143,51.5012788772583,7364.682879447937,51.5012788772583,186.6847988772583,1711.0,1889.0
6,0,6,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10083,4359,0.432311811960726,16226700.0,20690316.0,4479516.0,3895836.0,179.18064,141,51.5012788772583,7261.68032169342,51.5012788772583,207.3347188772583,2183.0,1590.0
7,0,7,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10299,4643,0.4508204680066026,16379116.0,21133548.0,4446684.0,3411420.0,177.86736,151,51.5012788772583,7776.693110466003,51.5012788772583,187.9580788772583,2167.0,1715.0
8,0,8,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10436,4309,0.4128976619394404,17002256.0,21414672.0,3418632.0,3266784.0,136.74528,140,51.5012788772583,7210.179042816162,51.5012788772583,182.1726388772583,1660.0,1666.0
9,0,9,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10345,4576,0.4423392943450942,16542116.0,21227940.0,3966516.0,3470900.0,158.66064,150,51.5012788772583,7725.191831588745,51.5012788772583,190.3372788772583,1933.0,1618.0
10,0,10,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10272,4383,0.42669392523364486,16589952.0,21078144.0,3539700.0,3176496.0,141.588,143,51.5012788772583,7364.682879447937,51.5012788772583,178.5611188772583,1725.0,1621.0
11,0,11,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10431,3822,0.366407822835778,17490684.0,21404412.0,3993192.0,3564324.0,159.72768,125,51.5012788772583,6437.659859657288,51.5012788772583,194.0742388772583,1946.0,1737.0
12,0,12,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10379,4020,0.387320551112824,17181228.0,21297708.0,3874176.0,3410424.0,154.96704,133,51.5012788772583,6849.670090675354,51.5012788772583,187.9182388772583,1888.0,1662.0
13,0,13,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10431,5145,0.49324129997123956,16135932.0,21404412.0,4924800.0,3002816.0,196.992,168,51.5012788772583,8652.214851379395,51.5012788772583,171.6139188772583,2400.0,1904.0
14,0,14,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10305,4230,0.4104803493449782,16814340.0,21145860.0,3457620.0,3367332.0,138.3048,138,51.5012788772583,7107.1764850616455,51.5012788772583,186.1945588772583,1685.0,1641.0
15,0,15,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10638,4317,0.40580936266215456,17408568.0,21829176.0,4179924.0,3789780.0,167.19696,141,51.5012788772583,7261.68032169342,51.5012788772583,203.0924788772583,1730.0,2037.0
16,1,0,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9324,4678,0.5017160017160017,14342576.0,19132848.0,4052700.0,2045844.0,162.108,150,51.5012788772583,7725.191831588745,51.5012788772583,133.33503887725828,1975.0,1720.0
17,1,1,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9494,4237,0.4462818622287761,15143000.0,19481688.0,3603312.0,2579372.0,144.13248,138,51.5012788772583,7107.1764850616455,51.5012788772583,154.6761588772583,1749.0,1756.0
18,1,2,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9208,3863,0.4195264986967854,14939104.0,18894816.0,3080052.0,2692980.0,123.20208,127,51.5012788772583,6540.662417411804,51.5012788772583,159.2204788772583,1501.0,1332.0
19,1,3,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9160,3663,0.39989082969432316,15045408.0,18796320.0,3890592.0,3333536.0,155.62368,120,51.5012788772583,6180.153465270996,51.5012788772583,184.8427188772583,1896.0,1501.0
20,1,4,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9276,4409,0.4753126347563605,14519536.0,19034352.0,4487724.0,3130924.0,179.50896,145,51.5012788772583,7467.685437202454,51.5012788772583,176.7382388772583,2187.0,1666.0
21,1,5,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9308,4431,0.4760421143102707,14562672.0,19100016.0,3515076.0,2425188.0,140.60304,145,51.5012788772583,7467.685437202454,51.5012788772583,148.5087988772583,1635.0,1713.0
22,1,6,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9001,4349,0.4831685368292412,14016676.0,18470052.0,3504816.0,3044016.0,140.19264,143,51.5012788772583,7364.682879447937,51.5012788772583,173.2619188772583,1708.0,1383.0
23,1,7,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9355,4825,0.515766969535008,14255660.0,19196460.0,3804408.0,2860280.0,152.17632,157,51.5012788772583,8085.700783729553,51.5012788772583,165.9124788772583,1854.0,1681.0
24,1,8,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9287,4222,0.4546139765263271,14733596.0,19056924.0,3096468.0,2399508.0,123.85872,140,51.5012788772583,7210.179042816162,51.5012788772583,147.4815988772583,1349.0,1509.0
