request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,1,1,1.6176315546035767,0.171875,-2.078568935394287,-1.6176315546035767,-2.023881435394287,-1.7895065546035767,42.51038600000004,5192,5192,1.0,5337376.0
1,abstract_algebra,2,3,0,1.5775036811828613,-0.234375,-1.8275036811828613,-2.2571911811828613,-1.5775036811828613,-1.3431286811828613,42.51038600000004,5333,5333,1.0,5482324.0
2,computer_security,2,1,0,1.7792181968688965,-0.5078125,-1.8807806968688965,-1.2714056968688965,-1.7792181968688965,-1.3182806968688965,42.51038600000004,7436,7436,1.0,7644208.0
3,abstract_algebra,0,1,0,2.1565823554992676,-0.7265626192092896,-2.1565823554992676,-1.430019736289978,-1.672207236289978,-1.734707236289978,42.51038600000004,6895,6895,1.0,7088060.0
4,abstract_algebra,2,1,0,1.8739017248153687,-0.421875,-2.131714344024658,-1.4520267248153687,-1.8739017248153687,-1.7567142248153687,42.51038600000004,3064,3064,1.0,3149792.0
5,conceptual_physics,3,0,0,1.9415045976638794,-0.5234375,-1.4180670976638794,-1.4727545976638794,-1.5586920976638794,-1.9415045976638794,42.51038600000004,4470,4470,1.0,4595160.0
6,high_school_mathematics,2,3,0,1.339766263961792,-0.015625,-2.511641263961792,-1.871016263961792,-1.339766263961792,-1.324141263961792,42.51038600000004,6566,6566,1.0,6749848.0
7,computer_security,3,0,0,1.819017767906189,-1.0078125,-0.811205267906189,-2.3502678871154785,-2.3112053871154785,-1.819017767906189,42.51038600000004,4159,4159,1.0,4275452.0
8,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,42.51038600000004,3734,3734,1.0,3838552.0
9,conceptual_physics,1,1,1,1.0543131828308105,0.390625,-3.1246256828308105,-1.0543131828308105,-1.4449381828308105,-1.4761881828308105,42.51038600000004,4610,4610,1.0,4739080.0
10,computer_security,1,2,0,1.8391695022583008,-0.703125,-2.050107002258301,-1.8391695022583008,-1.1360445022583008,-1.2219820022583008,42.51038600000004,3548,3548,1.0,3647344.0
11,high_school_mathematics,3,1,0,1.96621835231781,-0.71875,-2.0443434715270996,-1.24746835231781,-1.97403085231781,-1.96621835231781,42.51038600000004,6188,6188,1.0,6361264.0
12,abstract_algebra,0,3,0,1.7000770568847656,-0.2578125,-1.7000770568847656,-1.5282020568847656,-1.6922645568847656,-1.4422645568847656,42.51038600000004,4674,4674,1.0,4804872.0
13,conceptual_physics,0,1,0,1.5040485858917236,-0.0625,-1.5040485858917236,-1.4415485858917236,-2.1681110858917236,-2.4962360858917236,42.51038600000004,3863,3863,1.0,3971164.0
14,high_school_mathematics,2,1,0,1.549572229385376,-0.1953125,-1.705822229385376,-1.354259729385376,-1.549572229385376,-1.791759729385376,42.51038600000004,4684,4684,1.0,4815152.0
15,computer_security,0,2,0,1.7327526807785034,-0.2265625,-1.7327526807785034,-1.5999401807785034,-1.5061901807785034,-1.5921276807785034,42.51038600000004,9590,9590,1.0,9858520.0
16,conceptual_physics,2,0,0,1.5416213274002075,-0.3984375,-1.1431838274002075,-1.4791213274002075,-1.5416213274002075,-2.940058708190918,42.51038600000004,3413,981,0.28743041312628187,5998932.0
17,computer_security,2,3,0,1.6233311891555786,-0.4140625,-1.7327061891555786,-1.8420811891555786,-1.6233311891555786,-1.2092686891555786,42.51038600000004,4251,0,0.0,8723052.0
18,high_school_mathematics,3,1,0,1.8434277772903442,-0.4609375,-1.5934277772903442,-1.3824902772903442,-1.7887402772903442,-1.8434277772903442,42.51038600000004,8684,0,0.0,17819568.0
19,high_school_mathematics,1,3,0,1.581967830657959,-0.3359375,-2.035092830657959,-1.581967830657959,-1.464780330657959,-1.246030330657959,42.51038600000004,3800,1139,0.29973684210526313,6631264.0
20,abstract_algebra,3,3,1,1.2241853475570679,0.40625,-1.9429353475570679,-1.7319978475570679,-1.6304353475570679,-1.2241853475570679,42.51038600000004,4671,4671,1.0,4801788.0
21,high_school_mathematics,1,2,0,1.7615313529968262,-0.4453125,-1.4177813529968262,-1.7615313529968262,-1.3162188529968262,-2.519343852996826,42.51038600000004,5743,3240,0.5641650705206338,8466876.0
22,conceptual_physics,2,3,0,1.6437627077102661,-0.5390625,-2.1047000885009766,-2.0422000885009766,-1.6437627077102661,-1.1047002077102661,42.51038600000004,3472,959,0.2762096774193548,6142528.0
23,abstract_algebra,3,3,1,1.6354962587356567,0.1640625,-2.440183639526367,-2.065183639526367,-1.7995587587356567,-1.6354962587356567,42.51038600000004,4943,1230,0.24883673882257737,8883516.0
24,high_school_mathematics,2,1,0,1.6607184410095215,-0.34375,-1.7466559410095215,-1.3169684410095215,-1.6607184410095215,-1.7466559410095215,42.51038600000004,8331,0,0.0,17095212.0
25,abstract_algebra,2,3,0,1.847549319267273,-0.1875,-2.0819244384765625,-2.0662994384765625,-1.847549319267273,-1.660049319267273,42.51038600000004,4166,0,0.0,8548632.0
26,conceptual_physics,2,1,0,1.9600145816802979,-0.453125,-1.5381395816802979,-1.5068895816802979,-1.9600145816802979,-1.9287645816802979,42.51038600000004,5349,1527,0.2854739203589456,9412500.0
27,computer_security,2,0,0,1.6962934732437134,-0.6328125,-1.0634809732437134,-2.079105854034424,-1.6962934732437134,-1.3525434732437134,42.51038600000004,3121,3121,1.0,3208388.0
