global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10004,6476,0.6473410635745702,13896784.0,20528208.0,10077372.0,5048508.0,403.09488,208,51.5012788772583,10712.266006469727,51.5012788772583,253.44159887725831,2026.0,4911.0
1,0,1,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10068,6131,0.6089590782677791,14381392.0,20659536.0,9898848.0,4959072.0,395.95392,197,51.5012788772583,10145.751938819885,51.5012788772583,249.8641588772583,2590.0,4824.0
2,0,2,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10413,6638,0.637472390281379,14570164.0,21367476.0,11281896.0,5651944.0,451.27584,214,51.5012788772583,11021.273679733276,51.5012788772583,277.5790388772583,2686.0,5498.0
3,0,3,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,11620,7322,0.6301204819277109,16346512.0,23844240.0,13040460.0,6532940.0,521.6184,235,51.5012788772583,12102.8005361557,51.5012788772583,312.8188788772583,3126.0,6355.0
4,0,4,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10047,6304,0.6274509803921569,14161148.0,20616444.0,10262052.0,5141028.0,410.48208,203,51.5012788772583,10454.759612083435,51.5012788772583,257.1423988772583,2535.0,5001.0
5,0,5,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9568,6084,0.6358695652173914,13403520.0,19633536.0,9428940.0,4723660.0,377.1576,196,51.5012788772583,10094.250659942627,51.5012788772583,240.4476788772583,2343.0,4595.0
6,0,6,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10779,7173,0.6654606178680769,14773356.0,22118508.0,11729232.0,5876048.0,469.16928,231,51.5012788772583,11896.795420646667,51.5012788772583,286.5431988772583,3076.0,5716.0
7,0,7,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,9911,6569,0.662798910301685,13610716.0,20337372.0,10034280.0,5026920.0,401.3712,212,51.5012788772583,10918.27112197876,51.5012788772583,252.5780788772583,3297.0,4890.0
8,0,8,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10347,6535,0.6315840340195226,14540204.0,21232044.0,10889964.0,5455596.0,435.59856,212,51.5012788772583,10918.27112197876,51.5012788772583,269.7251188772583,2515.0,5307.0
9,0,9,calib_static,32,13,0:4;0:5;0:6;0:7;1:5;2:5;2:6;3:5;4:0;4:1;5:0;6:0;7:0,10524,7015,0.6665716457620676,14411888.0,21595248.0,11111580.0,5566620.0,444.4632,226,51.5012788772583,11639.289026260376,51.5012788772583,274.1660788772583,2896.0,5415.0
