global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_full,32,0,,10368,0,0.0,21275136.0,21275136.0,4344084.0,4344084.0,173.76336,0,0.0,0.0,0.0,173.76336,2032.0,2117.0
1,0,1,uniform_full,32,0,,10119,0,0.0,20764188.0,20764188.0,4046544.0,4046544.0,161.86176,0,0.0,0.0,0.0,161.86176,1618.0,1972.0
2,0,2,uniform_full,32,0,,10318,0,0.0,21172536.0,21172536.0,4672404.0,4672404.0,186.89616,0,0.0,0.0,0.0,186.89616,1864.0,2277.0
3,0,3,uniform_full,32,0,,10370,0,0.0,21279240.0,21279240.0,5497308.0,5497308.0,219.89232,0,0.0,0.0,0.0,219.89232,2059.0,2679.0
4,0,4,uniform_full,32,0,,10291,0,0.0,21117132.0,21117132.0,4485672.0,4485672.0,179.42688,0,0.0,0.0,0.0,179.42688,2186.0,2007.0
5,0,5,uniform_full,32,0,,10279,0,0.0,21092508.0,21092508.0,3720276.0,3720276.0,148.81104,0,0.0,0.0,0.0,148.81104,1681.0,1813.0
6,0,6,uniform_full,32,0,,10251,0,0.0,21035052.0,21035052.0,4713444.0,4713444.0,188.53776,0,0.0,0.0,0.0,188.53776,1890.0,2297.0
7,0,7,uniform_full,32,0,,10079,0,0.0,20682108.0,20682108.0,4110156.0,4110156.0,164.40624,0,0.0,0.0,0.0,164.40624,2003.0,1853.0
8,0,8,uniform_full,32,0,,10176,0,0.0,20881152.0,20881152.0,4233276.0,4233276.0,169.33104,0,0.0,0.0,0.0,169.33104,1675.0,2063.0
9,0,9,uniform_full,32,0,,10119,0,0.0,20764188.0,20764188.0,4563648.0,4563648.0,182.54592,0,0.0,0.0,0.0,182.54592,1873.0,2224.0
10,0,10,uniform_full,32,0,,10237,0,0.0,21006324.0,21006324.0,4495932.0,4495932.0,179.83728,0,0.0,0.0,0.0,179.83728,1698.0,2191.0
11,0,11,uniform_full,32,0,,9978,0,0.0,20474856.0,20474856.0,4101948.0,4101948.0,164.07792,0,0.0,0.0,0.0,164.07792,1695.0,1999.0
12,0,12,uniform_full,32,0,,10358,0,0.0,21254616.0,21254616.0,4959684.0,4959684.0,198.38736,0,0.0,0.0,0.0,198.38736,1938.0,2417.0
13,0,13,uniform_full,32,0,,9978,0,0.0,20474856.0,20474856.0,4528764.0,4528764.0,181.15056,0,0.0,0.0,0.0,181.15056,2207.0,1707.0
14,0,14,uniform_full,32,0,,10198,0,0.0,20926296.0,20926296.0,4356396.0,4356396.0,174.25584,0,0.0,0.0,0.0,174.25584,1844.0,2123.0
15,0,15,uniform_full,32,0,,10006,0,0.0,20532312.0,20532312.0,3611520.0,3611520.0,144.4608,0,0.0,0.0,0.0,144.4608,1675.0,1760.0
