request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,3,0,1.6259793043136597,-0.1875,-2.071291923522949,-1.6259793043136597,-2.165041923522949,-1.4384793043136597,44.79730562499992,5201,4319,0.8304172274562585,6249796.0
1,abstract_algebra,2,3,0,1.516435146331787,-0.125,-1.836747646331787,-2.352372646331787,-1.516435146331787,-1.391435146331787,44.79730562499992,5327,3476,0.6525248732870284,7371580.0
2,computer_security,2,3,0,1.5037044286727905,-0.0859375,-2.17557954788208,-1.5271419286727905,-1.5037044286727905,-1.4177669286727905,44.79730562499992,7440,6977,0.937768817204301,8122432.0
3,abstract_algebra,0,1,0,2.0772042274475098,-0.46875,-2.0772042274475098,-1.6084542274475098,-1.8115792274475098,-1.7178292274475098,44.79730562499992,6901,5187,0.7516301985219533,8849364.0
4,abstract_algebra,2,1,0,1.6930041313171387,-0.1171875,-1.8883166313171387,-1.5758166313171387,-1.6930041313171387,-1.7242541313171387,44.79730562499992,2949,1401,0.4750762970498474,4616724.0
5,conceptual_physics,3,2,0,1.625945806503296,-0.375,-1.680633306503296,-1.586883306503296,-1.250945806503296,-1.625945806503296,44.79730562499992,4391,3216,0.7324071965383739,5717148.0
6,high_school_mathematics,2,3,0,1.7130224704742432,-0.46875,-2.431772470474243,-1.9317724704742432,-1.7130224704742432,-1.2442724704742432,44.79730562499992,6458,3828,0.5927531743573862,9331944.0
7,computer_security,3,0,0,2.216090440750122,-1.75,-0.46609047055244446,-2.255152940750122,-2.684840440750122,-2.216090440750122,44.79730562499992,4295,3761,0.8756693830034924,4962076.0
8,abstract_algebra,1,1,1,1.2175321578979492,0.3125,-1.5300321578979492,-1.2175321578979492,-2.170657157897949,-1.9987821578979492,44.79730562499992,3741,3112,0.8318631381983427,4489844.0
9,conceptual_physics,1,2,0,1.4459023475646973,-0.1484375,-2.8755898475646973,-1.4459023475646973,-1.2974648475646973,-1.4459023475646973,44.79730562499992,4625,2903,0.6276756756756757,6517828.0
10,computer_security,1,2,0,1.8748245239257812,-1.015625,-2.2107620239257812,-1.8748245239257812,-0.8591994643211365,-1.5623245239257812,44.79730562499992,3551,3339,0.9402985074626866,3867516.0
11,high_school_mathematics,3,1,0,1.987696886062622,-0.671875,-1.956446886062622,-1.315821886062622,-2.206446886062622,-1.987696886062622,44.79730562499992,6204,4701,0.7577369439071566,7916784.0
12,abstract_algebra,0,3,0,1.9464654922485352,-0.484375,-1.9464654922485352,-1.7199029922485352,-1.6730279922485352,-1.4620904922485352,44.79730562499992,4640,2236,0.4818965517241379,7231616.0
13,conceptual_physics,0,0,1,1.4154952764511108,0.0625,-1.4154952764511108,-1.4858077764511108,-1.4779952764511108,-2.1342453956604004,44.79730562499992,3808,2851,0.748686974789916,4894592.0
14,high_school_mathematics,2,2,1,1.3141157627105713,0.0234375,-2.0719282627105713,-1.3375532627105713,-1.3141157627105713,-1.7359907627105713,44.79730562499992,4537,2655,0.5851884505179634,6591204.0
15,computer_security,0,1,0,1.5981498956680298,-0.234375,-1.5981498956680298,-1.3637748956680298,-1.8403373956680298,-1.5747123956680298,44.79730562499992,10210,9081,0.8894221351616063,11651976.0
16,conceptual_physics,2,1,0,1.6321070194244385,-0.5625,-1.8508570194244385,-1.0696070194244385,-1.6321070194244385,-3.3117945194244385,44.79730562499992,3407,2745,0.8056941590842384,4180284.0
17,computer_security,2,3,0,1.4757121801376343,-0.0703125,-1.6475871801376343,-1.9522746801376343,-1.4757121801376343,-1.4053996801376343,44.79730562499992,4261,2696,0.6327153250410702,5982868.0
18,high_school_mathematics,3,1,0,1.802440881729126,-0.3828125,-1.646190881729126,-1.419628381729126,-1.700878381729126,-1.802440881729126,44.79730562499992,8703,8224,0.9449615075261404,9437180.0
19,high_school_mathematics,1,3,0,1.891871452331543,-1.03125,-2.227808952331543,-1.891871452331543,-1.837183952331543,-0.860621452331543,44.79730562499992,3887,2947,0.7581682531515307,4958396.0
20,abstract_algebra,3,3,1,1.4568673372268677,0.375,-2.238117218017578,-1.8318673372268677,-1.9724923372268677,-1.4568673372268677,44.79730562499992,4658,2214,0.4753112924001717,7291080.0
21,high_school_mathematics,1,2,0,1.4458667039871216,-0.203125,-1.6255542039871216,-1.4458667039871216,-1.2427417039871216,-2.641179084777832,44.79730562499992,5709,4299,0.7530215449290594,7312692.0
22,conceptual_physics,2,3,0,1.4873905181884766,-0.0703125,-1.6983280181884766,-1.9405155181884766,-1.4873905181884766,-1.4170780181884766,44.79730562499992,3471,1999,0.5759147219821377,5075516.0
23,abstract_algebra,3,3,1,1.336029052734375,0.3203125,-1.765716552734375,-1.914154052734375,-1.656341552734375,-1.336029052734375,44.79730562499992,4769,4153,0.8708324596351437,5533316.0
24,high_school_mathematics,2,1,0,1.4840123653411865,-0.0546875,-1.9371373653411865,-1.4293248653411865,-1.4840123653411865,-1.6558873653411865,44.79730562499992,8339,6843,0.8206019906463605,10104396.0
25,abstract_algebra,2,3,0,1.9010076522827148,-0.1171875,-1.9322576522827148,-1.8541326522827148,-1.9010076522827148,-1.7838201522827148,44.79730562499992,4172,2598,0.6227229146692234,5900592.0
26,conceptual_physics,2,1,0,1.9860632419586182,-0.609375,-1.4704382419586182,-1.3766882419586182,-1.9860632419586182,-2.064188241958618,44.79730562499992,5408,5112,0.9452662721893491,5862528.0
27,computer_security,2,0,0,1.5966606140136719,-0.4765625,-1.1200981140136719,-2.026348114013672,-1.5966606140136719,-1.4404106140136719,44.79730562499992,3064,2209,0.7209530026109661,4025312.0
28,high_school_mathematics,0,1,0,2.305225372314453,-1.0000001192092896,-2.305225372314453,-1.3052252531051636,-1.5864752531051636,-1.6646002531051636,44.79730562499992,4665,2170,0.46516613076098606,7350500.0
29,abstract_algebra,2,3,0,1.6038709878921509,-0.2578125,-1.9319959878921509,-1.7991834878921509,-1.6038709878921509,-1.3460584878921509,44.79730562499992,6176,4634,0.7503238341968912,7927936.0
30,conceptual_physics,1,1,1,0.9919309020042419,0.3125000596046448,-1.3044309616088867,-0.9919309020042419,-2.2263059616088867,-2.4684934616088867,44.79730562499992,3509,2088,0.5950413223140496,5062356.0
31,computer_security,0,3,0,1.839711308479309,-0.9375,-1.839711308479309,-1.800648808479309,-1.941273808479309,-0.9022113084793091,44.79730562499992,7004,6231,0.8896344945745288,7991664.0
32,conceptual_physics,0,2,0,2.224156141281128,-1.296875,-2.224156141281128,-1.958531141281128,-0.9272810816764832,-1.942906141281128,43.04627395800003,4814,3623,0.7525965932696302,6168376.0
33,conceptual_physics,2,1,0,1.3877944946289062,-0.3515625,-2.2315444946289062,-1.0362319946289062,-1.3877944946289062,-2.4034194946289062,43.04627395800003,3897,1520,0.39004362329997433,6440164.0
34,abstract_algebra,0,1,0,2.004016637802124,-0.625,-2.004016637802124,-1.379016637802124,-1.910266637802124,-1.488391637802124,43.04627395800003,3732,1643,0.4402465166130761,5975632.0
35,computer_security,2,0,0,1.9287021160125732,-1.171875,-0.7568270564079285,-2.6005771160125732,-1.9287021160125732,-2.3115146160125732,43.04627395800003,3603,1443,0.40049958368026645,5915724.0
36,computer_security,1,1,1,1.0336568355560303,0.28125,-2.1586568355560303,-1.0336568355560303,-1.3149068355560303,-1.7680318355560303,43.04627395800003,3656,1685,0.4608862144420131,5776672.0
37,high_school_mathematics,3,3,1,1.435309886932373,0.1484375,-1.794684886932373,-1.622809886932373,-1.583747386932373,-1.435309886932373,43.04627395800003,6875,6875,1.0,7067500.0
38,conceptual_physics,2,1,0,2.300428867340088,-1.34375,-1.019178867340088,-0.9566788077354431,-2.300428867340088,-3.261366367340088,43.04627395800003,3596,3021,0.8401001112347052,4285488.0
