global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,32,0,,10410,0,0.0,21361320.0,21361320.0,4243536.0,4243536.0,169.74144,0,0.0,0.0,0.0,169.74144,2068.0,1747.0
1,0,1,causal_no_hysteresis,32,20,0:4;0:5;0:6;0:7;1:5;1:7;2:5;2:7;3:5;3:7;4:2;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:2,10364,6928,0.6684677730605944,14172656.0,21266928.0,3597156.0,2583396.0,143.88624,228,51.5012788772583,11742.291584014893,51.5012788772583,154.83711887725832,1753.0,1749.0
2,0,2,causal_no_hysteresis,32,22,0:5;0:7;1:5;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:2;5:0;5:1;5:2;5:3;6:2;7:0;7:1;7:2;7:3,10354,8052,0.7776704655205717,13001160.0,21246408.0,3515076.0,2544424.0,140.60304,262,51.5012788772583,13493.335065841675,51.5012788772583,153.2782388772583,1661.0,1713.0
3,0,3,causal_no_hysteresis,32,27,0:5;0:7;1:4;1:5;1:6;1:7;2:5;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;6:3;7:0;7:1;7:2;7:3,10342,9447,0.9134596789789209,11548056.0,21221784.0,4276368.0,2142352.0,171.05472,312,51.5012788772583,16068.39900970459,51.5012788772583,137.1953588772583,2084.0,1874.0
4,0,4,causal_no_hysteresis,32,20,1:4;1:5;1:6;1:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10098,5587,0.5532778768072886,15000008.0,20721096.0,4736016.0,4736016.0,189.44064,185,51.5012788772583,9527.736592292786,51.5012788772583,240.9419188772583,2308.0,1555.0
5,0,5,causal_no_hysteresis,32,20,0:5;0:6;0:7;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:5;3:6;3:7;4:2;5:0;5:1;5:2;5:3;6:2;7:2,10201,6780,0.6646407214978923,13989732.0,20932452.0,3771576.0,2673640.0,150.86304,222,51.5012788772583,11433.283910751343,51.5012788772583,158.4468788772583,1648.0,1838.0
6,0,6,causal_no_hysteresis,32,26,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:2;5:2;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10062,8521,0.8468495328960445,11921720.0,20647224.0,4504140.0,2256460.0,180.1656,277,51.5012788772583,14265.85424900055,51.5012788772583,141.7596788772583,2195.0,1595.0
7,0,7,causal_no_hysteresis,32,26,0:4;0:5;0:6;0:7;1:7;2:4;2:5;2:6;2:7;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10343,9075,0.8774050082181185,11931036.0,21223836.0,4475412.0,2242068.0,179.01648,294,51.5012788772583,15141.37598991394,51.5012788772583,141.18399887725832,2181.0,1724.0
8,0,8,causal_no_hysteresis,32,24,0:4;0:5;0:6;0:7;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:2;6:0;6:2;7:0;7:2,10344,8174,0.7902165506573859,12855712.0,21225888.0,3404268.0,2533868.0,136.17072,267,51.5012788772583,13750.841460227966,51.5012788772583,152.8559988772583,1659.0,1657.0
9,0,9,causal_no_hysteresis,32,29,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:5;3:7;4:0;4:1;4:2;4:3;5:0;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10324,9765,0.9458543200309958,11185488.0,21184848.0,4003452.0,2005628.0,160.13808,319,51.5012788772583,16428.907961845398,51.5012788772583,131.7263988772583,1951.0,1628.0
