request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,3,0,1.6414250135421753,-0.25,-2.266425132751465,-1.6414250135421753,-1.9304875135421753,-1.3914250135421753,42.69226366599992,5212,4923,0.9445510360706063,5653872.0
1,abstract_algebra,2,3,0,1.458203673362732,-0.4609375,-2.3722662925720215,-2.6144537925720215,-1.458203673362732,-0.9972661733627319,42.69226366599992,5338,5023,0.9409891345073061,5810024.0
2,computer_security,2,3,0,1.5037044286727905,-0.0859375,-2.17557954788208,-1.5271419286727905,-1.5037044286727905,-1.4177669286727905,42.69226366599992,7440,6977,0.937768817204301,8122432.0
3,abstract_algebra,0,1,0,2.121677875518799,-0.78125,-2.121677875518799,-1.3404278755187988,-1.3404278755187988,-1.7857403755187988,42.69226366599992,6896,6478,0.939385150812065,7517120.0
4,abstract_algebra,2,2,1,1.3857661485671997,0.359375,-2.10451602935791,-1.7451411485671997,-1.3857661485671997,-1.8935786485671997,42.69226366599992,3071,2907,0.9465971996092478,3324924.0
5,conceptual_physics,3,2,0,1.9435093402862549,-0.640625,-1.4356968402862549,-1.4669468402862549,-1.3028843402862549,-1.9435093402862549,42.69226366599992,4464,4235,0.9487007168458781,4823488.0
6,high_school_mathematics,2,3,0,1.8087923526763916,-0.515625,-2.6759798526763916,-1.8947298526763916,-1.8087923526763916,-1.2931673526763916,42.69226366599992,6599,6205,0.9402939839369602,7187228.0
7,computer_security,3,0,0,1.645678997039795,-0.7656249403953552,-0.8800540566444397,-2.301928997039795,-2.356616497039795,-1.645678997039795,42.69226366599992,4134,3898,0.9429124334784712,4491416.0
8,abstract_algebra,1,1,1,1.146146297454834,0.6484375,-1.794583797454834,-1.146146297454834,-1.896146297454834,-2.099271297454834,42.69226366599992,3727,3513,0.9425811644754494,4050492.0
9,conceptual_physics,1,1,1,0.9612094759941101,0.6171875596046448,-2.883084535598755,-0.9612094759941101,-1.6174595355987549,-1.5783970355987549,42.69226366599992,4612,4351,0.9434084995663486,5008400.0
10,computer_security,1,2,0,1.8748245239257812,-1.015625,-2.2107620239257812,-1.8748245239257812,-0.8591994643211365,-1.5623245239257812,42.69226366599992,3551,3339,0.9402985074626866,3867516.0
11,high_school_mathematics,3,1,0,1.89874267578125,-0.5703125,-1.71124267578125,-1.32843017578125,-1.90655517578125,-1.89874267578125,42.69226366599992,6198,5830,0.9406260083898031,6748376.0
12,abstract_algebra,0,3,0,1.8903335332870483,-0.5703125,-1.8903335332870483,-2.030958652496338,-1.6012710332870483,-1.3200210332870483,42.69226366599992,4661,4387,0.9412143316884789,5072084.0
13,conceptual_physics,0,1,0,1.6307140588760376,-0.2265625,-1.6307140588760376,-1.4041515588760376,-1.6619640588760376,-2.060401439666748,42.69226366599992,3859,3627,0.9398807981342316,4204620.0
14,high_school_mathematics,2,0,0,1.5908160209655762,-0.015625,-1.5751910209655762,-1.6142535209655762,-1.5908160209655762,-1.8955035209655762,42.69226366599992,4699,4442,0.9453075122366461,5093740.0
15,computer_security,0,1,0,1.3870348930358887,-0.0078125,-1.3870348930358887,-1.3792223930358887,-1.9885973930358887,-1.7620348930358887,42.69226366599992,9613,9028,0.9391449079371684,10481204.0
16,conceptual_physics,2,1,0,1.598585844039917,-0.390625,-1.512648344039917,-1.207960844039917,-1.598585844039917,-3.598585844039917,42.69226366599992,3400,2891,0.8502941176470589,4016416.0
