global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,causal_no_hysteresis,32,0,,10004,0,0.0,20528208.0,20528208.0,10077372.0,10077372.0,403.09488,0,0.0,0.0,0.0,403.09488,2026.0,4911.0
1,0,1,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9988,7411,0.7419903884661594,12906512.0,20495376.0,9919368.0,4969352.0,396.77472,239,51.5012788772583,12308.805651664734,51.5012788772583,250.2753588772583,2598.0,4834.0
2,0,2,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10326,8128,0.7871392601200852,12865880.0,21188952.0,11232648.0,5627272.0,449.30592,261,51.5012788772583,13441.833786964417,51.5012788772583,276.59215887725827,2649.0,5474.0
3,0,3,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,11570,9096,0.786171132238548,14427336.0,23741640.0,13077396.0,6551444.0,523.09584,291,51.5012788772583,14986.872153282166,51.5012788772583,313.5590388772583,3164.0,6373.0
4,0,4,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10109,7733,0.764961915125136,12825076.0,20743668.0,10288728.0,5154392.0,411.54912,249,51.5012788772583,12823.818440437317,51.5012788772583,257.6769588772583,2481.0,5014.0
5,0,5,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9599,6954,0.7244504635899572,12576252.0,19697148.0,9396108.0,4707212.0,375.84432,226,51.5012788772583,11639.289026260376,51.5012788772583,239.7897588772583,2410.0,4579.0
6,0,6,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10825,8657,0.7997228637413395,13348132.0,22212900.0,11704608.0,5863712.0,468.18432,279,51.5012788772583,14368.856806755066,51.5012788772583,286.04975887725834,3086.0,5704.0
7,0,7,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9918,7532,0.7594273038919137,12638968.0,20351736.0,10024020.0,5021780.0,400.9608,241,51.5012788772583,12411.80820941925,51.5012788772583,252.3724788772583,3337.0,4885.0
8,0,8,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,10365,7237,0.6982151471297636,13858292.0,21268980.0,10937160.0,5479240.0,437.4864,233,51.5012788772583,11999.797978401184,51.5012788772583,270.6708788772583,2532.0,5330.0
9,0,9,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10500,8225,0.7833333333333333,13123600.0,21546000.0,11154672.0,5588208.0,446.18688,266,51.5012788772583,13699.340181350708,51.5012788772583,275.0295988772583,2878.0,5436.0
10,0,10,causal_no_hysteresis,32,14,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:2,10508,7772,0.7396269508945565,13603888.0,21562416.0,11224440.0,5623160.0,448.9776,250,51.5012788772583,12875.319719314575,51.5012788772583,276.4276788772583,2645.0,5470.0
11,0,11,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,10404,7603,0.7307766243752403,13563536.0,21349008.0,11060280.0,5540920.0,442.4112,245,51.5012788772583,12617.813324928284,51.5012788772583,273.1380788772583,2783.0,5390.0
12,0,12,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,11035,8987,0.8144086995922066,13441132.0,22643820.0,12293532.0,6158748.0,491.74128,290,51.5012788772583,14935.370874404907,51.5012788772583,297.8511988772583,2845.0,5991.0
13,0,13,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9659,7180,0.7433481726886841,12467948.0,19820268.0,9398160.0,4708240.0,375.9264,232,51.5012788772583,11948.296699523926,51.5012788772583,239.8308788772583,2303.0,4580.0
14,0,14,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0,10577,7564,0.7151366171882386,13958468.0,21704004.0,11216232.0,5619048.0,448.64928,242,51.5012788772583,12463.309488296509,51.5012788772583,276.26319887725833,2620.0,5466.0
15,0,15,causal_no_hysteresis,32,14,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:2;7:0;7:1;7:2;7:3,9692,6822,0.7038794882377218,12902256.0,19887984.0,9515124.0,4766836.0,380.60496,221,51.5012788772583,11381.782631874084,51.5012788772583,242.1747188772583,2486.0,4637.0
16,1,0,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8814,5966,0.6768776945768096,11977144.0,18086328.0,9262728.0,4640392.0,370.50912,195,51.5012788772583,10042.749381065369,51.5012788772583,237.1169588772583,1900.0,4514.0
17,1,1,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8940,6602,0.7384787472035794,11584432.0,18344880.0,9547956.0,4783284.0,381.91824,215,51.5012788772583,11072.774958610535,51.5012788772583,242.8326388772583,2328.0,4653.0
18,1,2,causal_no_hysteresis,32,13,4:0;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9378,6819,0.7271273192578375,12261000.0,19243656.0,10738116.0,5379524.0,429.52464,221,51.5012788772583,11381.782631874084,51.5012788772583,266.6822388772583,2328.0,5233.0
19,1,3,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,10339,8188,0.7919528000773769,12831116.0,21215628.0,12381768.0,6202952.0,495.27072,261,51.5012788772583,13441.833786964417,51.5012788772583,299.61935887725826,2965.0,6034.0
20,1,4,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9094,6973,0.7667692984385309,11520536.0,18660888.0,9892692.0,4955988.0,395.70768,226,51.5012788772583,11639.289026260376,51.5012788772583,249.7407988772583,2293.0,4821.0
21,1,5,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8677,6330,0.7295148092658753,11323284.0,17805204.0,9080100.0,4548900.0,363.204,204,51.5012788772583,10506.260890960693,51.5012788772583,233.4572788772583,2126.0,4425.0
22,1,6,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9636,7719,0.8010585305105853,11868816.0,19773072.0,11050020.0,5535780.0,442.0008,248,51.5012788772583,12772.317161560059,51.5012788772583,272.9324788772583,2780.0,5385.0
23,1,7,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8953,6775,0.7567295878476489,11433956.0,18371556.0,9843444.0,4931316.0,393.73776,221,51.5012788772583,11381.782631874084,51.5012788772583,248.75391887725831,3021.0,4797.0
24,1,8,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,9380,6633,0.7071428571428572,12455568.0,19247760.0,10500084.0,5260276.0,420.00336,214,51.5012788772583,11021.273679733276,51.5012788772583,261.9123188772583,2263.0,5117.0
25,1,9,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9385,6667,0.7103889184869473,12431012.0,19258020.0,10356444.0,5188316.0,414.25776,214,51.5012788772583,11021.273679733276,51.5012788772583,259.0339188772583,2564.0,5047.0
26,1,10,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0,9486,6752,0.7117857895846511,12551224.0,19465272.0,10680660.0,5350740.0,427.2264,218,51.5012788772583,11227.27879524231,51.5012788772583,265.53087887725826,2365.0,5205.0
27,1,11,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,9399,6950,0.7394403659963826,12169948.0,19286748.0,10719648.0,5370272.0,428.78592,223,51.5012788772583,11484.785189628601,51.5012788772583,266.3121588772583,2490.0,5224.0
28,1,12,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9888,8040,0.8131067961165048,12057216.0,20290176.0,11649204.0,5835956.0,465.96816,257,51.5012788772583,13235.828671455383,51.5012788772583,284.9395188772583,2484.0,5677.0
29,1,13,causal_no_hysteresis,32,16,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8647,6330,0.7320457962299063,11261724.0,17743644.0,9153972.0,4585908.0,366.15888,207,51.5012788772583,10660.764727592468,51.5012788772583,234.9375988772583,2053.0,4461.0
30,1,14,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0,9531,6872,0.7210156331969363,12520684.0,19557612.0,10811988.0,5416532.0,432.47952,220,51.5012788772583,11330.281352996826,51.5012788772583,268.16255887725833,2264.0,5269.0
31,1,15,causal_no_hysteresis,32,13,4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;7:0;7:1;7:2;7:3,8505,5797,0.6815990593768372,11516132.0,17452260.0,9139608.0,4578712.0,365.58432,186,51.5012788772583,9579.237871170044,51.5012788772583,234.6497588772583,2051.0,4454.0
