model,origin_mode,saving_basis,harm_basis,lambda_low,lambda_high,winners,fine_online_wins,coarse_only
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,0.0,1.9077855869897888,uniform_low,False,True
olmoe,balanced,simulated_saving_fraction,incremental_accuracy_harm,1.9077855869897888,inf,controller,True,False
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.0,0.23042654282515634,uniform_low,False,True
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_accuracy_harm,0.23042654282515634,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,0.0,2.3836448240052275,uniform_low,False,True
olmoe,balanced,simulated_saving_fraction,mean_incremental_positive_nll_harm,2.3836448240052275,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.0,0.4693808512231994,uniform_low,False,True
olmoe,balanced,simulated_saving_fraction,cvar_incremental_positive_nll_harm,0.4693808512231994,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,0.0,1.9077855869897888,uniform_low,False,True
olmoe,balanced,simulated_saving_optimistic_codec,incremental_accuracy_harm,1.9077855869897888,inf,controller,True,False
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.0,0.23042654282515665,uniform_low,False,True
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_accuracy_harm,0.23042654282515665,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,0.0,2.3836448240052306,uniform_low,False,True
olmoe,balanced,simulated_saving_optimistic_codec,mean_incremental_positive_nll_harm,2.3836448240052306,inf,uniform_full,False,True
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.0,0.46938085122320006,uniform_low,False,True
olmoe,balanced,simulated_saving_optimistic_codec,cvar_incremental_positive_nll_harm,0.46938085122320006,inf,uniform_full,False,True
