request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,3,0,1.9272606372833252,-0.4609375,-2.099135637283325,-1.9272606372833252,-2.013198137283325,-1.4663231372833252,64.22490904199998,5194,0,0.0,10658088.0
1,abstract_algebra,2,3,0,1.7447052001953125,-0.7812499403953552,-1.9243927001953125,-2.4087677001953125,-1.7447052001953125,-0.9634552597999573,64.22490904199998,5331,0,0.0,10939212.0
2,computer_security,2,3,0,1.5134878158569336,-0.171875,-1.8572378158569336,-1.5916128158569336,-1.5134878158569336,-1.3416128158569336,64.22490904199998,7426,0,0.0,15238152.0
3,abstract_algebra,0,3,0,1.9698123931884766,-0.234375,-1.9698123931884766,-1.7510623931884766,-1.7510623931884766,-1.7354373931884766,64.22490904199998,6902,0,0.0,14162904.0
4,abstract_algebra,2,1,0,1.7344273328781128,-0.0234375,-2.1094274520874023,-1.7109898328781128,-1.7344273328781128,-1.8203648328781128,64.22490904199998,2956,0,0.0,6065712.0
5,conceptual_physics,3,0,0,1.9742511510849,-0.5859375,-1.3883136510849,-1.6226886510849,-1.4273761510849,-1.9742511510849,64.22490904199998,4377,0,0.0,8981604.0
6,high_school_mathematics,2,3,0,1.7401223182678223,-0.6328125,-2.4432473182678223,-2.0604348182678223,-1.7401223182678223,-1.1073098182678223,64.22490904199998,6474,0,0.0,13284648.0
7,computer_security,3,0,0,2.081594467163086,-1.4765625,-0.6050320267677307,-2.644094467163086,-2.597219467163086,-2.081594467163086,64.22490904199998,4303,0,0.0,8829756.0
8,abstract_algebra,1,1,1,1.0699081420898438,0.6328125,-1.7027206420898438,-1.0699081420898438,-2.1011581420898438,-2.2730331420898438,64.22490904199998,3731,0,0.0,7656012.0
9,conceptual_physics,1,1,1,1.0720034837722778,0.3203125,-2.7829408645629883,-1.0720034837722778,-1.3923159837722778,-1.7126284837722778,64.22490904199998,4606,0,0.0,9451512.0
10,computer_security,1,2,0,2.0700600147247314,-1.171875,-2.6013100147247314,-2.0700600147247314,-0.8981850147247314,-1.2731850147247314,64.22490904199998,3540,0,0.0,7264080.0
11,high_school_mathematics,3,1,0,1.9225953817367554,-0.453125,-1.8132203817367554,-1.4694703817367554,-1.9304078817367554,-1.9225953817367554,64.22490904199998,6211,0,0.0,12744972.0
12,abstract_algebra,0,3,0,1.7872065305709839,-0.359375,-1.7872065305709839,-1.8653315305709839,-1.9903315305709839,-1.4278315305709839,64.22490904199998,4697,0,0.0,9638244.0
13,conceptual_physics,0,1,0,1.6186821460723877,-0.2265625,-1.6186821460723877,-1.3921196460723877,-1.6733696460723877,-2.1811821460723877,64.22490904199998,3815,0,0.0,7828380.0
14,high_school_mathematics,2,2,1,1.5064465999603271,0.0625,-1.9048840999603271,-1.5923840999603271,-1.5064465999603271,-1.5689465999603271,64.22490904199998,4538,0,0.0,9311976.0
15,computer_security,0,1,0,1.5130656957626343,-0.0703125,-1.5130656957626343,-1.4427531957626343,-1.7786906957626343,-1.7318156957626343,64.22490904199998,10228,0,0.0,20987856.0
16,conceptual_physics,2,2,1,1.2727280855178833,0.1640625,-1.5305405855178833,-1.4367905855178833,-1.2727280855178833,-2.9211654663085938,64.22490904199998,3405,0,0.0,6987060.0
17,computer_security,2,3,0,1.6233311891555786,-0.4140625,-1.7327061891555786,-1.8420811891555786,-1.6233311891555786,-1.2092686891555786,64.22490904199998,4251,0,0.0,8723052.0
18,high_school_mathematics,3,1,0,1.8434277772903442,-0.4609375,-1.5934277772903442,-1.3824902772903442,-1.7887402772903442,-1.8434277772903442,64.22490904199998,8684,0,0.0,17819568.0
19,high_school_mathematics,1,3,0,1.674638271331787,-0.4609375,-2.143388271331787,-1.674638271331787,-1.651200771331787,-1.213700771331787,64.22490904199998,3885,0,0.0,7972020.0
20,abstract_algebra,3,3,1,1.707135796546936,0.1875,-2.2227606773376465,-2.0196356773376465,-1.894635796546936,-1.707135796546936,64.22490904199998,4659,0,0.0,9560268.0
21,high_school_mathematics,1,2,0,1.6246756315231323,-0.03125,-1.6324881315231323,-1.6246756315231323,-1.5934256315231323,-2.640300750732422,64.22490904199998,5720,0,0.0,11737440.0
22,conceptual_physics,2,3,0,1.5169113874435425,-0.25,-2.173161506652832,-2.032536506652832,-1.5169113874435425,-1.2669113874435425,64.22490904199998,3476,0,0.0,7132752.0
23,abstract_algebra,3,3,1,1.6630505323410034,0.09375,-2.303675651550293,-2.084925651550293,-1.7568005323410034,-1.6630505323410034,64.22490904199998,4791,0,0.0,9831132.0
24,high_school_mathematics,2,1,0,1.6607184410095215,-0.34375,-1.7466559410095215,-1.3169684410095215,-1.6607184410095215,-1.7466559410095215,64.22490904199998,8331,0,0.0,17095212.0
25,abstract_algebra,2,3,0,1.847549319267273,-0.1875,-2.0819244384765625,-2.0662994384765625,-1.847549319267273,-1.660049319267273,64.22490904199998,4166,0,0.0,8548632.0
26,conceptual_physics,2,1,0,1.9406746625900269,-0.4921875,-1.6750496625900269,-1.4484871625900269,-1.9406746625900269,-2.0422372817993164,64.22490904199998,5402,0,0.0,11084904.0
27,computer_security,2,2,1,1.3044440746307373,0.0390625,-1.3435065746307373,-2.2341315746307373,-1.3044440746307373,-1.3825690746307373,64.22490904199998,3059,0,0.0,6277068.0
28,high_school_mathematics,0,1,0,2.0906643867492676,-0.765625,-2.0906643867492676,-1.3250393867492676,-1.5359768867492676,-1.7000393867492676,64.22490904199998,4665,0,0.0,9572580.0
29,abstract_algebra,2,3,0,1.9444957971572876,-0.1796875,-1.9757457971572876,-1.9991832971572876,-1.9444957971572876,-1.7648082971572876,64.22490904199998,6241,0,0.0,12806532.0
30,conceptual_physics,1,1,1,0.7299605011940002,1.0234375,-1.7533979415893555,-0.7299605011940002,-2.1440229415893555,-2.5737104415893555,64.22490904199998,3505,0,0.0,7192260.0
31,computer_security,0,3,0,2.280818462371826,-1.8125,-2.280818462371826,-2.804255962371826,-2.273005962371826,-0.46831846237182617,64.22490904199998,7019,0,0.0,14402988.0
32,conceptual_physics,0,2,0,2.093903064727783,-1.1328125,-2.093903064727783,-1.8439030647277832,-0.9610905647277832,-1.9220280647277832,64.61165391699996,4818,0,0.0,9886536.0
33,conceptual_physics,2,2,1,1.1928346157073975,0.03125,-2.3256471157073975,-1.2240846157073975,-1.1928346157073975,-2.3803346157073975,64.61165391699996,3887,0,0.0,7976124.0
34,abstract_algebra,0,3,0,1.9770455360412598,-0.53125,-1.9770455360412598,-1.4770455360412598,-1.7817330360412598,-1.4457955360412598,64.61165391699996,3735,0,0.0,7664220.0
35,computer_security,2,0,0,1.9414856433868408,-1.1328125,-0.808673083782196,-2.394610643386841,-1.9414856433868408,-2.238360643386841,64.61165391699996,3582,0,0.0,7350264.0
36,computer_security,1,1,1,0.6098881959915161,1.4453123807907104,-2.4223880767822266,-0.6098881959915161,-2.0552005767822266,-2.2817630767822266,64.61165391699996,3648,0,0.0,7485696.0
37,high_school_mathematics,3,3,1,1.4315170049667358,0.484375,-2.0799546241760254,-1.9158920049667358,-1.9471420049667358,-1.4315170049667358,64.61165391699996,6911,0,0.0,14181372.0
38,conceptual_physics,2,1,0,2.915604829788208,-2.3203125,-1.548417329788208,-0.5952922701835632,-2.915604829788208,-3.665604829788208,64.61165391699996,3567,0,0.0,7319484.0
39,abstract_algebra,3,2,0,1.7530995607376099,0.0,-2.1593494415283203,-2.1359119415283203,-1.7530995607376099,-1.7530995607376099,64.61165391699996,4650,0,0.0,9541800.0
40,conceptual_physics,3,0,0,2.2197961807250977,-0.34375,-1.8760461807250977,-2.0166711807250977,-2.4307336807250977,-2.2197961807250977,64.61165391699996,4020,0,0.0,8249040.0
41,high_school_mathematics,0,3,0,2.144704818725586,-0.7578123807907104,-2.144704818725586,-1.9493924379348755,-2.129079818725586,-1.3868924379348755,64.61165391699996,4744,0,0.0,9734688.0
42,conceptual_physics,1,1,1,0.3906773626804352,2.515625,-2.9063024520874023,-0.3906773626804352,-3.3516149520874023,-3.5313024520874023,64.61165391699996,3939,0,0.0,8082828.0
43,abstract_algebra,2,3,0,1.7382842302322388,-0.109375,-2.339846611022949,-1.9023467302322388,-1.7382842302322388,-1.6289092302322388,64.61165391699996,5100,0,0.0,10465200.0
