request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,3,0,1.9272606372833252,-0.4609375,-2.099135637283325,-1.9272606372833252,-2.013198137283325,-1.4663231372833252,42.99867862499991,5194,0,0.0,10658088.0
1,abstract_algebra,2,3,0,1.7447052001953125,-0.7812499403953552,-1.9243927001953125,-2.4087677001953125,-1.7447052001953125,-0.9634552597999573,42.99867862499991,5331,0,0.0,10939212.0
2,computer_security,2,3,0,1.5134878158569336,-0.171875,-1.8572378158569336,-1.5916128158569336,-1.5134878158569336,-1.3416128158569336,42.99867862499991,7426,0,0.0,15238152.0
3,abstract_algebra,0,3,0,1.9698123931884766,-0.234375,-1.9698123931884766,-1.7510623931884766,-1.7510623931884766,-1.7354373931884766,42.99867862499991,6902,0,0.0,14162904.0
4,abstract_algebra,2,1,0,1.7232298851013184,0.0,-2.1060423851013184,-1.7232298851013184,-1.7232298851013184,-1.8013548851013184,42.99867862499991,3075,0,0.0,6309900.0
5,conceptual_physics,3,0,0,1.9377175569534302,-0.5234375,-1.4142800569534302,-1.6799050569534302,-1.4142800569534302,-1.9377175569534302,42.99867862499991,4461,0,0.0,9153972.0
6,high_school_mathematics,2,3,0,1.7244199514389038,-0.6015625,-2.4744200706481934,-2.0369200706481934,-1.7244199514389038,-1.1228574514389038,42.99867862499991,6578,0,0.0,13498056.0
7,computer_security,3,0,0,1.9151599407196045,-1.2421875,-0.6729724407196045,-2.5635974407196045,-2.5245349407196045,-1.9151599407196045,42.99867862499991,4145,0,0.0,8505540.0
8,abstract_algebra,1,1,1,1.0699081420898438,0.6328125,-1.7027206420898438,-1.0699081420898438,-2.1011581420898438,-2.2730331420898438,42.99867862499991,3731,0,0.0,7656012.0
9,conceptual_physics,1,1,1,1.0720034837722778,0.3203125,-2.7829408645629883,-1.0720034837722778,-1.3923159837722778,-1.7126284837722778,42.99867862499991,4606,0,0.0,9451512.0
