request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,abstract_algebra,1,1,1,1.6176315546035767,0.171875,-2.078568935394287,-1.6176315546035767,-2.023881435394287,-1.7895065546035767,50.47893233399998,5192,5192,1.0,5337376.0
1,abstract_algebra,2,3,0,1.5775036811828613,-0.234375,-1.8275036811828613,-2.2571911811828613,-1.5775036811828613,-1.3431286811828613,50.47893233399998,5333,5333,1.0,5482324.0
2,computer_security,2,1,0,1.7792181968688965,-0.5078125,-1.8807806968688965,-1.2714056968688965,-1.7792181968688965,-1.3182806968688965,50.47893233399998,7436,7436,1.0,7644208.0
3,abstract_algebra,0,1,0,2.1565823554992676,-0.7265626192092896,-2.1565823554992676,-1.430019736289978,-1.672207236289978,-1.734707236289978,50.47893233399998,6895,6895,1.0,7088060.0
4,abstract_algebra,2,1,0,1.4409152269363403,0.0,-1.7065402269363403,-1.4409152269363403,-1.4409152269363403,-1.8784152269363403,50.47893233399998,2964,2964,1.0,3046992.0
5,conceptual_physics,3,2,0,1.5239441394805908,-0.28125,-1.7973816394805908,-1.6958191394805908,-1.2426941394805908,-1.5239441394805908,50.47893233399998,4379,4379,1.0,4501612.0
6,high_school_mathematics,2,3,0,1.5028722286224365,-0.4453125,-2.3388097286224365,-1.8622472286224365,-1.5028722286224365,-1.0575597286224365,50.47893233399998,6467,6467,1.0,6648076.0
7,computer_security,3,0,0,2.0497264862060547,-1.390625,-0.6591014862060547,-1.9325389862060547,-2.3544139862060547,-2.0497264862060547,50.47893233399998,4313,4313,1.0,4433764.0
8,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,50.47893233399998,3734,3734,1.0,3838552.0
9,conceptual_physics,1,1,1,1.0543131828308105,0.390625,-3.1246256828308105,-1.0543131828308105,-1.4449381828308105,-1.4761881828308105,50.47893233399998,4610,4610,1.0,4739080.0
10,computer_security,1,2,0,1.8391695022583008,-0.703125,-2.050107002258301,-1.8391695022583008,-1.1360445022583008,-1.2219820022583008,50.47893233399998,3548,3548,1.0,3647344.0
11,high_school_mathematics,3,1,0,1.96621835231781,-0.71875,-2.0443434715270996,-1.24746835231781,-1.97403085231781,-1.96621835231781,50.47893233399998,6188,6188,1.0,6361264.0
12,abstract_algebra,0,3,0,1.7302641868591309,-0.265625,-1.7302641868591309,-1.6208891868591309,-1.4802641868591309,-1.4646391868591309,50.47893233399998,4659,4659,1.0,4789452.0
13,conceptual_physics,0,2,0,1.5520726442337036,-0.203125,-1.5520726442337036,-1.6848851442337036,-1.3489476442337036,-1.9583226442337036,50.47893233399998,3830,3830,1.0,3937240.0
14,high_school_mathematics,2,2,1,1.2961910963058472,0.03125,-1.8899410963058472,-1.3274410963058472,-1.2961910963058472,-1.6086910963058472,50.47893233399998,4530,4530,1.0,4656840.0
15,computer_security,0,1,0,1.8498172760009766,-0.421875,-1.8498172760009766,-1.4279422760009766,-1.6076297760009766,-1.4513797760009766,50.47893233399998,10303,10303,1.0,10591484.0
16,conceptual_physics,2,1,0,1.4895274639129639,-0.125,-1.3801524639129639,-1.3645274639129639,-1.4895274639129639,-3.145777463912964,50.47893233399998,3398,3398,1.0,3493144.0
17,computer_security,2,1,0,1.5742627382278442,-0.078125,-1.7695752382278442,-1.4961377382278442,-1.5742627382278442,-1.5898877382278442,50.47893233399998,4252,4252,1.0,4371056.0
18,high_school_mathematics,3,1,0,1.6018983125686646,-0.3359375,-1.8987733125686646,-1.2659608125686646,-1.9612733125686646,-1.6018983125686646,50.47893233399998,8697,8697,1.0,8940516.0
19,high_school_mathematics,1,3,0,1.8007419109344482,-0.8515625596046448,-2.5663669109344482,-1.8007419109344482,-2.1444919109344482,-0.9491793513298035,50.47893233399998,3883,3883,1.0,3991724.0
20,abstract_algebra,3,3,1,1.2241853475570679,0.40625,-1.9429353475570679,-1.7319978475570679,-1.6304353475570679,-1.2241853475570679,50.47893233399998,4671,4671,1.0,4801788.0
21,high_school_mathematics,1,2,0,1.5425280332565308,-0.296875,-1.6284655332565308,-1.5425280332565308,-1.2456530332565308,-2.3237781524658203,50.47893233399998,5765,5765,1.0,5926420.0
22,conceptual_physics,2,0,0,1.5378071069717407,-0.140625,-1.3971821069717407,-1.6549946069717407,-1.5378071069717407,-1.7174946069717407,50.47893233399998,3493,3493,1.0,3590804.0
23,abstract_algebra,3,3,1,1.3846672773361206,0.078125,-1.9002922773361206,-1.9081047773361206,-1.4627922773361206,-1.3846672773361206,50.47893233399998,4796,4796,1.0,4930288.0
24,high_school_mathematics,2,1,0,1.5901614427566528,-0.1953125,-2.0354738235473633,-1.3948489427566528,-1.5901614427566528,-1.4885989427566528,50.47893233399998,8346,8346,1.0,8579688.0
25,abstract_algebra,2,3,0,1.766295313835144,-0.28125,-1.563170313835144,-1.938170313835144,-1.766295313835144,-1.485045313835144,50.47893233399998,4170,4170,1.0,4286760.0
26,conceptual_physics,2,1,0,1.8368011713027954,-0.421875,-1.7196136713027954,-1.4149261713027954,-1.8368011713027954,-1.8602386713027954,50.47893233399998,5416,5416,1.0,5567648.0
27,computer_security,2,2,1,1.229287028312683,0.0625,-1.291787028312683,-1.760537028312683,-1.229287028312683,-1.869912028312683,50.47893233399998,3063,3063,1.0,3148764.0
28,high_school_mathematics,0,2,0,1.9955681562423706,-0.6484375,-1.9955681562423706,-1.5033806562423706,-1.3471306562423706,-1.5424431562423706,50.47893233399998,4671,4671,1.0,4801788.0
29,abstract_algebra,2,3,0,1.5423648357391357,-0.2734375,-2.0658023357391357,-1.7533023357391357,-1.5423648357391357,-1.2689273357391357,50.47893233399998,6213,6213,1.0,6386964.0
30,conceptual_physics,1,0,0,1.0600237846374512,0.0,-1.0600237846374512,-1.0600237846374512,-2.388148784637451,-2.645961284637451,50.47893233399998,3525,3525,1.0,3623700.0
31,computer_security,0,3,0,2.0249295234680176,-0.9921875,-2.0249295234680176,-1.6968045234680176,-1.6889920234680176,-1.0327420234680176,50.47893233399998,7016,7016,1.0,7212448.0
32,conceptual_physics,0,2,0,2.196951389312744,-1.2578125,-2.196951389312744,-1.8297638893127441,-0.9391388893127441,-2.165701389312744,44.35450366700002,4812,4812,1.0,4946736.0
33,conceptual_physics,2,1,0,1.3090581893920898,-0.0859375,-2.44187068939209,-1.2231206893920898,-1.3090581893920898,-2.41843318939209,44.35450366700002,3891,3891,1.0,3999948.0
34,abstract_algebra,0,1,0,2.0055665969848633,-0.5078125,-2.0055665969848633,-1.4977540969848633,-1.6696290969848633,-1.6383790969848633,44.35450366700002,3725,3725,1.0,3829300.0
35,computer_security,2,0,0,1.6110963821411133,-0.25,-1.3610963821411133,-1.9001588821411133,-1.6110963821411133,-1.9157838821411133,44.35450366700002,3580,3580,1.0,3680240.0
36,computer_security,1,1,1,1.0505006313323975,0.2421875,-2.0036256313323975,-1.0505006313323975,-1.2926881313323975,-1.9489381313323975,44.35450366700002,3670,3670,1.0,3772760.0
37,high_school_mathematics,3,3,1,1.435309886932373,0.1484375,-1.794684886932373,-1.622809886932373,-1.583747386932373,-1.435309886932373,44.35450366700002,6875,6875,1.0,7067500.0
