global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10410,10410,1.0,10701480.0,21361320.0,4243536.0,2125904.0,169.74144,343,51.5012788772583,17664.938654899597,51.5012788772583,136.5374388772583,2068.0,1747.0
1,0,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10557,10557,1.0,10852596.0,21662964.0,3831084.0,1919276.0,153.24336,346,51.5012788772583,17819.442491531372,51.5012788772583,128.2723188772583,1867.0,1806.0
2,0,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10469,10469,1.0,10762132.0,21482388.0,3519180.0,1763020.0,140.7672,341,51.5012788772583,17561.93609714508,51.5012788772583,122.0220788772583,1690.0,1715.0
3,0,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10440,10440,1.0,10732320.0,21422880.0,4231224.0,2119736.0,169.24896,344,51.5012788772583,17716.439933776855,51.5012788772583,136.2907188772583,2062.0,1862.0
4,0,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9975,9975,1.0,10254300.0,20468700.0,4664196.0,2336644.0,186.56784,327,51.5012788772583,16840.918192863464,51.5012788772583,144.9670388772583,2273.0,1541.0
5,0,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10186,10186,1.0,10471208.0,20901672.0,3818772.0,1913108.0,152.75088,331,51.5012788772583,17046.923308372498,51.5012788772583,128.0255988772583,1636.0,1861.0
6,0,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10043,10043,1.0,10324204.0,20608236.0,4463100.0,2235900.0,178.524,328,51.5012788772583,16892.419471740723,51.5012788772583,140.9372788772583,2175.0,1609.0
7,0,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10361,10361,1.0,10651108.0,21260772.0,4432320.0,2220480.0,177.2928,337,51.5012788772583,17355.930981636047,51.5012788772583,140.3204788772583,2160.0,1729.0
8,0,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10464,10464,1.0,10756992.0,21472128.0,3457620.0,1732180.0,138.3048,344,51.5012788772583,17716.439933776855,51.5012788772583,120.7884788772583,1645.0,1685.0
9,0,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10460,10460,1.0,10752880.0,21463920.0,4077324.0,2042636.0,163.09296,343,51.5012788772583,17664.938654899597,51.5012788772583,133.2067188772583,1987.0,1620.0
