global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10004,10004,1.0,10284112.0,20528208.0,10077372.0,5048508.0,403.09488,329,51.5012788772583,16943.92075061798,51.5012788772583,253.44159887725831,2026.0,4911.0
1,0,1,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10092,10092,1.0,10374576.0,20708784.0,9898848.0,4959072.0,395.95392,329,51.5012788772583,16943.92075061798,51.5012788772583,249.8641588772583,2599.0,4824.0
2,0,2,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10424,10424,1.0,10715872.0,21390048.0,11281896.0,5651944.0,451.27584,342,51.5012788772583,17613.43737602234,51.5012788772583,277.5790388772583,2691.0,5498.0
3,0,3,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,11625,11625,1.0,11950500.0,23854500.0,13040460.0,6532940.0,521.6184,379,51.5012788772583,19518.984694480896,51.5012788772583,312.8188788772583,3121.0,6355.0
4,0,4,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10043,10043,1.0,10324204.0,20608236.0,10262052.0,5141028.0,410.48208,329,51.5012788772583,16943.92075061798,51.5012788772583,257.1423988772583,2530.0,5001.0
5,0,5,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9526,9526,1.0,9792728.0,19547352.0,9428940.0,4723660.0,377.1576,312,51.5012788772583,16068.39900970459,51.5012788772583,240.4476788772583,2343.0,4595.0
6,0,6,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10770,10770,1.0,11071560.0,22100040.0,11729232.0,5876048.0,469.16928,354,51.5012788772583,18231.45272254944,51.5012788772583,286.5431988772583,3073.0,5716.0
7,0,7,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9933,9933,1.0,10211124.0,20382516.0,10034280.0,5026920.0,401.3712,325,51.5012788772583,16737.915635108948,51.5012788772583,252.5780788772583,3292.0,4890.0
8,0,8,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10356,10356,1.0,10645968.0,21250512.0,10889964.0,5455596.0,435.59856,340,51.5012788772583,17510.434818267822,51.5012788772583,269.7251188772583,2517.0,5307.0
9,0,9,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10566,10566,1.0,10861848.0,21681432.0,11111580.0,5566620.0,444.4632,347,51.5012788772583,17870.94377040863,51.5012788772583,274.1660788772583,2887.0,5415.0
10,0,10,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10501,10501,1.0,10795028.0,21548052.0,11222388.0,5622132.0,448.89552,345,51.5012788772583,17767.941212654114,51.5012788772583,276.38655887725827,2661.0,5469.0
11,0,11,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10428,10428,1.0,10719984.0,21398256.0,11045916.0,5533724.0,441.83664,341,51.5012788772583,17561.93609714508,51.5012788772583,272.85023887725833,2821.0,5383.0
12,0,12,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,11059,11059,1.0,11368652.0,22693068.0,12330468.0,6177252.0,493.21872,362,51.5012788772583,18643.462953567505,51.5012788772583,298.5913588772583,2839.0,6009.0
13,0,13,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9592,9592,1.0,9860576.0,19682784.0,9373536.0,4695904.0,374.94144,316,51.5012788772583,16274.404125213623,51.5012788772583,239.3374388772583,2330.0,4568.0
14,0,14,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,10543,10543,1.0,10838204.0,21634236.0,11203920.0,5612880.0,448.1568,346,51.5012788772583,17819.442491531372,51.5012788772583,276.0164788772583,2667.0,5460.0
15,0,15,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,9634,9634,1.0,9903752.0,19768968.0,9449460.0,4733940.0,377.9784,315,51.5012788772583,16222.902846336365,51.5012788772583,240.8588788772583,2494.0,4605.0
16,1,0,uniform_low,32,32,0:4;0:5;0:6;0:7;1:4;1:5;1:6;1:7;2:4;2:5;2:6;2:7;3:4;3:5;3:6;3:7;4:0;4:1;4:2;4:3;5:0;5:1;5:2;5:3;6:0;6:1;6:2;6:3;7:0;7:1;7:2;7:3,8814,8814,1.0,9060792.0,18086328.0,9262728.0,4640392.0,370.50912,292,51.5012788772583,15038.373432159424,51.5012788772583,237.1169588772583,1900.0,4514.0
