global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,bf16_reference,32,0,,2434,0,0.0,4994568.0,4994568.0,822852.0,822852.0,32.91408,0,0.0,0.0,0.0,32.91408,401.0,374.0
1,0,1,bf16_reference,32,0,,2459,0,0.0,5045868.0,5045868.0,911088.0,911088.0,36.44352,0,0.0,0.0,0.0,36.44352,444.0,402.0
2,0,2,bf16_reference,32,0,,2527,0,0.0,5185404.0,5185404.0,1147068.0,1147068.0,45.88272,0,0.0,0.0,0.0,45.88272,559.0,437.0
3,0,3,bf16_reference,32,0,,2601,0,0.0,5337252.0,5337252.0,1194264.0,1194264.0,47.77056,0,0.0,0.0,0.0,47.77056,558.0,582.0
4,0,4,bf16_reference,32,0,,2420,0,0.0,4965840.0,4965840.0,929556.0,929556.0,37.18224,0,0.0,0.0,0.0,37.18224,453.0,418.0
5,0,5,bf16_reference,32,0,,2410,0,0.0,4945320.0,4945320.0,773604.0,773604.0,30.94416,0,0.0,0.0,0.0,30.94416,377.0,359.0
6,0,6,bf16_reference,32,0,,2485,0,0.0,5099220.0,5099220.0,1026000.0,1026000.0,41.04,0,0.0,0.0,0.0,41.04,500.0,456.0
7,0,7,bf16_reference,32,0,,2323,0,0.0,4766796.0,4766796.0,1040364.0,1040364.0,41.61456,0,0.0,0.0,0.0,41.61456,507.0,342.0
8,0,8,bf16_reference,32,0,,2470,0,0.0,5068440.0,5068440.0,982908.0,982908.0,39.31632,0,0.0,0.0,0.0,39.31632,479.0,446.0
9,0,9,bf16_reference,32,0,,2476,0,0.0,5080752.0,5080752.0,960336.0,960336.0,38.41344,0,0.0,0.0,0.0,38.41344,468.0,451.0
10,0,10,bf16_reference,32,0,,2553,0,0.0,5238756.0,5238756.0,1021896.0,1021896.0,40.87584,0,0.0,0.0,0.0,40.87584,498.0,471.0
11,0,11,bf16_reference,32,0,,2454,0,0.0,5035608.0,5035608.0,966492.0,966492.0,38.65968,0,0.0,0.0,0.0,38.65968,471.0,418.0
12,0,12,bf16_reference,32,0,,2645,0,0.0,5427540.0,5427540.0,1009584.0,1009584.0,40.38336,0,0.0,0.0,0.0,40.38336,492.0,488.0
13,0,13,bf16_reference,32,0,,2364,0,0.0,4850928.0,4850928.0,1110132.0,1110132.0,44.40528,0,0.0,0.0,0.0,44.40528,541.0,365.0
14,0,14,bf16_reference,32,0,,2550,0,0.0,5232600.0,5232600.0,1023948.0,1023948.0,40.95792,0,0.0,0.0,0.0,40.95792,499.0,447.0
