request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,2,0,1.325616478919983,-0.1875,-2.3334288597106934,-1.325616478919983,-1.138116478919983,-1.497491478919983,12.866249583000013,6709,6709,1.0,6896852.0
1,abstract_algebra,2,3,0,1.6006795167922974,-0.5390625,-1.9834920167922974,-2.397554397583008,-1.6006795167922974,-1.0616170167922974,12.866249583000013,5326,1426,0.267743146826887,9468728.0
2,abstract_algebra,2,3,0,1.8900763988494873,-0.046875,-1.9838263988494873,-2.0150763988494873,-1.8900763988494873,-1.8432013988494873,12.866249583000013,6301,0,0.0,12929652.0
3,computer_security,1,1,1,0.2603377401828766,2.8984375,-3.1587753295898438,-0.2603377401828766,-3.8150253295898438,-3.8853378295898438,12.866249583000013,3265,3265,1.0,3356420.0
4,computer_security,2,2,1,0.9683396220207214,0.7500000596046448,-2.710527181625366,-1.7183396816253662,-0.9683396220207214,-2.069902181625366,12.866249583000013,4831,4831,1.0,4966268.0
5,abstract_algebra,0,3,0,1.7872065305709839,-0.359375,-1.7872065305709839,-1.8653315305709839,-1.9903315305709839,-1.4278315305709839,12.866249583000013,4697,0,0.0,9638244.0
6,computer_security,2,2,1,0.6943359375,0.8359375,-2.9365234375,-1.5302734375,-0.6943359375,-2.2021484375,12.866249583000013,4951,0,0.0,10159452.0
7,computer_security,0,0,1,1.0322132110595703,0.4140625,-1.0322132110595703,-1.4462757110595703,-2.1259632110595703,-2.1650257110595703,12.866249583000013,3648,0,0.0,7485696.0
8,abstract_algebra,3,3,1,1.4388411045074463,0.2734375,-1.9154036045074463,-1.7122786045074463,-1.8763411045074463,-1.4388411045074463,11.281159500000001,4810,4810,1.0,4944680.0
9,computer_security,2,2,1,0.30105721950531006,2.6875,-3.3323073387145996,-2.9885573387145996,-0.30105721950531006,-3.0041823387145996,11.281159500000001,4492,1113,0.24777382012466606,8077872.0
10,abstract_algebra,1,1,1,1.0699081420898438,0.6328125,-1.7027206420898438,-1.0699081420898438,-2.1011581420898438,-2.2730331420898438,11.281159500000001,3731,0,0.0,7656012.0
11,abstract_algebra,2,3,0,1.7603105306625366,-0.203125,-2.096248149871826,-1.9321855306625366,-1.7603105306625366,-1.5571855306625366,11.281159500000001,5084,5084,1.0,5226352.0
12,abstract_algebra,2,3,0,1.473981499671936,-0.0234375,-1.833356499671936,-1.677106499671936,-1.473981499671936,-1.450543999671936,11.281159500000001,6336,6336,1.0,6513408.0
13,abstract_algebra,3,3,1,1.707135796546936,0.1875,-2.2227606773376465,-2.0196356773376465,-1.894635796546936,-1.707135796546936,11.281159500000001,4659,0,0.0,9560268.0
14,computer_security,2,2,1,1.2766274213790894,0.3828125,-1.9172524213790894,-1.7297524213790894,-1.2766274213790894,-1.6594399213790894,11.281159500000001,7653,0,0.0,15703956.0
15,computer_security,1,1,1,0.8547751903533936,1.2421875,-2.4094626903533936,-0.8547751903533936,-2.2844626903533936,-2.0969626903533936,11.281159500000001,6740,0,0.0,13830480.0
