global_step,forward_id,layer,arm,active_lane_count,low_lane_count,low_lanes,remote_pairs,low_pairs,low_frac,wire_bytes,high_baseline_wire_bytes,baseline_bottleneck_bytes,policy_bottleneck_bytes,baseline_step_us,codec_tiles,codec_step_us_optimistic,codec_step_us_serialized_tiles,codec_step_us,policy_step_us,max_sender_load,max_receiver_load
0,0,0,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2434,960,0.3944124897288414,4011528.0,4994568.0,822852.0,730692.0,32.91408,35,51.5012788772583,1802.5447607040405,51.5012788772583,80.7289588772583,401.0,374.0
1,0,1,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2483,1040,0.418848167539267,4030156.0,5095116.0,935712.0,774812.0,37.42848,37,51.5012788772583,1905.5473184585571,51.5012788772583,82.4937588772583,456.0,410.0
2,0,2,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2547,1106,0.4342363564978406,4093900.0,5226444.0,1155276.0,847476.0,46.21104,41,51.5012788772583,2111.5524339675903,51.5012788772583,85.4003188772583,563.0,439.0
3,0,3,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2614,1201,0.45944912012241773,4134104.0,5363928.0,1196316.0,1036260.0,47.85264,46,51.5012788772583,2369.058828353882,51.5012788772583,92.9516788772583,560.0,583.0
4,0,4,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2423,972,0.40115559224102354,3976668.0,4971996.0,935712.0,837408.0,37.42848,36,51.5012788772583,1854.0460395812988,51.5012788772583,84.9975988772583,456.0,417.0
5,0,5,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2402,982,0.40882597835137385,3923336.0,4928904.0,787968.0,699732.0,31.51872,38,51.5012788772583,1957.0485973358154,51.5012788772583,79.49055887725831,384.0,359.0
6,0,6,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2497,1020,0.408490188225871,4079364.0,5123844.0,1026000.0,874152.0,41.04,38,51.5012788772583,1957.0485973358154,51.5012788772583,86.4673588772583,500.0,459.0
7,0,7,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2327,889,0.38203695745595184,3864668.0,4775004.0,1019844.0,824260.0,40.79376,35,51.5012788772583,1802.5447607040405,51.5012788772583,84.4716788772583,497.0,343.0
8,0,8,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2467,995,0.40332387515200646,4043404.0,5062284.0,984960.0,802332.0,39.3984,37,51.5012788772583,1905.5473184585571,51.5012788772583,83.5945588772583,480.0,449.0
9,0,9,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2481,1029,0.4147521160822249,4037316.0,5091012.0,945972.0,865944.0,37.83888,38,51.5012788772583,1957.0485973358154,51.5012788772583,86.1390388772583,461.0,449.0
10,0,10,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2561,1119,0.43693869582194456,4109316.0,5255172.0,1011636.0,826956.0,40.46544,42,51.5012788772583,2163.0537128448486,51.5012788772583,84.5795188772583,493.0,474.0
11,0,11,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2442,1055,0.432022932022932,3930664.0,5010984.0,964440.0,843372.0,38.5776,39,51.5012788772583,2008.5498762130737,51.5012788772583,85.2361588772583,470.0,414.0
12,0,12,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2639,1102,0.4175824175824176,4286780.0,5415228.0,1005480.0,970596.0,40.2192,42,51.5012788772583,2163.0537128448486,51.5012788772583,90.32511887725829,490.0,482.0
13,0,13,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2368,826,0.34881756756756754,4013312.0,4859136.0,1097820.0,973916.0,43.9128,32,51.5012788772583,1648.0409240722656,51.5012788772583,90.4579188772583,535.0,363.0
14,0,14,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2565,1029,0.40116959064327484,4209684.0,5263380.0,1034208.0,880308.0,41.36832,39,51.5012788772583,2008.5498762130737,51.5012788772583,86.7135988772583,504.0,449.0
15,0,15,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2478,906,0.36561743341404357,4157112.0,5084856.0,878256.0,777708.0,35.13024,35,51.5012788772583,1802.5447607040405,51.5012788772583,82.60959887725829,428.0,379.0
16,1,0,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2785,1076,0.38635547576301615,4612996.0,5714820.0,1432296.0,1245928.0,57.29184,40,51.5012788772583,2060.051155090332,51.5012788772583,101.3383988772583,698.0,512.0
17,1,1,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2793,1098,0.39312567132116005,4606884.0,5731236.0,1229148.0,1066332.0,49.16592,40,51.5012788772583,2060.051155090332,51.5012788772583,94.1545588772583,599.0,507.0
18,1,2,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2671,1073,0.4017222014226881,4382140.0,5480892.0,1009584.0,1009584.0,40.38336,41,51.5012788772583,2111.5524339675903,51.5012788772583,91.88463887725831,461.0,492.0
19,1,3,calib_static,32,13,0:4;1:4;2:4;3:4;4:0;4:3;5:0;5:1;5:3;6:0;6:3;7:0;7:3,2554,1120,0.4385277995301488,4093928.0,5240808.0,1030104.0,750552.0,41.20416,42,51.5012788772583,2163.0537128448486,51.5012788772583,81.5233588772583,502.0,383.0
