request_id,subject,answer,prediction,correct,correct_choice_nll,correct_choice_margin,ll_A,ll_B,ll_C,ll_D,batch_forward_seconds,remote_pairs,low_pairs,low_frac,wire_bytes
0,computer_security,1,2,0,1.325616478919983,-0.1875,-2.3334288597106934,-1.325616478919983,-1.138116478919983,-1.497491478919983,17.580430541999988,6709,6709,1.0,6896852.0
1,abstract_algebra,2,3,0,1.5775036811828613,-0.234375,-1.8275036811828613,-2.2571911811828613,-1.5775036811828613,-1.3431286811828613,17.580430541999988,5333,5333,1.0,5482324.0
2,abstract_algebra,2,3,0,2.084710121154785,-0.328125,-1.8347101211547852,-2.069085121154785,-2.084710121154785,-1.7565851211547852,17.580430541999988,6311,6311,1.0,6487708.0
3,computer_security,1,1,1,0.2603377401828766,2.8984375,-3.1587753295898438,-0.2603377401828766,-3.8150253295898438,-3.8853378295898438,17.580430541999988,3265,3265,1.0,3356420.0
4,computer_security,2,2,1,0.8782382607460022,1.25,-2.5501132011413574,-2.4251132011413574,-0.8782382607460022,-2.1282382011413574,17.580430541999988,4706,1186,0.2520186995325117,8442248.0
5,abstract_algebra,0,3,0,1.7790672779083252,-0.2890625,-1.7790672779083252,-1.8259422779083252,-2.115004777908325,-1.4900047779083252,17.580430541999988,4654,0,0.0,9550008.0
6,computer_security,2,2,1,0.7312701940536499,0.7578125,-2.8875203132629395,-1.48908269405365,-0.7312701940536499,-2.2703328132629395,17.580430541999988,4795,4795,1.0,4929260.0
7,computer_security,0,1,0,1.5248090028762817,-0.0546875,-1.5248090028762817,-1.4701215028762817,-1.6029340028762817,-1.8998090028762817,17.580430541999988,3661,3661,1.0,3763508.0
8,abstract_algebra,3,3,1,1.4388411045074463,0.2734375,-1.9154036045074463,-1.7122786045074463,-1.8763411045074463,-1.4388411045074463,20.322981458000015,4810,4810,1.0,4944680.0
9,computer_security,2,2,1,0.3556423783302307,2.2421875,-2.925954818725586,-2.597829818725586,-0.3556423783302307,-3.082204818725586,20.322981458000015,4513,4513,1.0,4639364.0
10,abstract_algebra,1,1,1,0.9631160497665405,0.9296875,-2.01780366897583,-0.9631160497665405,-1.8928035497665405,-2.29124116897583,20.322981458000015,3734,3734,1.0,3838552.0
11,abstract_algebra,2,3,0,1.7603105306625366,-0.203125,-2.096248149871826,-1.9321855306625366,-1.7603105306625366,-1.5571855306625366,20.322981458000015,5084,5084,1.0,5226352.0
12,abstract_algebra,2,3,0,1.6893525123596191,-0.0078125,-2.056540012359619,-1.7596650123596191,-1.6893525123596191,-1.6815400123596191,20.322981458000015,6333,1645,0.25975051318490444,11310836.0
13,abstract_algebra,3,3,1,1.711425542831421,0.1953125,-2.258300542831421,-2.016113042831421,-1.906738042831421,-1.711425542831421,20.322981458000015,4812,0,0.0,9874224.0
14,computer_security,2,2,1,1.117764949798584,0.6640625,-1.984952449798584,-1.781827449798584,-1.117764949798584,-1.906827449798584,20.322981458000015,7427,7427,1.0,7634956.0
15,computer_security,1,1,1,0.9495866298675537,0.7578125,-1.7073991298675537,-0.9495866298675537,-1.7230241298675537,-1.9964616298675537,20.322981458000015,6740,6740,1.0,6928720.0
